source_key,target_key,ref_type
abrahamsen-bechtel:2012,plaisance-reydon:2012,depends_on
abrahamsen-etal:2017,glennan-illari:2017,depends_on
abram_a:2016,thornhillmiller-millican:2015,further_ref
abrams_k:2008,heyd_d:2008,further_ref
abrams_k:2008,williams_ms-waldron:2008,depends_on
abrams_m:2012a,kincaid:2012,depends_on
abrams_m:2017,glennan-illari:2017,depends_on
abrams_m:2019,love_ac-wimsatt:2019,depends_on
abrams_mh:1974,peckham_m:1974,further_ref
abrams_t:2005,santoro_ma-gorrie:2005,depends_on
abramsky-heunen:2016,chubb-etal:2016,depends_on
abramsky-jung:1994,abramsky-etal:1994,depends_on
abramsky:2008,adriaans-vanbenthem:2008,depends_on
abramsky:2015,hirvonen_a-etal:2015,depends_on
abramsky:2017,landry:2017,depends_on
abramson_k-leite:2014,maurer_c-etal:2014,depends_on
abramson_k-leite:2024,grau_c-smuts:2024,depends_on
abramson_k:2008,radcliffe_es:2008,depends_on
abramson_k:2010,goldie_p:2010,depends_on
abramson_k:2016,timmons:2016,depends_on
abrantes:2011,krause_d-videira:2011,depends_on
abrell:2020,fischer_b:2020,depends_on
abrell:2023,adams_cj-etal:2023,depends_on
abromeit:2018,gordon_pe-etal:2018,depends_on
abrusan_m-szendroi:2012,aloni-etal:2012,depends_on
abrusan_m:2012,aloni-etal:2012,depends_on
abrusci-etal:1997,retore:1997,depends_on
abrusci:1980,dallachiara:1980,depends_on
abumhenreegbe:2005,tymieniecka:2005d,depends_on
abumhenreegbe:2010,tymieniecka:2010,depends_on
abusch:1998,rothstein_s:1998,depends_on
abusch:2004,gueron-lecarme:2004,depends_on
acar_r:2010,burrell-etal:2010,depends_on
accardi:1990,cooke_rm-costantini:1990,depends_on
accardi:2014,albeverio-blanchard:2014,depends_on
accattino_p:1995,rowe_c:1995,depends_on
acemoglu-robinson:2006,weingast-wittman:2006,depends_on
acero:1996,clark_an-etal:1996,depends_on
acero:1998,phil-issues:1998,depends_on
acero:2008,rivasmonroy-etal:2008,depends_on
acero:2025,garciaencinas-martinezmanrique:2025,depends_on
aceron:2004,tymieniecka:2004,depends_on
aceti:2005,tymieniecka:2005b,depends_on
acevedo_b:2022,pismenny-brogaard:2022,depends_on
ach_js:2018,mueller_and-schaber:2018,depends_on
achard_m:2007,geeraerts-cuyckens:2007,depends_on
acharya_bd-joshi:2011,vanbenthem-etal:2011,depends_on
achinstein:1965a,achinstein:2010,further_ref
achinstein:1967,cohen_rs-wartofsky:1967,depends_on
achinstein:1967,feyerabend:1967,further_ref
achinstein:1970,stuewer:1970,depends_on
achinstein:1970a,bowman_pa:1970,further_ref
