bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
fjelland_r:2002,fjelland_r,author,0,,
fjellstad:2016,fjellstad,author,0,,
fjellstad:2018,fjellstad,author,0,,
fjortoft_k:2015,fjortoft_k,author,0,,
