bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ubbink:1961,ubbink,author,0,,
uberoi_jps:2019,uberoi_jps,author,0,,
uberti:2014,uberti,author,0,,
ubiali-wehrle:2015,ubiali,editor,0,,
ubiali-wehrle:2015,wehrle_m,editor,1,,
ubiali:2015,ubiali,author,0,,
ubl:1998,ubl,author,0,,
