id,publisher_key,name_latex,name_unicode,default_address
37,centre-national-de-documentation-pedagogique,Centre national de documentation p{\'e}dagogique,Centre national de documentation pédagogique,
38,chez-lauteur-34-rue-du-chevalierdela-barre-xvii-ie,"chez l'auteur, 34, rue du Chevalier-de-la-Barre, XVIIIe","chez l'auteur, 34, rue du Chevalier-de-la-Barre, XVIIIe",
39,chronique-sociale,Chronique sociale,Chronique sociale,
40,comite-pour-lhistoire-economique-et-financiere-de-la-france,Comit{\'e} pour l'histoire {\'e}conomique et financi{\'e}re de la France,Comité pour l'histoire économique et financiére de la France,
41,consulting-psychologists-press,Consulting Psychologists Press,Consulting Psychologists Press,
42,council-for-research-in-values-and-philosophy,Council for Research in Values {and} Philosophy,Council for Research in Values and Philosophy,
43,create-space-independent-publishing-platform,CreateSpace Independent Publishing Platform,CreateSpace Independent Publishing Platform,
44,departement-de-langue-et-de-litterature-francaises-modernes,D{\'e}partement de Langue et de Litt{\'e}rature Fran{\c{c}}aises Modernes,Département de Langue et de Littérature Françaises Modernes,
45,departement-de-philosophie-universite-de-geneve,"D{\'e}partement de philosophie, Universit{\'e} de Gen{\`e}ve","Département de philosophie, Université de Genève",
46,de-nederlandsche-boekhandel,De Nederlandsche Boekhandel,De Nederlandsche Boekhandel,
47,deutsche-buch-gemeinschaft,Deutsche Buch-Gemeinschaft,Deutsche Buch-Gemeinschaft,
48,domus-sapientiae-friburgensis,Domus Sapientiae Friburgensis,Domus Sapientiae Friburgensis,
49,dosije,Dosije,Dosije,
50,educational-publishers-inc,"Educational Publishers, Inc.","Educational Publishers, Inc.",
51,eidos-publications,Eidos Publications,Eidos Publications,
52,eigenverlag,Eigenverlag,Eigenverlag,
53,encyclopedia-universalis,Encyclopedia Universalis,Encyclopedia Universalis,
54,federation-internationale-des-instituts-d-etudes-medievales,F{\'e}d{\'e}ration Internationale des Instituts d'Etudes M{\'e}di{\'e}vales,Fédération Internationale des Instituts d'Etudes Médiévales,
55,fourth-estate,Fourth Estate,Fourth Estate,
56,german-library-of-sciences,German Library of Sciences,German Library of Sciences,
57,her-majestys-stationary-office,Her Majesty's Stationary Office,Her Majesty's Stationary Office,
58,i-kommission-hos-munksgaard,I Kommission hos Munksgaard,I Kommission hos Munksgaard,
59,imprimerie-royale,Imprimerie Royale,Imprimerie Royale,
60,internation-school-of-economic-research,Internation School of Economic Research,Internation School of Economic Research,
61,international-center-for-greek-philosophy-and-culture,International Center for Greek Philosophy {and} Culture,International Center for Greek Philosophy and Culture,
62,international-cultural-foundation-press,International Cultural Foundation Press,International Cultural Foundation Press,
63,international-pragmatics-association,International Pragmatics Association,International Pragmatics Association,
64,israel-academy-of-sciences-and-humanities,Israel Academy of Sciences {and} Humanities,Israel Academy of Sciences and Humanities,
65,istituto-enciclopedia-italiana,Istituto Enciclopedia Italiana,Istituto Enciclopedia Italiana,
66,iwanami-shoten,Iwanami shoten,Iwanami shoten,
67,kezirat-gyanant,K{\'e}zirat Gyan{\'a}nt,Kézirat Gyanánt,
68,keisoshobo,Keis{\^o}shob{\^o},Keisôshobô,
69,kriminalistik-verlag,Kriminalistik Verlag,Kriminalistik Verlag,
70,ladseb-cnr,Ladseb-CNR,Ladseb-CNR,
71,league-of-peace-and-freedom,League of Peace {and} Freedom,League of Peace and Freedom,
72,lewis-carroll-society,Lewis Carroll Society,Lewis Carroll Society,
73,libertarian-review-foundation,Libertarian Review Foundation,Libertarian Review Foundation,
74,librairie-de-l-universite-fribourg-en-suisse,Librairie de l'Universit{\'e} Fribourg en Suisse,Librairie de l'Université Fribourg en Suisse,
75,librairie-generale-de-droit-et-de-jurisprudence,Librairie g{\'e}n{\'e}rale de droit et de jurisprudence,Librairie générale de droit et de jurisprudence,
76,librairie-generale-francaise,Librairie G{\'e}n{\'e}rale Fran{\c{c}}aise,Librairie Générale Française,
77,libraries-unlimited,Libraries Unlimited,Libraries Unlimited,
78,medecine-hygiene,M{\'e}decine \& Hygi{\`e}ne,Médecine & Hygiène,
79,memoire-des-arts,M{\'e}moire des arts,Mémoire des arts,
80,maks,MAKS,MAKS,
81,medieval-renaissance-texts-studies,Medieval \& Renaissance Texts \& Studies,Medieval & Renaissance Texts & Studies,
82,ministry-of-culture-and-science,Ministry of Culture {and} Science,Ministry of Culture and Science,
83,monist-library-of-philosophy,Monist Library of Philosophy,Monist Library of Philosophy,
84,musee-dart-moderne-et-contemporain-de-geneve,Mus{\'e}e d'art moderne et contemporain de Gen{\'e}ve,Musée d'art moderne et contemporain de Genéve,
85,museum-national-dhistoire-naturelle,Mus{\'e}um national d'histoire naturelle,Muséum national d'histoire naturelle,
86,museum-tusculanum-press,Museum Tusculanum Press,Museum Tusculanum Press,
87,national-academy-press,National Academy Press,National Academy Press,
88,national-council-for-civil-liberties,National Council for Civil Liberties,National Council for Civil Liberties,
89,no-conscription-fellowship,No-Conscription Fellowship,No-Conscription Fellowship,
90,nouvelles-de-la-republique-des-lettres,Nouvelles de la R{\'e}publique des Lettres,Nouvelles de la République des Lettres,
91,nykyinen-maailmankdsitys,Nykyinen maailmankdsitys,Nykyinen maailmankdsitys,
92,office-international-de-librairie,Office International de Librairie,Office International de Librairie,
93,pakistan-philosophical-congress,Pakistan Philosophical Congress,Pakistan Philosophical Congress,
94,palais-des-academies,Palais des Acad{\'e}mies.,Palais des Académies.,
95,polish-scientific-publishers,Polish Scientific Publishers,Polish Scientific Publishers,
96,polska-akademia-nauk-instytut-matematyczny,"Polska Akademia Nauk, Instytut Matematyczny","Polska Akademia Nauk, Instytut Matematyczny",
97,polskie-towarzstwo-filozoficzne,Polskie Towarzstwo Filozoficzne,Polskie Towarzstwo Filozoficzne,
98,pontifici-academia-scientiarum,Pontifici Academia Scientiarum,Pontifici Academia Scientiarum,
99,pontificium-athenaeum-antonianum,Pontificium Athenaeum Antonianum,Pontificium Athenaeum Antonianum,
100,presbyterian-and-reformed-publishing,Presbyterian {and} Reformed Publishing,Presbyterian and Reformed Publishing,
101,presses-de-la-fondation-nationale-des-sciences-politiques,Presses de la Fondation Nationale des Sciences Politiques,Presses de la Fondation Nationale des Sciences Politiques,
102,religious-and-moral-education,Religious {and} Moral Education,Religious and Moral Education,
103,royal-danish-academy-of-sciences-and-letters,Royal Danish Academy of Sciences {and} Letters,Royal Danish Academy of Sciences and Letters,
104,royal-society-of-london,Royal Society of London,Royal Society of London,
105,royal-swedish-academy-of-letters,Royal Swedish Academy of Letters,Royal Swedish Academy of Letters,
106,royal-swedish-academy-of-letters-history-and-antiquities,"Royal Swedish Academy of Letters, History {and} Antiquities","Royal Swedish Academy of Letters, History and Antiquities",
107,schweizerische-genossenschaftsbuchdruckerei,Schweizerische Genossenschaftsbuchdruckerei,Schweizerische Genossenschaftsbuchdruckerei,
108,science-history-publications,Science History Publications,Science History Publications,
109,science-research-council-of-great-britain,Science Research Council of Great Britain,Science Research Council of Great Britain,
110,selbstverlag,Selbstverlag,Selbstverlag,
111,slovenska-akademia-vied,Slovenska Akad{\'e}mia Vied,Slovenska Akadémia Vied,
112,societe-d-editions-internationales,Soci{\'e}t{\'e} d'Editions Internationales,Société d'Editions Internationales,
113,societe-de-ledition-d-enseignement-superieur,Soci{\'e}t{\'e} de l'{\'e}dition d'Enseignement Sup{\'e}rieur,Société de l'édition d'Enseignement Supérieur,
114,societe-diderot,Soci{\'e}t{\'e} Diderot,Société Diderot,
115,societe-poitevine-de-philosophie,Soci{\'e}t{\'e} Poitevine de Philosophie,Société Poitevine de Philosophie,
116,societe-tunisienne-des-etudes-philosophiques,Soci{\'e}t{\'e} Tunisienne des Etudes Philosophiques,Société Tunisienne des Etudes Philosophiques,
117,sociedad-interamericana-de-filosofia,Sociedad Interamericana de Filosof{\'{\i}}a,Sociedad Interamericana de Filosofía,
118,society-for-industrial-and-applied-mathematics,Society for Industrial {and} Applied Mathematics,Society for Industrial and Applied Mathematics,
119,society-for-the-study-of-artificial-intelligence-and-the-simulation-of-behaviour,Society for the Study of Artificial Intelligence {and} the Simulation of Behaviour,Society for the Study of Artificial Intelligence and the Simulation of Behaviour,
120,staatsdruckerei,Staatsdruckerei,Staatsdruckerei,
121,staatssekretariat-fur-bildung-und-forschung-sbf,"Staatssekretariat f{\""u}r Bildung und Forschung SBF",Staatssekretariat für Bildung und Forschung SBF,
122,station-zoologique,Station Zoologique,Station Zoologique,
123,studentlitteratur,Studentlitteratur,Studentlitteratur,
124,students-for-liberty,Students for Liberty,Students for Liberty,
125,studia-graeca-et-latina-gothoburgensia,Studia Graeca et Latina Gothoburgensia,Studia Graeca et Latina Gothoburgensia,
126,studia-philosophica-uppsaliensala,Studia Philosophica Uppsaliensala,Studia Philosophica Uppsaliensala,
127,studies-in-the-linguistic-sciences,Studies in the Linguistic Sciences,Studies in the Linguistic Sciences,
128,suomalainen-kirjakauppa,Suomalainen Kirjakauppa,Suomalainen Kirjakauppa,
129,suomalainen-tiedeakatemia,Suomalainen Tiedeakatemia,Suomalainen Tiedeakatemia,
130,suor-orsolo-benincasa,Suor Orsolo Benincasa,Suor Orsolo Benincasa,
131,thales,Thales,Thales,
132,the-association-for-consumer-research,The Association for Consumer Research,The Association for Consumer Research,
133,the-encyclopedia-press,The Encyclopedia Press,The Encyclopedia Press,
134,the-new-american-library,The New American Library,The New American Library,
135,the-optical-society-of-america,The Optical Society of America,The Optical Society of America,
136,the-rand-school-of-social-science,The Rand School of Social Science,The Rand School of Social Science,
137,the-union-of-democratic-control,The Union of Democratic Control,The Union of Democratic Control,
138,the-womens-press-limited,The Women's Press Limited,The Women's Press Limited,
139,turun-yliopisto,Turun yliopisto,Turun yliopisto,
140,typographia-poliglotta-sc-de-propaganda-fide,Typographia poliglotta S.C.~de Propaganda Fide,Typographia poliglotta S.C. de Propaganda Fide,
141,universaar,Universaar,Universaar,
142,universita-degli-studi-della-basilicata,Universit{\`a} degli Studi della Basilicata,Università degli Studi della Basilicata,
143,universite-de-lausanne,Universit{\'e} de Lausanne,Université de Lausanne,
