id,publisher_key,name_latex,name_unicode,default_address
324,anthropos,Anthropos,Anthropos,
325,anton-pustet,Anton Pustet,Anton Pustet,
326,antonianum,Antonianum,Antonianum,
327,apogeo,Apogeo,Apogeo,
328,appleton-century-crofts,Appleton Century Crofts,Appleton Century Crofts,
329,apud-j-grossium-jf-gletitschium,apud J.~Grossium \& J.F.~Gletitschium,apud J. Grossium & J.F. Gletitschium,
330,apud-weidmannos,Apud Weidmannos,Apud Weidmannos,
331,arche,Arch{\'e},Arché,
332,archibald-constable-co-ltd,"Archibald Constable \& Co., Ltd.","Archibald Constable & Co., Ltd.",
333,archipel,Archipel,Archipel,
334,arfuyen,Arfuyen,Arfuyen,
335,ark-paperbacks,Ark Paperbacks,Ark Paperbacks,
336,arlea,Arl{\'e}a,Arléa,
337,arlington-house,Arlington House,Arlington House,
338,armand-colin,Armand Colin,Armand Colin,
339,armando-editore,Armando Editore,Armando Editore,
340,arno-press,Arno Press,Arno Press,
341,arnold,Arnold,Arnold,
342,arnoldo-mondadori-editore-sp-a,Arnoldo Mondadori Editore S.p.A.,Arnoldo Mondadori Editore S.p.A.,
343,ars-una,Ars Una,Ars Una,
344,artemis-verlag,Artemis Verlag,Artemis Verlag,
345,ar-tom,ArTom,ArTom,
346,aschendorff,Aschendorff,Aschendorff,
347,ashgate,Ashgate,Ashgate,
348,association-des-publications-de-l-universite,Association des Publications de l'Universit{\'e},Association des Publications de l'Université,
349,association-des-publications-de-la-faculte-des-lettres-et-sciences-humaines-de-toulouse,Association des Publications de la Facult{\'e} des Lettres et Sciences Humaines de Toulouse,Association des Publications de la Faculté des Lettres et Sciences Humaines de Toulouse,
350,association-for-computational-linguistics,Association for Computational Linguistics,Association for Computational Linguistics,
351,association-for-computing-machinery,Association for Computing Machinery,Association for Computing Machinery,
352,association-for-symbolic-logic,Association for Symbolic Logic,Association for Symbolic Logic,
353,association-for-the-advancement-of-artificial-intelligence-aaai,Association for the Advancement of Artificial Intelligence (AAAI),Association for the Advancement of Artificial Intelligence (AAAI),
354,athenaeum-verlag,"Athen{\""a}eum Verlag",Athenäeum Verlag,
355,athenaion,Athenaion,Athenaion,
356,atherton-press,Atherton Press,Atherton Press,
357,atlande,Atlande,Atlande,
358,atlantis,Atlantis,Atlantis,
359,attempto-verlag,Attempto Verlag,Attempto Verlag,
360,aubier,Aubier,Aubier,
361,aubier-montaigne,Aubier Montaigne,Aubier Montaigne,
362,aubin,Aubin,Aubin,
363,aufbau-verlag,Aufbau Verlag,Aufbau Verlag,
364,augustus-m-kelley,Augustus M.~Kelley,Augustus M. Kelley,
365,austin-hill-press,Austin Hill Press,Austin Hill Press,
366,automatic-press,Automatic Press,Automatic Press,
367,avebury,Avebury,Avebury,
368,b-h-publishing,B \& H Publishing,B & H Publishing,
369,b-braun,B.~Braun,B. Braun,
370,b-herder-book-co,B.~Herder Book Co.,B. Herder Book Co.,
371,ba-lond,B.A.~Lond,B.A. Lond,
372,bg-teubner,B.G.~Teubner,B.G. Teubner,
373,br-gruner,"B.R.~Gr{\""u}ner",B.R. Grüner,
374,bohlau,"B{\""o}hlau",Böhlau,
375,babelio,Babelio,Babelio,
376,bailliere,Bailli{\`e}re,Baillière,
377,baker-academic,Baker Academic,Baker Academic,
378,bantam-books,Bantam Books,Bantam Books,
379,barbier,Barbier,Barbier,
380,bardwell-press,Bardwell Press,Bardwell Press,
381,barnes-and-noble,Barnes {and} Noble,Barnes and Noble,
382,bartillat,Bartillat,Bartillat,
383,basic-books,Basic Books,Basic Books,
384,basil-blackwell-publishers,Basil Blackwell Publishers,Basil Blackwell Publishers,
385,baua,BAUA,BAUA,
386,bayard-editions,Bayard {\'e}ditions,Bayard éditions,
387,beacon-press,Beacon Press,Beacon Press,
388,beauchesne-editeur,Beauchesne {\'E}diteur,Beauchesne Éditeur,
389,becksche-verlagsbuchhandlung,Beck'sche Verlagsbuchhandlung,Beck'sche Verlagsbuchhandlung,
390,belin-pour-la-science,Belin pour la science,Belin pour la science,
391,bellarmin,Bellarmin,Bellarmin,
392,beltz,Beltz,Beltz,
393,beltz-athenaum,"Beltz Athen{\""a}um",Beltz Athenäum,
394,benj-walford,Benj.~Walford,Benj. Walford,
395,benjamin-cummings,Benjamin Cummings,Benjamin Cummings,
396,benjamin-motte,Benjamin Motte,Benjamin Motte,
397,benziger-verlag,Benziger Verlag,Benziger Verlag,
398,berg,Berg,Berg,
399,berghahn-books,Berghahn Books,Berghahn Books,
400,berkeley-linguistics-society,Berkeley Linguistics Society,Berkeley Linguistics Society,
401,bermann-fischer-verlag,Bermann-Fischer Verlag,Bermann-Fischer Verlag,
402,bernard-giovanangeli,Bernard Giovanangeli,Bernard Giovanangeli,
403,bertelsmann-universitatsverlag,"Bertelsmann Universit{\""a}tsverlag",Bertelsmann Universitätsverlag,
404,bes-editions,Bes {\'e}ditions,Bes éditions,
405,bey-gl-hartung-k-preuss-hofbuchdrucker-und-buchhandler,"Bey G.L.~Hartung, K.~Preuss, Hofbuchdrucker und Buchh{\""a}ndler","Bey G.L. Hartung, K. Preuss, Hofbuchdrucker und Buchhändler",
406,biere,Bi{\`e}re,Bière,
407,bibliographisches-institut-wissenschaftsverlag,Bibliographisches Institut Wissenschaftsverlag,Bibliographisches Institut Wissenschaftsverlag,
408,bibliopolis,Bibliopolis,Bibliopolis,
409,bibliotheque-de-l-ecole-des-hautes-etudes-section-des-sciences-religieuses-lxxxvi,Biblioth{\`e}que de l'Ecole des Hautes Etudes.~Section des Sciences Religieuses LXXXVI,Bibliothèque de l'Ecole des Hautes Etudes. Section des Sciences Religieuses LXXXVI,
410,bibliotheque-nationale-de-france,Biblioth{\`e}que nationale de France,Bibliothèque nationale de France,
412,bildungs-gesellschaft-fur-arbeiter-von-je-burghard-46-liverpool-street-bishopsgate,"Bildungs-Gesellschaft f{\""u}r Arbeiter von J.E.~Burghard, 46 Liverpool Street, Bishopsgate","Bildungs-Gesellschaft für Arbeiter von J.E. Burghard, 46 Liverpool Street, Bishopsgate",
413,birkhauser,"Birkh{\""a}user",Birkhäuser,
414,black-rose,Black Rose,Black Rose,
415,blackfriars,Blackfriars,Blackfriars,
416,blackwell-publishers,Blackwell Publishers,Blackwell Publishers,
417,bloomsbury-academic,Bloomsbury Academic,Bloomsbury Academic,
418,bloomsbury-publishing-plc,Bloomsbury Publishing Plc,Bloomsbury Publishing Plc,
419,bmj-books,BMJ books,BMJ books,
420,bobbs-merrill-company-inc,Bobbs-Merrill Company Inc.,Bobbs-Merrill Company Inc.,
421,bocca,Bocca,Bocca,
422,boivin-cie-editeurs,Boivin \& Cie.~{\'E}diteurs,Boivin & Cie. Éditeurs,
423,bokcafeet,Bokcafeet,Bokcafeet,
424,bolt-beranek-and-newman-inc,"Bolt, Beranek {and} Newman, Inc.","Bolt, Beranek and Newman, Inc.",
425,bompiani,Bompiani,Bompiani,
426,bonanno-editore,Bonanno Editore,Bonanno Editore,
427,bonanza-books,Bonanza Books,Bonanza Books,
428,bonaventurae-abraham-elsevier,Bonaventurae \& Abraham Elsevier,Bonaventurae & Abraham Elsevier,
429,boreal,Bor{\'e}al,Boréal,
430,borla,Borla,Borla,
431,borntrager,"Borntr{\""a}ger",Bornträger,
432,borrosch-et-andre,Borrosch et Andr{\'e},Borrosch et André,
433,bousquet,Bousquet,Bousquet,
434,bouvier-verlag-herbert-grundmann,Bouvier Verlag Herbert Grundmann,Bouvier Verlag Herbert Grundmann,
435,bowes-bowes,Bowes \& Bowes,Bowes & Bowes,
436,boydell-brewer,Boydell \& Brewer,Boydell & Brewer,
437,boydell-press,Boydell Press,Boydell Press,
438,breal,Br{\'e}al,Bréal,
439,bramsche-rasch-druckerei-und-verlag,Bramsche / Rasch Druckerei und Verlag,Bramsche / Rasch Druckerei und Verlag,
440,brandes-apsel,Brandes \& Apsel,Brandes & Apsel,
441,brepols-publishers,Brepols Publishers,Brepols Publishers,
442,bristol-classical-press,Bristol Classical Press,Bristol Classical Press,
443,bristol-university-press,Bristol University Press,Bristol University Press,
444,british-library,British Library,British Library,
445,british-royal-society,British Royal Society,British Royal Society,
446,broadview-press,Broadview Press,Broadview Press,
447,brooks-cole-cengage-learning,Brooks/Cole Cengage Learning,Brooks/Cole Cengage Learning,
448,brown-university-press,Brown University Press,Brown University Press,
449,bruce-publishing-company,Bruce Publishing Company,Bruce Publishing Company,
450,bruno-monadori,Bruno Monadori,Bruno Monadori,
451,bruylant,Bruylant,Bruylant,
452,brynmill-press,Brynmill Press,Brynmill Press,
453,buchet-chastel,Buchet Chastel,Buchet Chastel,
454,bucknell-university-press,Bucknell University Press,Bucknell University Press,
455,bulzoni,Bulzoni,Bulzoni,
456,burns-oates,Burns \& Oates,Burns & Oates,
457,burns-oates-washbourne,"Burns, Oates \& Washbourne","Burns, Oates & Washbourne",
458,butterworths,Butterworths,Butterworths,
459,byte-books,Byte Books,Byte Books,
460,c-defaut,C.~Defaut,C. Defaut,
461,c-slienger,C.~Slienger,C. Slienger,
462,ca-reitzel,C.A.~Reitzel,C.A. Reitzel,
463,cem-pfeffer,C.E.M.~Pfeffer,C.E.M. Pfeffer,
464,cf-muller-juristischer-verlag,"C.F.~M{\""u}ller Juristischer Verlag",C.F. Müller Juristischer Verlag,
465,cg-vogler,C.G.~Vogler,C.G. Vogler,
466,ch-beck,C.H.~Beck,C.H. Beck,
467,cipl,C.I.P.L.,C.I.P.L.,
468,cj-clay-and-sons,C.J.~Clay {and} Sons,C.J. Clay and Sons,
469,cnrslsi-laboratoire-de-systemes-informatiques,C.N.R.S.--L.S.I (Laboratoire de Syst{\`e}mes Informatiques),C.N.R.S.–L.S.I (Laboratoire de Systèmes Informatiques),
470,cw-enders,C.W.~Enders,C.W. Enders,
471,callwey,Callwey,Callwey,
472,calmann-levy,Calmann-L{\'e}vy,Calmann-Lévy,
473,cambridge-scholars-publishing,Cambridge Scholars Publishing,Cambridge Scholars Publishing,
474,cambridge-university-press,Cambridge University Press,Cambridge University Press,
475,campus-verlag,Campus Verlag,Campus Verlag,
476,cantagalli,Cantagalli,Cantagalli,
477,cappeli,Cappeli,Cappeli,
478,caravan-books,Caravan Books,Caravan Books,
479,carcanet-press,Carcanet Press,Carcanet Press,
480,carey-and-lea,Carey {and} Lea,Carey and Lea,
481,carl-hanser,Carl Hanser,Carl Hanser,
482,carl-konegen,Carl Konegen,Carl Konegen,
483,carl-schunemann-verlag,"Carl Sch{\""u}nemann Verlag",Carl Schünemann Verlag,
484,carl-winter-universitatsverlag,"Carl Winter Universit{\""a}tsverlag",Carl Winter Universitätsverlag,
485,carnot,Carnot,Carnot,
486,carocci-editore-spa,Carocci editore S.p.a.,Carocci editore S.p.a.,
487,carriere,Carri{\`e}re,Carrière,
488,casa-editrice-leo-s-olschki,Casa Editrice Leo S.~Olschki,Casa Editrice Leo S. Olschki,
489,caspar-widtmann,Caspar Widtmann,Caspar Widtmann,
490,cassell,Cassell,Cassell,
491,castelvecchi,Castelvecchi,Castelvecchi,
492,cedam,Cedam,Cedam,
493,center-for-thomistic-studies,Center for Thomistic Studies,Center for Thomistic Studies,
494,central-european-university-press,Central European University Press,Central European University Press,
495,centre-d-analyse-syntaxique-de-l-universite-de-metz,Centre d'Analyse syntaxique de l'Universit{\'e} de Metz,Centre d'Analyse syntaxique de l'Université de Metz,
496,centre-de-recherches-semiologiques,Centre de Recherches S{\'e}miologiques,Centre de Recherches Sémiologiques,
497,centre-for-cognitive-science-university-of-edinburgh,"Centre for Cognitive Science, University of Edinburgh","Centre for Cognitive Science, University of Edinburgh",
498,centrum-wiskunde-informatica,Centrum Wiskunde \& Informatica,Centrum Wiskunde & Informatica,
499,ceur-workshop-proceedings,CEUR Workshop Proceedings,CEUR Workshop Proceedings,
500,chadwyck-healy,Chadwyck-Healy,Chadwyck-Healy,
501,champ-vallon,Champ Vallon,Champ Vallon,
502,chapman-hall,Chapman \& Hall,Chapman & Hall,
503,charles-c-thomas,Charles C.~Thomas,Charles C. Thomas,
504,charles-e-merrill,Charles E.~Merrill,Charles E. Merrill,
505,charles-scribner-sons,Charles Scribner \& Sons,Charles Scribner & Sons,
506,chatto-and-windus-ltd,Chatto {and} Windus Ltd.,Chatto and Windus Ltd.,
507,chelsea-publishing-company,Chelsea Publishing Company,Chelsea Publishing Company,
508,cheval-aile,Cheval ail{\'e},Cheval ailé,
509,chevalier-et-riviere,Chevalier et Rivi{\`e}re,Chevalier et Rivière,
510,chez-charles-savreux-au-pied-de-la-tour-de-nostre-dame,"Chez Charles Savreux, au pied de la Tour de Nostre Dame","Chez Charles Savreux, au pied de la Tour de Nostre Dame",
511,chez-daniel-horthemels,Chez Daniel Horthemels,Chez Daniel Horthemels,
512,chez-sebastien-hip,Chez Sebastien Hip,Chez Sebastien Hip,
513,chicago-linguistics-society,Chicago Linguistics Society,Chicago Linguistics Society,
514,christian-bourgois,Christian Bourgois,Christian Bourgois,
515,christian-ernst-gabler,Christian Ernst Gabler,Christian Ernst Gabler,
516,christian-pirot,Christian Pirot,Christian Pirot,
517,christoph-reisser,Christoph Reisser,Christoph Reisser,
518,christophe-chomant,Christophe Chomant,Christophe Chomant,
519,chronos-verlag,Chronos Verlag,Chronos Verlag,
520,ciaco,CIACO,CIACO,
521,ciephum,CIEPHUM,CIEPHUM,
522,circe,Circ{\'e},Circé,
523,citta-nuova,Citt{\`a} Nuova,Città Nuova,
524,civitas,Civitas,Civitas,
525,claassen-verlag,Claassen Verlag,Claassen Verlag,
526,clave,Clave,Clave,
527,cld,CLD,CLD,
528,climats,Climats,Climats,
529,clio-edu-edizioni,ClioEdu edizioni,ClioEdu edizioni,
530,clm-communication,CLM Communication,CLM Communication,
531,co,CO,CO,
532,coda,CODA,CODA,
533,cognitive-science-society,Cognitive Science Society,Cognitive Science Society,
534,colibiri,Colibiri,Colibiri,
535,college-of-engineering-university-of-michigan,"College of Engineering, University of Michigan","College of Engineering, University of Michigan",
536,college-of-st-mary-of-the-springs,College of St.~Mary of the Springs,College of St. Mary of the Springs,
537,college-of-wooster-publications,College of Wooster Publications,College of Wooster Publications,
538,college-publications,College Publications,College Publications,
539,collegium-st-bonaventurae,Collegium St.~Bonaventurae,Collegium St. Bonaventurae,
540,collier-macmillan,Collier-Macmillan,Collier-Macmillan,
541,colorado-associated-university-press,Colorado Associated University Press,Colorado Associated University Press,
542,columbia-university-press,Columbia University Press,Columbia University Press,
543,columbus,Columbus,Columbus,
544,comares,Comares,Comares,
545,communication-and-cognition,Communication {and} Cognition,Communication and Cognition,
546,compact,Comp'act,Comp'act,
547,complexe,Complexe,Complexe,
548,computer-science-department-stanford-university,"Computer Science Department, Stanford University","Computer Science Department, Stanford University",
549,computer-science-press-inc,"Computer Science Press, Inc.","Computer Science Press, Inc.",
550,computer-law-series-kluwer-law-international,"Computer/Law Series, Kluwer Law International","Computer/Law Series, Kluwer Law International",
551,connaissances-et-savoirs,Connaissances et savoirs,Connaissances et savoirs,
552,conte-editore,Conte Editore,Conte Editore,
553,continuum-international-publishing-group,Continuum International Publishing Group,Continuum International Publishing Group,
554,contrechamps,Contrechamps,Contrechamps,
555,cooperativa-libraria-universitaria-editrice-clueb,Cooperativa Libraria Universitaria Editrice (CLUEB),Cooperativa Libraria Universitaria Editrice (CLUEB),
556,cornell-university-press,Cornell University Press,Cornell University Press,
557,cornelsen-verlag-hirschgraben,Cornelsen Verlag Hirschgraben,Cornelsen Verlag Hirschgraben,
558,corti,Corti,Corti,
559,courcier,Courcier,Courcier,
560,cowles-commission-for-research-in-economics,Cowles Commission for Research in Economics,Cowles Commission for Research in Economics,
561,critica,Cr{\'{\i}}tica,Crítica,
562,cramer-philibert,Cramer \& Philibert,Cramer & Philibert,
563,crc-press,CRC Press,CRC Press,
564,crdp-midi-pyrenees,CRDP Midi-Pyr{\'e}n{\'e}es,CRDP Midi-Pyrénées,
565,crid,CRID,CRID,
566,cristel,Cristel,Cristel,
567,criterion-books,Criterion Books,Criterion Books,
568,croom-helm,Croom Helm,Croom Helm,
569,crossway-books,Crossway Books,Crossway Books,
570,cssp,CSSP,CSSP,
571,cths,CTHS,CTHS,
572,cuecm,CUECM,CUECM,
573,cwk-gleerup-bokforlag,CWK Gleerup Bokforlag,CWK Gleerup Bokforlag,
574,d-devillez,D.~Devillez,D. Devillez,
575,d-reidel-publishing-co,D.~Reidel Publishing Co.,D. Reidel Publishing Co.,
576,departement-de-philosophie,D{\'e}partement de Philosophie,Département de Philosophie,
577,dalloz,Dalloz,Dalloz,
578,dalloz-sirey,Dalloz-Sirey,Dalloz-Sirey,
579,dammtor-verlag,Dammtor-Verlag,Dammtor-Verlag,
580,damon,Damon,Damon,
581,danod,Danod,Danod,
582,dartmouth-publishing,Dartmouth Publishing,Dartmouth Publishing,
583,dc-heath-and-company,DC Heath {and} Company,DC Heath and Company,
584,de-boeck,De Boeck,De Boeck,
585,de-donato,De Donato,De Donato,
586,de-gruyter,de Gruyter,de Gruyter,
587,de-gruyter-mouton,de Gruyter Mouton,de Gruyter Mouton,
588,de-lange,De Lange,De Lange,
589,deckel-muller,"Deckel / M{\""u}ller",Deckel / Müller,
590,delachaux-et-niestle,Delachaux et Niestl{\'e},Delachaux et Niestlé,
591,delagrave,Delagrave,Delagrave,
592,delarge,Delarge,Delarge,
593,dell-publishing,Dell Publishing,Dell Publishing,
594,demopolis,Demopolis,Demopolis,
595,denoel,"Deno{\""e}l",Denoël,
596,dent,Dent,Dent,
597,department-of-linguistics,Department of Linguistics,Department of Linguistics,
598,department-of-linguistics-the-ohio-state-university,"Department of Linguistics, The Ohio State University","Department of Linguistics, The Ohio State University",
599,department-of-linguistics-university-of-goteborg,"Department of Linguistics, University of G{\""o}teborg","Department of Linguistics, University of Göteborg",
600,department-of-mathematics-university-of-oslo,"Department of Mathematics, University of Oslo","Department of Mathematics, University of Oslo",
601,department-of-philosophy,Department of Philosophy,Department of Philosophy,
602,department-of-philosophy-faculteit-der-wijsbegeerte,"Department of Philosophy, Faculteit der Wijsbegeerte","Department of Philosophy, Faculteit der Wijsbegeerte",
603,department-of-philosophy-massachusetts-institute-of-technology,"Department of Philosophy, Massachusetts Institute of Technology","Department of Philosophy, Massachusetts Institute of Technology",
604,department-of-philosophy-university-of-helsinki,"Department of Philosophy, University of Helsinki","Department of Philosophy, University of Helsinki",
605,department-of-philosophy-university-of-leeds,"Department of Philosophy, University of Leeds","Department of Philosophy, University of Leeds",
606,department-of-philosophy-university-of-minnesota,"Department of Philosophy, University of Minnesota","Department of Philosophy, University of Minnesota",
607,department-of-psychology-london-guildhall-university,"Department of Psychology, London Guildhall University","Department of Psychology, London Guildhall University",
608,dept-of-computer-science-monash-university,"Dept.~of Computer Science, Monash University","Dept. of Computer Science, Monash University",
609,dept-of-economics-graduate-school-of-business-university-of-chicago,"Dept.~of Economics, Graduate School of Business, University of Chicago","Dept. of Economics, Graduate School of Business, University of Chicago",
610,der-andere-verlag,Der andere Verlag,Der andere Verlag,
611,der-neue-geist,Der neue Geist,Der neue Geist,
612,derveaux-libraire-editeur,Derveaux Libraire-Editeur,Derveaux Libraire-Editeur,
613,descartes-cie,Descartes \& Cie.,Descartes & Cie.,
614,desclee,Descl{\'e}e,Desclée,
615,desclee-de-brouwer,Descl{\'e}e de Brouwer,Desclée de Brouwer,
616,desjonqueres,Desjonqu{\`e}res,Desjonquères,
617,deutsche-vereins-buchhandlung-von-schmidt-und-helmisch,Deutsche Vereins-Buchhandlung von Schmidt und Helmisch,Deutsche Vereins-Buchhandlung von Schmidt und Helmisch,
618,deutscher-taschenbuchverlag,Deutscher Taschenbuchverlag,Deutscher Taschenbuchverlag,
619,dial-press,Dial Press,Dial Press,
620,dianoia,Dianoia,Dianoia,
621,dickenson-publishing-co,Dickenson Publishing Co.,Dickenson Publishing Co.,
622,diderot-editeur,Diderot {\'E}diteur,Diderot Éditeur,
623,dieterich,Dieterich,Dieterich,
624,dietrichsche-verlagsbuchhandlung,Dietrich'sche Verlagsbuchhandlung,Dietrich'sche Verlagsbuchhandlung,
625,dissertationsverlag-carl-arnold,Dissertationsverlag Carl Arnold,Dissertationsverlag Carl Arnold,
626,docencia,Docencia,Docencia,
627,domus-editorialis-marietti-taurini,Domus Editorialis Marietti Taurini,Domus Editorialis Marietti Taurini,
628,dorset-press,Dorset Press,Dorset Press,
629,doubleday-co,Doubleday \& Co.,Doubleday & Co.,
630,dover-publications,Dover Publications,Dover Publications,
631,dr-riederer-verlag,Dr.~Riederer Verlag,Dr. Riederer Verlag,
632,dr-walther-rothschild,Dr.~Walther Rothschild,Dr. Walther Rothschild,
633,droschl,Droschl,Droschl,
634,droz,Droz,Droz,
635,druck-und-verlag-von-breitkopf-hartel,"Druck und Verlag von Breitkopf \& H{\""a}rtel",Druck und Verlag von Breitkopf & Härtel,
636,dry-bones-press,Dry Bones Press,Dry Bones Press,
637,dryden-press,Dryden Press,Dryden Press,
638,dufart-imprimeur-libraire,"Dufart, Imprimeur-Libraire","Dufart, Imprimeur-Libraire",
639,duke-university-press,Duke University Press,Duke University Press,
640,dumb-ox-books,Dumb Ox Books,Dumb Ox Books,
641,dumont,Dumont,Dumont,
642,duncker-humblot,Duncker \& Humblot,Duncker & Humblot,
643,dunod,Dunod,Dunod,
644,dunod-afcet-systemes,Dunod Afcet Syst{\`e}mes,Dunod Afcet Systèmes,
645,dunod-ou-inter-editions,Dunod ou InterEditions,Dunod ou InterEditions,
646,duprat,Duprat,Duprat,
647,duquesne-university-press,Duquesne University Press,Duquesne University Press,
648,duxbury-press,Duxbury Press,Duxbury Press,
649,e-chiron,E.~Chiron,E. Chiron,
650,e-nauwelaerts,E.~Nauwelaerts,E. Nauwelaerts,
651,e-van-balberghe-y-gaevert,E.~Van Balberghe-Y.~Gaevert,E. Van Balberghe-Y. Gaevert,
652,e-vitte,E.~Vitte,E. Vitte,
653,ej-brill,E.J.~Brill,E.J. Brill,
654,ep-dutton-co,E.P.~Dutton \& Co.,E.P. Dutton & Co.,
655,es-mittler-sohn-verlagsbuchhandlung,E.S.~Mittler \& Sohn Verlagsbuchhandlung,E.S. Mittler & Sohn Verlagsbuchhandlung,
656,ec-editions,EC {\'e}ditions,EC éditions,
657,economica,Economica,Economica,
658,ed-cooperativa-universitaria-studio-e-lavoro,Ed.~Cooperativa Universitaria Studio e Lavoro,Ed. Cooperativa Universitaria Studio e Lavoro,
659,ed-domenicane,Ed.~Domenicane,Ed. Domenicane,
660,edhasa,Edhasa,Edhasa,
661,edicoes-loyola,Edi{\c{c}}{\^o}es Loyola,Ediçôes Loyola,
662,edicia-filozofia-do-vrecka,Edicia Filozofia do vrecka,Edicia Filozofia do vrecka,
663,ediciones-akal,Ediciones Akal,Ediciones Akal,
664,ediciones-ariel,Ediciones Ariel,Ediciones Ariel,
665,ediciones-del-bronce,Ediciones del Bronce,Ediciones del Bronce,
666,edifa,EDIFA,EDIFA,
667,edinburgh-university-press,Edinburgh University Press,Edinburgh University Press,
668,edisud,Edisud,Edisud,
669,edition-open-access,Edition Open Access,Edition Open Access,
670,editiones-instituti-franciscani-universitatis-s-bonaventurae,Editiones Instituti Franciscani Universitatis S.~Bonaventurae,Editiones Instituti Franciscani Universitatis S. Bonaventurae,
671,editiones-scholasticae,Editiones Scholasticae,Editiones Scholasticae,
672,editora-34,Editora 34,Editora 34,
673,editori-di-san-tommaso,Editori di San Tommaso,Editori di San Tommaso,
674,editori-laterza,Editori Laterza,Editori Laterza,
675,editorial-estela,Editorial Estela,Editorial Estela,
676,editorial-martinez-de-murguia,Editorial Mart{\'{\i}}nez de Murgu{\'{\i}}a,Editorial Martínez de Murguía,
677,editorial-universitaria-de-buenos-aires,Editorial Universitaria de Buenos Aires,Editorial Universitaria de Buenos Aires,
678,editoriale-jaca-book,Editoriale Jaca Book,Editoriale Jaca Book,
679,editrice-antenore,Editrice Antenore,Editrice Antenore,
680,editrice-la-scuola,Editrice la Scuola,Editrice la Scuola,
681,editrice-vita-e-pensiero,Editrice Vit{\`a} e pensiero,Editrice Vità e pensiero,
682,editura-amarcord,Editura Amarcord,Editura Amarcord,
683,edivi,Edivi,Edivi,
684,edizione-angelo-guerini-e-associati,Edizione Angelo Guerini e Associati,Edizione Angelo Guerini e Associati,
685,edizione-cremonese,Edizione cremonese,Edizione cremonese,
686,edizione-dell-ateneo,Edizione dell'Ateneo,Edizione dell'Ateneo,
687,edizione-vallombrosa,Edizione Vallombrosa,Edizione Vallombrosa,
688,edizioni-albo-versorio,Edizioni AlboVersorio,Edizioni AlboVersorio,
689,edizioni-di-communita,Edizioni di Communit{\`a},Edizioni di Communità,
690,edizioni-di-filosofia,Edizioni di Filosofia,Edizioni di Filosofia,
691,edizioni-di-storia-e-letteratura,Edizioni di Storia e Letteratura,Edizioni di Storia e Letteratura,
692,edizioni-diabasis,Edizioni Diabasis,Edizioni Diabasis,
693,edizioni-ets,Edizioni ETS,Edizioni ETS,
694,edizioni-mercurio,Edizioni Mercurio,Edizioni Mercurio,
695,edizioni-milella,Edizioni Milella,Edizioni Milella,
696,edizioni-scientifiche-italiane,Edizioni Scientifiche Italiane,Edizioni Scientifiche Italiane,
697,edizioni-terra-dei-fioretti,Edizioni Terra dei Fioretti,Edizioni Terra dei Fioretti,
698,edizioni-zara,Edizioni Zara,Edizioni Zara,
699,edp-sciences,EDP sciences,EDP sciences,
700,edusc,Edusc,Edusc,
701,edward-arnold,Edward Arnold,Edward Arnold,
702,edward-elgar-publishing-limited,Edward Elgar Publishing Limited,Edward Elgar Publishing Limited,
703,edwards-brothers,Edwards Brothers,Edwards Brothers,
704,edwin-mellen-press,Edwin Mellen Press,Edwin Mellen Press,
705,egbert-sanger,Egbert Sanger,Egbert Sanger,
706,ehrhardt-karras,Ehrhardt Karras,Ehrhardt Karras,
707,ejw-gibb-memorial-trust,EJW Gibb Memorial Trust,EJW Gibb Memorial Trust,
708,elanders-boktryckerii-aktiebolag,Elanders Boktryckerii Aktiebolag,Elanders Boktryckerii Aktiebolag,
709,elibron,Elibron,Elibron,
710,eliz-holt-for-thomas-basset-at-the-george-in-fleet-street,"Eliz.~Holt, for Thomas Basset, at the George in Fleet Street","Eliz. Holt, for Thomas Basset, at the George in Fleet Street",
711,ellipses,Ellipses,Ellipses,
712,ellis-horwood-ltd,"Ellis Horwood, Ltd.","Ellis Horwood, Ltd.",
713,elsevier-science-publishers-bv,Elsevier Science Publishers B.V.,Elsevier Science Publishers B.V.,
714,emerald-group-publishing-ltd,Emerald Group Publishing Ltd.,Emerald Group Publishing Ltd.,
715,encounter-books,Encounter Books,Encounter Books,
716,encre-marine,Encre marine,Encre marine,
717,engelhardt,Engelhardt,Engelhardt,
718,ennoia,Ennoia,Ennoia,
719,ens-editions,ENS {\'E}ditions,ENS Éditions,
720,ens-editions-de-jeunes-filles,ENS {\'E}ditions de Jeunes Filles,ENS Éditions de Jeunes Filles,
721,entrelacs,Entrelacs,Entrelacs,
722,epel,EPEL,EPEL,
723,eringerfeld,Eringerfeld,Eringerfeld,
724,ernest-benn-ltd,"Ernest Benn, Ltd.","Ernest Benn, Ltd.",
725,ernst-klett-verlag,Ernst Klett Verlag,Ernst Klett Verlag,
726,ernst-plates,Ernst Plates,Ernst Plates,
727,escampette,Escampette,Escampette,
728,esf-editeur,ESF {\'e}diteur,ESF éditeur,
729,eska,Eska,Eska,
730,eudeba,Eudeba,Eudeba,
731,eugene-vance,Eug{\`e}ne Vance,Eugène Vance,
732,eugen-diederichs,Eugen Diederichs,Eugen Diederichs,
733,eunsa,Eunsa,Eunsa,
734,eupress-ftl,Eupress-FTL,Eupress-FTL,
735,europaische-verlagsanstalt,"Europ{\""a}ische Verlagsanstalt",Europäische Verlagsanstalt,
736,europa-verlag,Europa Verlag,Europa Verlag,
