bibkey,note_perso,note_stock,note_missing,change_request,dltc_copyediting_note,todo_general
abbott_b:2006,,in file \citep{birner_bj-ward:2006},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1075/slcs.80,,
abbott_b:2011,,in file \citep{maienborn-etal:2011},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1515/9783110226614,,
abbott_b:2012,,in file \citep{russell_gi-fara:2012},,,,
abbott_b:2014,,in file \citep{gamerschlag-etal:2014},,,,
abbott_b:2017,,in file \citep{huang_y:2017},,,,
abbott_bp-etal:2016,,file,,,DIAL,
abbott_tk:1904,,file,,,,
abbri:1994,,in file \citep{poggi_s-bossi:1994},,,,
abbruzzese:1997,,file,,,,
abbruzzese:2007,,file,,,,
abbruzzese:2007a,,file,,,,
abbruzzese:2008,,file,,,,
abdallah:2008,,in file \citep{winter_t:2008},,,,
abdelhaleem:2008,,in file \citep{winter_t:2008},,,,
abdelnabi-charlton:2014,,in file \citep{grimshaw_ma:2014},,,,
abdelrahman:1971,,file,,,,
abdolmohammadi-nixon:1999,,in file \citep{frederick_r:1999},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470998397,,
abdoo:1984,,in file \citep{tymieniecka:1984a},,,,
abdoo:1985,,in file \citep{tymieniecka:1985},,,,
abdoo:1988,,in file \citep{tymieniecka:1988},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/cbo9780511550270,,
abdoo:1990,,in file \citep{tymieniecka:1990a},,,,
abdoo:1992,,in file \citep{tymieniecka:1992},,,,
abdoo:1995,,in file \citep{tymieniecka:1995},,,,
abdoo:1997,,in file \citep{tymieniecka:1997a},,,,
abdullallah:1925,,file,,,,
abdulsayeed:1999,,file,,,,
abe_fu:1998,,in file \citep{tymieniecka-matsuba:1998},,,,
abe_jm-akama:1997,,file,,,,
abe_jm:1997,,file,,,,
abe_jm:1998,,file,,,,
abeille:2006,,in file \citep{bonami-cabredohofherr:2006},,,,
abel_ab:1991,,in file \citep{eatwell-etal:1991},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-1-349-21315-3,,
abel_c:2013,,in file \citep{bhatt_r:2013},,,,
abel_g-conant:2012,,file,,,,
abel_g-conant:2012a,,file,,,,
abel_g-pluemacher:2016,,,,WP5-GET-PDF,,
abel_g-sandkuehler:1996,,,,WP6-GET-PDF,,
abel_g:2011,,in file \citep{gethmann:2011},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.28937/978-3-7873-2399-9,,
abel_g:2012,,in file \citep{abel_g-conant:2012},,,,
abel_o-etal:2008,,file,,,,
abel_o:2008,,file,,,,
abel_r:1969,in GE,,,,,
abela:2002,,file,,,,
abela:2005,,in file \citep{bird_g:2005},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470996287,,
abela:2012,,in file \citep{baiasu_r-etal:2012},,,,
abela:2013,in GE,,,,,
abela:2015,,in file \citep{gardner_s-grist:2015},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780198724872.001.0001,,
abeledo-flichman:1997,,file,,,,
abeler_j-etal:2011,,file,,,,
abeles_ff:2005,,file,,,,
abeles_ff:2007,,file,,,,
abeles_ff:2014,,file,,,,
abeles_m:1994,,in file \citep{domany-etal:1994a},,,,
abell_c-bantinaki:2010,,file,,,,
abell_c-bantinaki:2010a,,in file \citep{abell_c-bantinaki:2010},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199585960.001.0001,,
abell_c-smith:2016,,file,,,,
abell_c-smith:2016a,,in file \citep{abell_c-smith:2016},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1017/cbo9781316275672,,
abell_c:2005a,,file,,,,
abell_c:2007,,file,,,,
abell_c:2010,,file,,,,
abell_c:2010a,,in file \citep{abell_c-bantinaki:2010},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780199585960.001.0001,,
abell_c:2013,,file,,,,
abell_c:2015,,file,,,,
abell_c:2020,,,,WP4-GET-PDF (ISBN:9780198831525 / 9780191869297,,
abell_c:2023,,file,,WP16-GET-DOIs,,
abell_p-reyniers:2000,,file,,,,
abelson_r:1960,,in file \citep{hook_s:1960},,,,
abelson_r:1961,y,,,,,
abelson_r:1961a,,file,,,,
abelson_r:1969,in GE,,,,,
abelson_r:1977,,file,,,,
aberdein_a-read:2009,,in file \citep{haaparanta:2009},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/acprof:oso/9780195137316.001.0001,,
aberdein_a:2007,,in file \citep{vankerkhove-vanbendegem:2007},,,,
aberdein_a:2021,,in file \citep{alfano-etal:2021},,,,
aberg_c:1974a,,in file \citep{stenlund:1974},,,,
aberg_c:1989,,file,,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1515/9783110866858,,
aberg_y:2009,,in file \citep{hedstroem_p-bearman:2009},,,,
abernathy_r:1961,,in file \citep{jakobson:1961},,,,
abers_es-kennel:1975,,in file \citep{westman_rs:1975},,,,
abert_h:1984,,in file \citep{andersson_g:1984},,,,
aberth:1970,,in file \citep{kino-etal:1970},,,,
abeysinghe-huq:2016,,in file \citep{heyward_c-roser:2016},,,,
abian-lamacchia:1978,,file,,,,
abian:1969,,file,,,,
abiram:1986,,in file \citep{ullmannmargalit:1986a},,,,
abizadeh-gilabert:2008,,file,,,,
ablondi-simmons:2011,,file,,,,
ablondi:1996,,file,,,,
ablondi:1998,,file,,,,
ablondi:1999,,file,,,,
ablondi:2002,,file,,,,
ablondi:2005,y,,,,,
ablondi:2008,,file,,,,
ablondi:2012,,file,,,,
abney_k:2013,,in file \citep{allhoff-etal:2013},,,,
abney_s:1996,,in file \citep{klavans-resnik:1996},,,,
aboh-degraff:2016,,in file \citep{roberts_i:2016},,,,
abolitionradio:2021,,in file \citep{coyle_mj-scott:2021},,,,
aboodi:2015,,file,,,,
abouharb:2012,,in file \citep{cushman_t:2012},,,,
