id,journal_key,name_latex,name_unicode,issn_print,issn_electronic
58,american-journal-of-mathematics,American Journal of Mathematics,American Journal of Mathematics,,
59,american-journal-of-physics,American Journal of Physics,American Journal of Physics,,
60,american-journal-of-primatology,American Journal of Primatology,American Journal of Primatology,,
61,american-journal-of-psychiatry,American Journal of Psychiatry,American Journal of Psychiatry,,
62,american-journal-of-psychology,American Journal of Psychology,American Journal of Psychology,,
63,american-journal-of-psychotherapy,American Journal of Psychotherapy,American Journal of Psychotherapy,,
64,american-journal-of-sociology,American Journal of Sociology,American Journal of Sociology,,
65,american-mathematical-society,American Mathematical Society,American Mathematical Society,,
66,american-naturalist,American Naturalist,American Naturalist,,
67,american-political-science-review,American Political Science Review,American Political Science Review,,
68,american-scholar,American Scholar,American Scholar,,
69,american-scientist,American Scientist,American Scientist,,
70,american-speech,American Speech,American Speech,,
71,anales-del-seminario-de-historia-de-la-filosofia,Anales del seminario de historia de la filosof{\'{\i}}a,Anales del seminario de historia de la filosofía,,
72,ancient-philosophy,Ancient Philosophy,Ancient Philosophy,,
73,animal-behaviour,Animal Behaviour,Animal Behaviour,,
74,animal-sentience,Animal Sentience,Animal Sentience,,
75,annales-de-la-societe-polonaise-de-mathematique,Annales de la Soci{\'e}t{\'e} Polonaise de Math{\'e}matique,Annales de la Société Polonaise de Mathématique,,
76,annales-scientifiques-de-l-ecole-normale-superieure,Annales scientifiques de l'{\'E}cole normale sup{\'e}rieure,Annales scientifiques de l'École normale supérieure,,
77,annales-universitatis-scientiarum-budapestinensis-de-rolando-eotvos-nominatae-sectio-philosophica-et-sociologica,"Annales Universitatis Scientiarum Budapestinensis de Rolando E{\""o}tv{\""o}s Nominatae.~Sectio Philosophica et Sociologica",Annales Universitatis Scientiarum Budapestinensis de Rolando Eötvös Nominatae. Sectio Philosophica et Sociologica,,
78,annali-del-dipartimento-di-filosofia-nuova-serie,Annali del Dipartimento di Filosofia (Nuova Serie),Annali del Dipartimento di Filosofia (Nuova Serie),,
79,annali-della-facolta-de-filosofia-della-universita-degli-studi-di-perugia,Annali della Facolt{\`a} de filosofia della Universit{\`a} degli Studi di Perugia,Annali della Facoltà de filosofia della Università degli Studi di Perugia,,
80,annali-della-facolta-di-lettere-e-filosofia-universita-di-siena,"Annali della Facolt{\`a} di Lettere e Filosofia, Universit{\`a} di Siena","Annali della Facoltà di Lettere e Filosofia, Università di Siena",,
81,annali-di-ca-foscari,Annali di Ca'Foscari,Annali di Ca'Foscari,,
82,annals-of-mathematical-studies,Annals of Mathematical Studies,Annals of Mathematical Studies,,
83,annals-of-mathematics-and-statistics,Annals of Mathematics and Statistics,Annals of Mathematics and Statistics,,
84,annals-of-medicine,Annals of Medicine,Annals of Medicine,,
85,annals-of-neurology,Annals of Neurology,Annals of Neurology,,
86,annals-of-statistics,Annals of Statistics,Annals of Statistics,,
87,annals-of-the-american-academy-of-political-and-social-science,Annals of the American Academy of Political and Social Science,Annals of the American Academy of Political and Social Science,,
88,annals-of-the-new-york-academy-of-sciences,Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences,,
89,annuaire-de-l-academie-royale-de-belgique-gembloux-duculot,"Annuaire de l'Acad{\'e}mie royale de Belgique (Gembloux, Duculot)","Annuaire de l'Académie royale de Belgique (Gembloux, Duculot)",,
90,annual-review-of-computational-science,Annual Review of Computational Science,Annual Review of Computational Science,,
91,annual-review-of-computer-science,Annual Review of Computer Science,Annual Review of Computer Science,,
92,annual-review-of-earth-and-planetary-sciences,Annual Review of Earth and Planetary Sciences,Annual Review of Earth and Planetary Sciences,,
93,annual-review-of-ecology-and-systematics,Annual Review of Ecology and Systematics,Annual Review of Ecology and Systematics,,
94,annual-review-of-psychology,Annual Review of Psychology,Annual Review of Psychology,,
95,annuario-drrecom,Annuario Drrecom,Annuario Drrecom,,
96,anonianum,Anonianum,Anonianum,,
97,anthos,Anth{\'o}s,Anthós,,
98,anthropological-linguistics,Anthropological Linguistics,Anthropological Linguistics,,
99,anthropological-theory,Anthropological Theory,Anthropological Theory,,
100,antonianum,Antonianum,Antonianum,,
101,anzeiger-der-akademie-der-wissenschaften-in-wien-mathematischnaturwissenschaftliche-klasse,"Anzeiger der Akademie der Wissenschaften in Wien, Mathematisch-naturwissenschaftliche Klasse","Anzeiger der Akademie der Wissenschaften in Wien, Mathematisch-naturwissenschaftliche Klasse",,
102,aporia,Aporia,Aporia,,
103,applied-animal-behaviour-science,Applied Animal Behaviour Science,Applied Animal Behaviour Science,,
104,applied-animal-ethiology,Applied Animal Ethiology,Applied Animal Ethiology,,
105,applied-artificial-intelligence,Applied Artificial Intelligence,Applied Artificial Intelligence,,
106,applied-cognitive-psychology,Applied Cognitive Psychology,Applied Cognitive Psychology,,
107,applied-linguistics,Applied Linguistics,Applied Linguistics,,
108,applied-psycholinguistics,Applied Psycholinguistics,Applied Psycholinguistics,,
109,arbeit-und-sozialpolitik,Arbeit und Sozialpolitik,Arbeit und Sozialpolitik,,
110,arc-the-journal-of-the-faculty-of-religious-studies,ARC: The Journal of the Faculty of Religious Studies,ARC: The Journal of the Faculty of Religious Studies,,
111,archiv-fur-die-civilistische-praxis,"Archiv f{\""u}r die civilistische Praxis",Archiv für die civilistische Praxis,,
112,archiv-fur-die-gesamte-psychologie,"Archiv f{\""u}r die gesamte Psychologie",Archiv für die gesamte Psychologie,,
113,archiv-fur-geschichte-der-naturwissenschaften-und-der-technik,"Archiv f{\""u}r Geschichte der Naturwissenschaften und der Technik",Archiv für Geschichte der Naturwissenschaften und der Technik,,
114,archiv-fur-kulturgeschichte,"Archiv f{\""u}r Kulturgeschichte",Archiv für Kulturgeschichte,,
115,archiv-fur-sozialwissenschaft-und-sozialpolitik,"Archiv f{\""u}r Sozialwissenschaft und Sozialpolitik",Archiv für Sozialwissenschaft und Sozialpolitik,,
116,archives-de-psychologie,Archives de Psychologie,Archives de Psychologie,,
117,archives-europeenes-de-sociologie,Archives europ{\'e}enes de sociologie,Archives européenes de sociologie,,
118,archives-internationales-dhistoire-des-idees,Archives internationales d'histoire des id{\'e}es,Archives internationales d'histoire des idées,,
119,archives-italiennes-de-biologie,Archives italiennes de biologie,Archives italiennes de biologie,,
120,archives-of-general-psychiatry,Archives of General Psychiatry,Archives of General Psychiatry,,
121,archives-of-neurology,Archives of Neurology,Archives of Neurology,,
122,archives-of-neurology-and-psychiatry,Archives of Neurology and Psychiatry,Archives of Neurology and Psychiatry,,
123,archivio-di-filosofia,Archivio di filosofia,Archivio di filosofia,,
124,archivum-linguisticum,Archivum Linguisticum,Archivum Linguisticum,,
125,archiwum-historji-i-filozofji-madycyny-oraz-historji-nauk-przyrodniczych,Archiwum Historji i Filozofji Madycyny oraz Historji Nauk Przyrodniczych,Archiwum Historji i Filozofji Madycyny oraz Historji Nauk Przyrodniczych,,
126,armenian-forum,Armenian Forum,Armenian Forum,,
127,ars-disputandi,Ars Disputandi,Ars Disputandi,,
128,art-academe,Art \& Academe,Art & Academe,,
129,artificial-intelligence-review,Artificial Intelligence Review,Artificial Intelligence Review,,
130,artificial-life,Artificial Life,Artificial Life,,
131,arts-proceedings-of-the-sydney-university-arts-association,Arts (Proceedings of the Sydney University Arts Association),Arts (Proceedings of the Sydney University Arts Association),,
132,asclepio,Asclepio,Asclepio,,
133,association-internationale-de-semiotique,Association internationale de s{\'e}miotique,Association internationale de sémiotique,,
134,astrobiology,Astrobiology,Astrobiology,,
135,astrophysical-journal,Astrophysical Journal,Astrophysical Journal,,
136,attention-perception-psychophysics,"Attention, Perception, \& Psychophysics","Attention, Perception, & Psychophysics",,
137,australian-journal-of-clinical-and-experimental-hypnosis,Australian Journal of Clinical and Experimental Hypnosis,Australian Journal of Clinical and Experimental Hypnosis,,
138,australian-journal-of-linguistics,Australian Journal of Linguistics,Australian Journal of Linguistics,,
139,australian-journal-of-psychology,Australian Journal of Psychology,Australian Journal of Psychology,,
140,australian-psychologist,Australian Psychologist,Australian Psychologist,,
141,austriaca,Austriaca,Austriaca,,
142,baltic-international-yearbook-of-logic-cognition-and-communication,"Baltic International Yearbook of Logic, Cognition and Communication","Baltic International Yearbook of Logic, Cognition and Communication",,
143,behavior-research-and-therapy,Behavior Research and Therapy,Behavior Research and Therapy,,
144,behavior-science-research,Behavior Science Research,Behavior Science Research,,
145,behavioral-science,Behavioral Science,Behavioral Science,,
146,behavioural-brain-research,Behavioural Brain Research,Behavioural Brain Research,,
147,behavioural-neurology,Behavioural Neurology,Behavioural Neurology,,
148,behavioural-processes,Behavioural Processes,Behavioural Processes,,
149,beitrage-zur-philosophie-des-deutschen-idealismus,"Beitr{\""a}ge zur Philosophie des Deutschen Idealismus",Beiträge zur Philosophie des Deutschen Idealismus,,
150,bell-system-technical-journal,Bell System Technical Journal,Bell System Technical Journal,,
