id,series_key,name_latex,name_unicode
1249,the_cambridge_history_of_socialism,The Cambridge History of Socialism,The Cambridge History of Socialism
1250,filosofie_analtiche_estetica,Filosofie Analtiche -- Estetica,Filosofie Analtiche – Estetica
1251,philosophica,Philosophica,Philosophica
1252,understanding_life,Understanding Life,Understanding Life
1253,seacula_spiritalia,Seacula Spiritalia,Seacula Spiritalia
1254,aristote_traductions_et_e_tudes,"Aristote, traductions et {\'e}tudes","Aristote, traductions et études"
1255,lexis_supplemento,Lexis Supplemento,Lexis Supplemento
1256,filosofie_analtiche_linguaggio,Filosofie Analtiche -- Linguaggio,Filosofie Analtiche – Linguaggio
1257,m_e_morial_des_sciences_math_e_matiques,M{\'e}morial des sciences math{\'e}matiques,Mémorial des sciences mathématiques
1258,ecrivains,Ecrivains,Ecrivains
1259,value_inquiry_book_series,Value Inquiry Book Series,Value Inquiry Book Series
1260,collection_cursus_s_e_rie_philosophie,"Collection Cursus, s{\'e}rie ``Philosophie''\,","Collection Cursus, série “Philosophie”"
1261,profiles,Profiles,Profiles
1262,werke,Werke,Werke
1263,explorations_et_d_e_couvertes_en_terres_humaines,Explorations et d{\'e}couvertes en terres humaines,Explorations et découvertes en terres humaines
1265,collection_de_logique_math_e_matique,Collection de Logique Math{\'e}matique,Collection de Logique Mathématique
1266,towards_a_universal_civilization,Towards a Universal Civilization,Towards a Universal Civilization
1267,l_orizzonte,L'Orizzonte,L'Orizzonte
1268,very_short_introductions,Very Short Introductions,Very Short Introductions
1269,cambridge_texts_in_the_history_of_political_thought,Cambridge Texts in the History of Political Thought,Cambridge Texts in the History of Political Thought
1270,routledge_guides_to_the_great_books,Routledge Guides to the Great Books,Routledge Guides to the Great Books
1271,routledge_philosophy_companions,Routledge Philosophy Companions,Routledge Philosophy Companions
1272,biblioth_e_que_des_histoires,Biblioth{\'e}que des Histoires,Bibliothéque des Histoires
1273,münchener_universitätsreden_neue_folge,Münchener Universitätsreden. Neue Folge,Münchener Universitätsreden. Neue Folge
1274,rowohlts_monographien,Rowohlts Monographien,Rowohlts Monographien
1277,philosophical_studies_in_contemporary_culture,Philosophical Studies in Contemporary Culture,Philosophical Studies in Contemporary Culture
1278,arthur_schopenhauer_s_a_mtliche_werke,"Arthur Schopenhauer.~S{\""a}mtliche Werke",Arthur Schopenhauer. Sämtliche Werke
1279,d_e_bats_philosophiques,D{\'e}bats philosophiques,Débats philosophiques
1280,ideas_in_profile,Ideas in Profile,Ideas in Profile
1281,initation_philosophique,Initation philosophique,Initation philosophique
1282,romantisme_et_modernit_e,Romantisme et modernit{\'e},Romantisme et modernité
1283,heuresis,Heuresis,Heuresis
1284,rochester_studies_in_philosophy,Rochester Studies in Philosophy,Rochester Studies in Philosophy
1285,handbook_of_the_philosophy_of_science,Handbook of the Philosophy of Science,Handbook of the Philosophy of Science
