id,series_key,name_latex,name_unicode
1,biblioth_e_que_litt_e_raire_de_la_renaissance_s_e_rie_3,"Biblioth{\`e}que litt{\'e}raire de la Renaissance, s{\'e}rie 3","Bibliothèque littéraire de la Renaissance, série 3"
2,dialogikon,Dialogikon,Dialogikon
3,routledge_studies_in_eighteenth_century_philosophy,Routledge Studies in Eighteenth-Century Philosophy,Routledge Studies in Eighteenth-Century Philosophy
4,histoire_et_perspectives_m_e_diterran_e_ennes,Histoire et perspectives m{\'e}diterran{\'e}ennes,Histoire et perspectives méditerranéennes
5,collection_beauchesne,Collection Beauchesne,Collection Beauchesne
6,imaginaire_pluriel,Imaginaire pluriel,Imaginaire pluriel
7,archiv_f_u_r_begriffsgeschichte_sonderheft,"Archiv f{\""u}r Begriffsgeschichte, Sonderheft","Archiv für Begriffsgeschichte, Sonderheft"
8,folio_essais,Folio Essais,Folio Essais
9,l_univers_des_normes,L'univers des normes,L'univers des normes
10,arthur_schopenhauers_werke_in_f_u_nf_b_a_nden,"Arthur Schopenhauers Werke in f{\""u}nf B{\""a}nden",Arthur Schopenhauers Werke in fünf Bänden
11,penser_le_droit,Penser le droit,Penser le droit
12,longman_linguistic_library,longman linguistic library,longman linguistic library
13,perspektiven_der_ethik,Perspektiven der Ethik,Perspektiven der Ethik
14,studies_in_linguistics_and_philosophy,Studies in Linguistics and Philosophy,Studies in Linguistics and Philosophy
15,metaphysical_research,Metaphysical Research,Metaphysical Research
16,storia_e_letteratura,Storia e Letteratura,Storia e Letteratura
17,midrash,Midrash,Midrash
18,ethics_of_science_and_technology_assessment,Ethics of Science and Technology Assessment,Ethics of Science and Technology Assessment
19,palgrave_studies_in_the_future_of_humanity_and_its_successors,Palgrave Studies in the Future of Humanity and its Successors,Palgrave Studies in the Future of Humanity and its Successors
20,key_contemporary_thinkers,Key Contemporary Thinkers,Key Contemporary Thinkers
21,studies_in_marxism_and_social_theory,Studies in Marxism and Social Theory,Studies in Marxism and Social Theory
22,foundations_of_business_ethics,Foundations of Business Ethics,Foundations of Business Ethics
23,cin_e_ma_et_philosophie,Cin{\'e}ma et philosophie,Cinéma et philosophie
24,akan_einzelschriften,AKAN Einzelschriften,AKAN Einzelschriften
25,biblioth_e_que_du_naturaliste_la,Biblioth{\'e}que du naturaliste (la),Bibliothéque du naturaliste (la)
26,a_propos,A propos,A propos
27,non_non,Non \& non,Non & non
28,gesammelte_werke_ii_abteilung_lateinische_schriften,"Gesammelte Werke, II.~Abteilung; Lateinische Schriften","Gesammelte Werke, II. Abteilung; Lateinische Schriften"
29,consciousness_and_emotion_book_series,Consciousness and Emotion Book Series,Consciousness and Emotion Book Series
30,intervention_philosophique,Intervention philosophique,Intervention philosophique
31,schriften_zum_strafrecht,Schriften zum Strafrecht,Schriften zum Strafrecht
32,manchester_studies_in_religion_culture_and_gender,"Manchester Studies in Religion, Culture and Gender","Manchester Studies in Religion, Culture and Gender"
33,ver_o_ffentlichungen_der_brentano_gesellschaft,"Ver{\""o}ffentlichungen der Brentano-Gesellschaft",Veröffentlichungen der Brentano-Gesellschaft
34,psychology_in_progress,Psychology in Progress,Psychology in Progress
35,publicazioni_dell_universit_a_di_ferrara,Publicazioni dell'Universit{\`a} di Ferrara,Publicazioni dell'Università di Ferrara
36,synthese_language_library,Synthese Language Library,Synthese Language Library
37,routledge_studies_in_metaphysics,Routledge Studies in Metaphysics,Routledge Studies in Metaphysics
38,esth_e_tiques,Esth{\'e}tiques,Esthétiques
39,the_annals_of_the_new_york_academy_of_science,The Annals of the New York Academy of Science,The Annals of the New York Academy of Science
40,foundations_of_language_supplementary_series,Foundations of Language; Supplementary Series,Foundations of Language; Supplementary Series
41,histoire_plurielle,Histoire plurielle,Histoire plurielle
42,studies_in_philosphy_and_the_history_of_philosophy,Studies in Philosphy and the History of Philosophy,Studies in Philosphy and the History of Philosophy
43,travaux_du_centre_de_recherches_s_e_miologiques,Travaux du Centre de Recherches S{\'e}miologiques,Travaux du Centre de Recherches Sémiologiques
44,vocabulaire_de_dots,Vocabulaire de \dots,Vocabulaire de …
45,metaphysik_und_ontologie,Metaphysik und Ontologie,Metaphysik und Ontologie
46,geist_und_geschichte,Geist und Geschichte,Geist und Geschichte
47,cahiers_de_philosophie_de_l_universit_e_de_caen,Cahiers de philosophie de l'Universit{\'e} de Caen,Cahiers de philosophie de l'Université de Caen
48,musique_philosophie,Musique Philosophie,Musique Philosophie
49,le_champ_e_thique,Le Champ {\'e}thique,Le Champ éthique
50,questions_de_vie,Questions de vie,Questions de vie
51,philo_philosophes,Philo-philosophes,Philo-philosophes
52,recherches_et_documents_am_e_riques_latines,Recherches et documents Am{\'e}riques Latines,Recherches et documents Amériques Latines
53,philosophie_politique,Philosophie \& Politique,Philosophie & Politique
54,mind_knowledge_communication,Mind Knowledge Communication,Mind Knowledge Communication
55,chemins_philosophiques,Chemins Philosophiques,Chemins Philosophiques
56,dimensions_of_philosophy_series,Dimensions of Philosophy Series,Dimensions of Philosophy Series
57,pratiques_et_enjeux_p_e_dagogiques,Pratiques et enjeux p{\'e}dagogiques,Pratiques et enjeux pédagogiques
58,islamic_philosophy_and_theology_texts_and_studies,Islamic Philosophy and Theology.~Texts and Studies,Islamic Philosophy and Theology. Texts and Studies
59,new_problems_of_philosophy,New Problems of Philosophy,New Problems of Philosophy
60,l_apr_e_s_d_e_veloppement,L'apr{\'e}s-d{\'e}veloppement,L'aprés-développement
61,fondo_di_studi_parini_chirio_universit_a_degli_studi_di_torino_filosofia,Fondo di studi Parini-Chirio.~Universit{\`a} degli Studi di Torino.~Filosofia,Fondo di studi Parini-Chirio. Università degli Studi di Torino. Filosofia
62,les_petites_pommes_du_savoir,Les petites pommes du savoir,Les petites pommes du savoir
63,palgrave_studies_in_comparative_east_west_philosophy,Palgrave Studies in Comparative East-West Philosophy,Palgrave Studies in Comparative East-West Philosophy
64,studi_e_testi_per_la_storia_della_tolleranza_in_europa_nei_secoli_xvi_xviii,Studi e testi per la storia della tolleranza in Europa nei secoli XVI-XVIII,Studi e testi per la storia della tolleranza in Europa nei secoli XVI-XVIII
65,problemata,Problemata,Problemata
66,recherches_et_d_e_bats,Recherches et d{\'e}bats,Recherches et débats
67,warwick_series_in_the_humanities,Warwick Series in the Humanities,Warwick Series in the Humanities
68,rencontres_de_philosophie_m_e_di_e_vale,Rencontres de Philosophie M{\'e}di{\'e}vale,Rencontres de Philosophie Médiévale
69,ver_o_ffentlichungen_des_instituts_wiener_kreis,"Ver{\""o}ffentlichungen des Instituts Wiener Kreis",Veröffentlichungen des Instituts Wiener Kreis
70,collection_des_e_tudes_augustiniennes_s_e_rie_antiquit_e,Collection des {\'e}tudes augustiniennes ; S{\'e}rie Antiquit{\'e},Collection des études augustiniennes ; Série Antiquité
71,l_e_thique_en_mouvement,L'{\'E}thique en mouvement,L'Éthique en mouvement
72,anthropocene_humanities_and_social_sciences,Anthropocene -- Humanities and Social Sciences,Anthropocene – Humanities and Social Sciences
73,collection_d_histoire_des_institutions_et_des_id_e_es_politiques,Collection d'histoire des institutions et des id{\'e}es politiques,Collection d'histoire des institutions et des idées politiques
74,great_minds_series,Great Minds Series,Great Minds Series
75,e_pist_e_mologie_et_philosophie_des_sciences,{\'E}pist{\'e}mologie et philosophie des sciences,Épistémologie et philosophie des sciences
76,points_essais,Points ; Essais,Points ; Essais
77,piccola_biblioteca_einaudi_filosofia,Piccola Biblioteca Einaudi -- Filosofia,Piccola Biblioteca Einaudi – Filosofia
78,technical_note,Technical Note,Technical Note
79,routledge_studies_in_twentieth_century_philosophy,Routledge Studies in Twentieth Century Philosophy,Routledge Studies in Twentieth Century Philosophy
80,textes_rares,Textes rares,Textes rares
81,pr_e_tentaine,Pr{\'e}tentaine,Prétentaine
82,comparative_philosophy_of_religion,Comparative Philosophy of Religion,Comparative Philosophy of Religion
83,philosophy_for_everyone,Philosophy for Everyone,Philosophy for Everyone
84,the_kluwer_international_series_in_engineering_and_computer_science,The Kluwer International Series in Engineering and Computer Science,The Kluwer International Series in Engineering and Computer Science
86,e_pim_e_th_e_e,{\'E}pim{\'e}th{\'e}e,Épiméthée
87,palgrave_frontiers_in_philosophy_of_religion,Palgrave Frontiers in Philosophy of Religion,Palgrave Frontiers in Philosophy of Religion
88,centro_di_cultura_medievale,Centro di cultura medievale,Centro di cultura medievale
89,monographies_de_la_soci_e_t_e_math_e_matique_de_france,Monographies de la Soci{\'e}t{\'e} Math{\'e}matique de France,Monographies de la Société Mathématique de France
90,param_e_tres,Param{\`e}tres,Paramètres
91,vestigia,Vestigia,Vestigia
92,kritische_studienausgabe,Kritische Studienausgabe,Kritische Studienausgabe
93,boethius_texte_und_abhandlungen_zur_geschichte_der_mathematik_und_der_naturwissenschaften,Boethius: Texte und Abhandlungen zur Geschichte der Mathematik und der Naturwissenschaften,Boethius: Texte und Abhandlungen zur Geschichte der Mathematik und der Naturwissenschaften
94,philo,Philo,Philo
95,la_pens_e_e_juridique,La pens{\'e}e juridique,La pensée juridique
97,tous_comptes_faits,Tous comptes faits,Tous comptes faits
98,idee_filosofia,idee filosofia,idee filosofia
99,mnemosyne_supplements,"Mnemosyne, Supplements","Mnemosyne, Supplements"
100,textes_philosophiques,Textes philosophiques,Textes philosophiques
101,studies_in_the_philosophy_of_sociality,Studies in the Philosophy of Sociality,Studies in the Philosophy of Sociality
102,croire_et_savoir,Croire et savoir,Croire et savoir
103,entretiens_hardt,Entretiens Hardt,Entretiens Hardt
104,probl_e_mes_controverses,Probl{\`e}mes \& Controverses,Problèmes & Controverses
105,ingenium,Ingenium,Ingenium
106,annals_of_mathematics_studies,Annals of Mathematics Studies,Annals of Mathematics Studies
107,the_history_of_continental_philosophy,The History of Continental Philosophy,The History of Continental Philosophy
108,topoi_library,Topoi Library,Topoi Library
109,cambridge_studies_in_international_relations,Cambridge Studies in International Relations,Cambridge Studies in International Relations
110,toronto_studies_in_philosophy,Toronto Studies in Philosophy,Toronto Studies in Philosophy
111,les_classiques_de_l_humanisme,Les Classiques de l'humanisme,Les Classiques de l'humanisme
112,l_esprit_des_sciences,L'esprit des sciences,L'esprit des sciences
113,de_p_e_trarque_a_descartes,De P{\'e}trarque {\`a} Descartes,De Pétrarque à Descartes
114,longman_library_of_primary_sources_in_philosophy,Longman Library of Primary Sources in Philosophy,Longman Library of Primary Sources in Philosophy
115,springer_lecture_notes_in_physics,Springer Lecture Notes in Physics,Springer Lecture Notes in Physics
116,la_philoth_e_que,La Philoth{\`e}que,La Philothèque
117,consciousness_emotion,Consciousness \& Emotion,Consciousness & Emotion
118,theoretical_and_mathematical_physics,Theoretical and Mathematical Physics,Theoretical and Mathematical Physics
119,universale_paperbacks_il_mulino,Universale Paperbacks Il Mulino,Universale Paperbacks Il Mulino
120,contemporary_whitehead_studies,Contemporary Whitehead Studies,Contemporary Whitehead Studies
121,publications_in_language_series,Publications in Language Series,Publications in Language Series
122,univers_musical,Univers musical,Univers musical
123,l_oeil_et_l_esprit,L'oeil et l'esprit,L'oeil et l'esprit
124,canadian_journal_of_philosophy_supplementary_volume,"Canadian Journal of Philosophy, Supplementary Volume","Canadian Journal of Philosophy, Supplementary Volume"
125,schriften_der_k_o_nigsberger_gelehrten_gesellschaft_naturwissenschaftliche_klasse,"Schriften der K{\""o}nigsberger Gelehrten Gesellschaft, Naturwissenschaftliche Klasse","Schriften der Königsberger Gelehrten Gesellschaft, Naturwissenschaftliche Klasse"
126,rep_e_res,Rep{\'e}res,Repéres
127,philosophical_analysis,Philosophical Analysis,Philosophical Analysis
128,la_librairie_du_xxie_si_e_cle,La librairie du XXIe si{\'e}cle,La librairie du XXIe siécle
129,philosophische_analyse_philosophical_analysis,Philosophische Analyse / Philosophical Analysis,Philosophische Analyse / Philosophical Analysis
130,studia_artistarum_e_tudes_sur_la_facult_e_des_arts_dans_les_universit_e_s_m_e_di_e_vales,Studia Artistarum.~{\'E}tudes sur la facult{\'e} des arts dans les Universit{\'e}s m{\'e}di{\'e}vales,Studia Artistarum. Études sur la faculté des arts dans les Universités médiévales
131,the_arguments_of_the_philosophers,The Arguments of the Philosophers,The Arguments of the Philosophers
132,philosophie_concr_e_te,Philosophie concr{\`e}te,Philosophie concrète
133,philosophies_pour_l_age_de_la_science,Philosophies pour l'Age de la Science,Philosophies pour l'Age de la Science
134,brill_s_companions_to_philosophy,Brill's Companions to Philosophy,Brill's Companions to Philosophy
135,quartier_libre,Quartier libre,Quartier libre
136,sammlung_rombach_n_f,Sammlung Rombach N.F.,Sammlung Rombach N.F.
137,studies_in_language_companion_series,"Studies in Language, Companion Series","Studies in Language, Companion Series"
138,the_edinburgh_edition_of_thomas_reid,The Edinburgh Edition of Thomas Reid,The Edinburgh Edition of Thomas Reid
139,classic_editions,Classic Editions,Classic Editions
140,oxford_studies_of_time_in_language_and_thought,Oxford Studies of Time in Language and Thought,Oxford Studies of Time in Language and Thought
141,gothenburg_papers_in_theoretical_linguistics_16,Gothenburg papers in Theoretical Linguistics 16,Gothenburg papers in Theoretical Linguistics 16
142,ancient_cultures,Ancient Cultures,Ancient Cultures
143,lecture_notes_in_artificial_intelligence,Lecture Notes in Artificial Intelligence,Lecture Notes in Artificial Intelligence
144,annales_de_l_institut_de_philosophie_de_l_universit_e_de_bruxelles,Annales de l'institut de philosophie de l'universit{\'e} de Bruxelles,Annales de l'institut de philosophie de l'université de Bruxelles
145,technikzuk_u_nfte_wissenschaft_und_gesellschaft_futures_of_technology_science_and_society,"Technikzuk{\""u}nfte, Wissenschaft und Gesellschaft / Futures of Technology, Science and Society","Technikzukünfte, Wissenschaft und Gesellschaft / Futures of Technology, Science and Society"
146,po_i_esis,"Po{\""{\i}}esis",Poïesis
147,biblioth_e_que_d_histoire_des_sciences,Biblioth{\`e}que d'histoire des sciences,Bibliothèque d'histoire des sciences
148,the_oxford_history_of_philosophy,The Oxford History of Philosophy,The Oxford History of Philosophy
149,cornell_studies_in_philosophy,Cornell Studies in Philosophy,Cornell Studies in Philosophy
150,philia,Philia,Philia
151,chinese_culture,Chinese Culture,Chinese Culture
152,quadrige_dicos_poche,Quadrige ; Dicos poche,Quadrige ; Dicos poche
153,contributions_to_phenomenology,Contributions to Phenomenology,Contributions to Phenomenology
154,boston_studies_in_the_philosophy_of_science,Boston Studies in the Philosophy of Science,Boston Studies in the Philosophy of Science
155,currents_in_comparative_romance_languages_and_literatures,Currents in comparative Romance languages and literatures,Currents in comparative Romance languages and literatures
156,collection_liber,Collection Liber,Collection Liber
157,philosophische_abhandlungen,Philosophische Abhandlungen,Philosophische Abhandlungen
158,collection_u_science_politique,Collection U ; Science politique,Collection U ; Science politique
159,mcgill_queen_s_studies_in_the_history_of_ideas,McGill-Queen's Studies in the History of Ideas,McGill-Queen's Studies in the History of Ideas
160,u_epist_e_mologie,U Epist{\'e}mologie,U Epistémologie
161,philosophia_scientiae,Philosophia Scientiae,Philosophia Scientiae
162,springer_biographies,Springer Biographies,Springer Biographies
163,biblioth_e_que_d_histoire_de_la_philosophie,Biblioth{\`e}que d'histoire de la philosophie,Bibliothèque d'histoire de la philosophie
164,sather_classical_lectures,Sather Classical Lectures,Sather Classical Lectures
165,david_hume_series_of_philosophy_and_cognitive_science_reissues,David Hume Series of Philosophy and Cognitive Science Reissues,David Hume Series of Philosophy and Cognitive Science Reissues
166,sitzungsberichte_der_jenaischen_gesellschaft_f_u_r_medizin_und_naturwissenschaft_f_u_das_jahr_1878,"Sitzungsberichte der Jenaischen Gesellschaft f{\""u}r Medizin und Naturwissenschaft f{\""u} das Jahr 1878",Sitzungsberichte der Jenaischen Gesellschaft für Medizin und Naturwissenschaft fü das Jahr 1878
167,milieux,Milieux,Milieux
168,international_archives_of_the_history_of_ideas_archives_internationales_d_histoire_des_id_e_es,International Archives of the History of Ideas Archives internationales d'histoire des id{\'e}es,International Archives of the History of Ideas Archives internationales d'histoire des idées
169,coll_e_ge_de_france,Coll{\'e}ge de France,Collége de France
170,the_margins_of_literature,The Margins of Literature,The Margins of Literature
171,primary_sources_in_phenomenology,Primary Sources in Phenomenology,Primary Sources in Phenomenology
172,propositions,Propositions,Propositions
173,carl_schmitt_vorlesungen,Carl-Schmitt-Vorlesungen,Carl-Schmitt-Vorlesungen
174,philosophie_th_e_ologie,Philosophie \& th{\'e}ologie,Philosophie & théologie
175,beitr_a_ge_zur_geschichte_der_philosophie_und_theologie_des_mittelalters,"Beitr{\""a}ge zur Geschichte der Philosophie und Theologie des Mittelalters",Beiträge zur Geschichte der Philosophie und Theologie des Mittelalters
176,la_polygraphe,La polygraphe,La polygraphe
177,phronesis_supplementary_volume,Phronesis -- Supplementary Volume,Phronesis – Supplementary Volume
178,le_livre_de_poche_biblio_essais,Le Livre de poche ; Biblio essais,Le Livre de poche ; Biblio essais
179,histoire_et_philosophie_des_sciences,Histoire et Philosophie des Sciences,Histoire et Philosophie des Sciences
180,rechtsphilosophische_hefte,Rechtsphilosophische Hefte,Rechtsphilosophische Hefte
181,clarendon_plato_series,Clarendon Plato Series,Clarendon Plato Series
182,tel_quel,Tel Quel,Tel Quel
183,the_new_palgrave,The New Palgrave,The New Palgrave
184,ifomis_reports,IFOMIS Reports,IFOMIS Reports
185,clarendon_aristotle_series_ed_j_l_ackrill_and_lindsay_judson,"Clarendon Aristotle Series, ed.~J.L.~Ackrill and Lindsay Judson","Clarendon Aristotle Series, ed. J.L. Ackrill and Lindsay Judson"
186,advancing_global_bioethics,Advancing Global Bioethics,Advancing Global Bioethics
187,explorations_in_semantics,Explorations in Semantics,Explorations in Semantics
188,d_e_bats_philosophie,D{\'e}bats / Philosophie,Débats / Philosophie
189,philologie_et_mercure,Philologie et Mercure,Philologie et Mercure
190,l_essentiel,L'essentiel,L'essentiel
191,points_histoire,Points ; Histoire,Points ; Histoire
192,kierkegaard_s_writings,Kierkegaard's Writings,Kierkegaard's Writings
193,historik_filosofiske_meddelelser,Historik-filosofiske Meddelelser,Historik-filosofiske Meddelelser
194,biblioth_e_que_franco_allemande,Biblioth{\'e}que franco-allemande,Bibliothéque franco-allemande
195,library_of_religious_philosophy,Library of Religious Philosophy,Library of Religious Philosophy
196,yale_studies_in_hermeneutics,Yale Studies in Hermeneutics,Yale Studies in Hermeneutics
197,trends_in_linguistics_studies_and_monographs,Trends in Linguistics.~Studies and Monographs,Trends in Linguistics. Studies and Monographs
198,cambridge_introductions_to_philosophy_and_biology,Cambridge Introductions to Philosophy and Biology,Cambridge Introductions to Philosophy and Biology
199,initiations_aux_p_e_res_de_l_eglise,Initiations aux P{\'e}res de l'Eglise,Initiations aux Péres de l'Eglise
200,voir_plus_loin,Voir plus loin,Voir plus loin
201,ancient_and_medieval_philosophy_de_wulf_mansion_centre_series_i,"Ancient and Medieval Philosophy.~De Wulf-Mansion Centre, Series I","Ancient and Medieval Philosophy. De Wulf-Mansion Centre, Series I"
203,philosophers_in_depth,Philosophers in Depth,Philosophers in Depth
204,moments_philosophiques,Moments philosophiques,Moments philosophiques
205,wege_zur_philosophie,Wege zur Philosophie,Wege zur Philosophie
206,practical_philosophy,Practical Philosophy,Practical Philosophy
207,kantstudien_erg_a_nzungshefte_neue_folge,"Kantstudien.~Erg{\""a}nzungshefte.~Neue Folge",Kantstudien. Ergänzungshefte. Neue Folge
208,the_seeley_lectures,The Seeley Lectures,The Seeley Lectures
209,contemporary_readings_in_philosophy,Contemporary Readings in Philosophy,Contemporary Readings in Philosophy
210,philosophie_de_l_esprit,Philosophie de l'esprit,Philosophie de l'esprit
211,foundations_of_the_philosophy_of_the_arts,Foundations of the Philosophy of the Arts,Foundations of the Philosophy of the Arts
212,international_library_of_philosophy_and_scientific_method,International Library of Philosophy and Scientific Method,International Library of Philosophy and Scientific Method
213,l_extr_e_me_contemporain,L'Extr{\^e}me contemporain,L'Extrême contemporain
214,publications_of_the_macmaster_university_association_for_studies_in_the_18th_century,Publications of the MacMaster University Association for Studies in the 18th Century,Publications of the MacMaster University Association for Studies in the 18th Century
215,medieval_philosophy_texts_and_studies,Medieval Philosophy: Texts and Studies,Medieval Philosophy: Texts and Studies
216,biblioth_e_que_m_e_lusine,Biblioth{\`e}que M{\'e}lusine,Bibliothèque Mélusine
217,rayon_art,Rayon art,Rayon art
218,collected_works_huco,Collected Works [HUCO],Collected Works [HUCO]
219,reason_and_argument,Reason and Argument,Reason and Argument
220,handbook_of_contemporary_philosophy_of_religion,Handbook of Contemporary Philosophy of Religion,Handbook of Contemporary Philosophy of Religion
221,nomos_yearbook_of_the_american_society_for_political_and_legal_philosophy,"Nomos, Yearbook of the American Society for Political and Legal Philosophy","Nomos, Yearbook of the American Society for Political and Legal Philosophy"
222,collection_d_e_tudes_classiques,Collection d'{\'E}tudes Classiques,Collection d'Études Classiques
223,varia,Varia,Varia
224,biblioth_e_que_des_lumi_e_res,Biblioth{\'e}que des Lumi{\'e}res,Bibliothéque des Lumiéres
225,biblioth_e_que_de_philosophie_politique_et_juridique,Biblioth{\`e}que de philosophie politique et juridique,Bibliothèque de philosophie politique et juridique
226,beitr_a_ge_zur_altertumskunde,"Beitr{\""a}ge zur Altertumskunde",Beiträge zur Altertumskunde
227,australasian_studies_in_history_and_philosophy_of_science,Australasian Studies in History and Philosophy of Science,Australasian Studies in History and Philosophy of Science
228,m_u_nsterander_vorlesungen_zur_philosophie,"M{\""u}nsterander Vorlesungen zur Philosophie",Münsterander Vorlesungen zur Philosophie
229,critical_introductions_to_contemporary_metaphysics,Critical Introductions to Contemporary Metaphysics,Critical Introductions to Contemporary Metaphysics
230,argumentation_in_context,Argumentation in Context,Argumentation in Context
231,d_e_couvertes_gallimard,D{\'e}couvertes Gallimard,Découvertes Gallimard
232,studia_graeca_et_latina_gothoburgensia,Studia Graeca et Latina Gothoburgensia,Studia Graeca et Latina Gothoburgensia
233,cahiers_du_cefress,Cahiers du CEFRESS,Cahiers du CEFRESS
234,chemin_d_e_ternit_e,Chemin d'{\'e}ternit{\'e},Chemin d'éternité
235,cambridge_philosophical_texts_in_context,Cambridge Philosophical Texts in Context,Cambridge Philosophical Texts in Context
236,windsor_series_in_argumentation,Windsor Series in Argumentation,Windsor Series in Argumentation
237,notre_temps,Notre temps,Notre temps
238,cambridge_introductions_to_key_philosophical_texts,Cambridge Introductions to Key Philosophical Texts,Cambridge Introductions to Key Philosophical Texts
239,philosophia_theologica,Philosophia Theologica,Philosophia Theologica
240,de_gruyter_reference,De Gruyter Reference,De Gruyter Reference
241,sources_chr_e_tiennes,Sources chr{\'e}tiennes,Sources chrétiennes
242,studies_in_logic_and_practical_reasoning,Studies in Logic and Practical Reasoning,Studies in Logic and Practical Reasoning
243,tel,Tel,Tel
244,muirhead_library_of_philosophy,Muirhead Library of Philosophy,Muirhead Library of Philosophy
245,oxford_readings_in_politics_and_government,Oxford Readings in Politics and Government,Oxford Readings in Politics and Government
246,cambridge_elements,Cambridge Elements,Cambridge Elements
247,universit_e_philosophique,Universit{\'e} philosophique,Université philosophique
248,classic_philosophical_arguments,Classic Philosophical Arguments,Classic Philosophical Arguments
249,new_directions_in_the_philosophy_of_science,New Directions in the Philosophy of Science,New Directions in the Philosophy of Science
250,foundations_of_semiotics,Foundations of Semiotics,Foundations of Semiotics
251,london_mathematical_society_lecture_note_series,London Mathematical Society Lecture Note Series,London Mathematical Society Lecture Note Series
252,armillaire,Armillaire,Armillaire
253,studien_zur_problemgeschichte_der_antiken_und_mittelalterlichen_philosophie,Studien zur Problemgeschichte der antiken und mittelalterlichen Philosophie,Studien zur Problemgeschichte der antiken und mittelalterlichen Philosophie
254,sociologies,Sociologies,Sociologies
255,mat_e_riologiques,Mat{\'e}riologiques,Matériologiques
256,philosophical_essays,Philosophical Essays,Philosophical Essays
257,ashgate_new_critical_thinking_in_religion_theology_and_biblical_studies,"Ashgate New Critical Thinking in Religion, Theology and Biblical Studies","Ashgate New Critical Thinking in Religion, Theology and Biblical Studies"
258,folio_histoire,Folio histoire,Folio histoire
259,philosophy_and_poverty,Philosophy and Poverty,Philosophy and Poverty
260,archimedes_new_studies_in_the_history_and_philosophy_of_science_and_technology,Archimedes: New Studies in the History and Philosophy of Science and Technology,Archimedes: New Studies in the History and Philosophy of Science and Technology
261,cambridge_introductions_to_philosophy_and_law,Cambridge Introductions to Philosophy and Law,Cambridge Introductions to Philosophy and Law
262,au_fait,Au fait,Au fait
263,lair_technical_report,{LAIR} Technical Report,LAIR Technical Report
264,kindheit_bildung_erziehungphilosophische_perspektiven,Kindheit -- Bildung -- ErziehungPhilosophische Perspektiven,Kindheit – Bildung – ErziehungPhilosophische Perspektiven
265,clarendon_later_ancient_philosophers,Clarendon Later Ancient Philosophers,Clarendon Later Ancient Philosophers
266,cambridge_critical_guides,Cambridge Critical Guides,Cambridge Critical Guides
267,kant_forschungen,Kant-Forschungen,Kant-Forschungen
268,biographie,Biographie,Biographie
269,culture_scientifique,Culture scientifique,Culture scientifique
270,cole_c_c_aeo_cultura_contempor_a_nea,Cole{\c{c}}aeo Cultura Contempor{\^a}nea,Coleçaeo Cultura Contemporânea
271,abhandlungen_zur_philosophie,Abhandlungen zur Philosophie,Abhandlungen zur Philosophie
272,philosophia_introductiones,Philosophia Introductiones,Philosophia Introductiones
273,les_int_e_grales_de_philo,Les int{\'e}grales de philo,Les intégrales de philo
274,akademie_ausgabe_abteilung_iii_handschriftlicher_nachlass,"Akademie-Ausgabe, Abteilung III: Handschriftlicher Nachlass","Akademie-Ausgabe, Abteilung III: Handschriftlicher Nachlass"
275,medieval_renaissance_texts_studies,Medieval \& Renaissance Texts \& Studies,Medieval & Renaissance Texts & Studies
276,classe_des_lettres_3e_s_e_rie,"Classe des Lettres, 3e s{\'e}rie","Classe des Lettres, 3e série"
277,e_tudes_africaines,{\'E}tudes africaines,Études africaines
278,cambridge_companions_to_philosophy,Cambridge Companions to Philosophy,Cambridge Companions to Philosophy
279,m_u_nsteraner_philosophische_schriften,"M{\""u}nsteraner Philosophische Schriften",Münsteraner Philosophische Schriften
280,filosofiska_studier_utgivna_av_filosofiska_foreningen_och_filosofiska_institutionen_vid_uppsala_universitet,Filosofiska studier utgivna av Filosofiska foreningen och Filosofiska institutionen vid Uppsala universitet,Filosofiska studier utgivna av Filosofiska foreningen och Filosofiska institutionen vid Uppsala universitet
281,die_grundlehren_der_mathematischen_wissenschaften_in_einzeldarstellungen,Die Grundlehren der mathematischen Wissenschaften in Einzeldarstellungen,Die Grundlehren der mathematischen Wissenschaften in Einzeldarstellungen
282,monographien_zur_philosophischen_forschung,Monographien zur philosophischen Forschung,Monographien zur philosophischen Forschung
283,elements_of_metaphysics,Elements of Metaphysics,Elements of Metaphysics
284,clefs_concours_lettres_classiques,Clefs concours ; Lettres classiques,Clefs concours ; Lettres classiques
285,mimesis,Mimesis,Mimesis
286,interdisciplinary_german_cultural_studies,Interdisciplinary German Cultural Studies,Interdisciplinary German Cultural Studies
287,abhandlungen_der_akademie_der_wissenschaften_in_g_o_ttingen_philologisch_historische_klasse_dritte_folge,"Abhandlungen der Akademie der Wissenschaften in G{\""o}ttingen.~Philologisch-historische Klasse, Dritte Folge","Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-historische Klasse, Dritte Folge"
288,ancient_mediterranean_and_medieval_texts_and_contexts,Ancient Mediterranean and Medieval Texts and Contexts,Ancient Mediterranean and Medieval Texts and Contexts
289,film_culture_in_transition,Film Culture in Transition,Film Culture in Transition
290,actifs,Actifs,Actifs
291,archimedes,Archimedes,Archimedes
292,alexius_meinong_gesamtausgabe,Alexius Meinong Gesamtausgabe,Alexius Meinong Gesamtausgabe
293,the_fathers_of_the_church,The Fathers of the Church,The Fathers of the Church
294,episteme,Episteme,Episteme
295,werkausgabe_in_acht_b_a_nden,"Werkausgabe in acht B{\""a}nden",Werkausgabe in acht Bänden
