id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
82346,voice_p,Paul,Paul,Voice,Voice,,,,,,,false,,
82347,voicu,Horatiu,Horatiu,Voicu,Voicu,,,,,,,false,,
82348,voigt_k,Kristin,Kristin,Voigt,Voigt,,,,,,,false,,
82349,voigt_u,Uwe,Uwe,Voigt,Voigt,,,,,,,false,,
82350,voise,W.,W.,Vois{\'e},Voisé,,,,,,,false,,
82351,voishvillo,Evgenii,Evgenii,Voishvillo,Voishvillo,,,,,,,false,,
82352,voizard_a,Alain,Alain,Voizard,Voizard,,,,,,,false,,
82353,volacu_a,Alexandru,Alexandru,Volacu,Volacu,,,,,,,false,,
82354,volbers_j,"J{\""o}rg",Jörg,Volbers,Volbers,,,,,,,false,,
82355,volenec_v,Veno,Veno,Volenec,Volenec,,,,,,,false,,
82356,volf_e,Elie,Elie,Volf,Volf,,,,,,,false,,
82357,volk_c,Christian,Christian,Volk,Volk,,,,,,,false,,
82358,volk_k,Katharina,Katharina,Volk,Volk,,,,,,,false,,
82359,volk_m,Martin,Martin,Volk,Volk,,,,,,,false,,
82360,volkelt,Johannes,Johannes,Volkelt,Volkelt,,,,,,,false,,
82361,volken_h,Henri,Henri,Volken,Volken,,,,,,,false,,
82362,volkert_g,Klaus,Klaus,Volkert,Volkert,,,,,,,false,,
82363,volkman,Richard,Richard,Volkman,Volkman,,,,,,,false,,
82364,volkmann,Paul,Paul,Volkmann,Volkmann,,,,,,,false,,
82365,volkmannschluck,Karl-Heinz,Karl-Heinz,Volkmann-Schluck,Volkmann-Schluck,,,,,,,false,,
82366,volkmar,Karl F.,Karl F.,Volkmar,Volkmar,,,,,,,false,,
82367,volkov_a,Alexei,Alexei,Volkov,Volkov,,,,,,,false,,
82368,volkow_nd,Nora D.,Nora D.,Volkow,Volkow,,,,,,,false,,
82369,vollenweider_fx,F.X.,F.X.,Vollenweider,Vollenweider,,,,,,,false,,
82370,vollenweiderscherpenhuyzen,M.F.I.,M.F.I.,Vollenweider-Scherpenhuyzen,Vollenweider-Scherpenhuyzen,,,,,,,false,,
82371,vollet_m,Matthias,Matthias,Vollet,Vollet,,,,,,,false,,
82372,volling_bl,Brenda L.,Brenda L.,Volling,Volling,,,,,,,false,,
82373,vollman_r,Ralf,Ralf,Vollman,Vollman,,,,,,,false,,
82374,vollmer,Heribert,Heribert,Vollmer,Vollmer,,,,,,,false,,
82375,vollmer_f,F.,F.,Vollmer,Vollmer,,,,,,,false,,
82376,vollmer_g,Gerhard,Gerhard,Vollmer,Vollmer,,,,,,,false,,
82377,vollmer_lj,Laura J.,Laura J.,Vollmer,Vollmer,,,,,,,false,,
82378,vollmer_s,Sara,Sara,Vollmer,Vollmer,,,,,,,false,,
82379,vollmer_sh,S.H.,S.H.,Vollmer,Vollmer,,,,,,,false,,
82380,vollrath,Ernst,Ernst,Vollrath,Vollrath,,,,,,,false,,
82381,volokh,Eugene,Eugene,Volokh,Volokh,,,,,,,false,,
82382,volonte,Paolo,Paolo,Volont{\'e},Volonté,,,,,,,false,,
82383,volpe,Giorgio,Giorgio,Volpe,Volpe,,,,,,,false,,
82384,volpe_m,Marco,Marco,Volpe,Volpe,,,,,,,false,,
82385,volpi_f,Franco,Franco,Volpi,Volpi,,,,,,,false,,
