id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
52234,infantelopez,Gabriel G.,Gabriel G.,Infante-Lopez,Infante-Lopez,,,,,,,false,,
52235,infantino,Lorenzo,Lorenzo,Infantino,Infantino,,,,,,,false,,
52236,infeld,Leopold,Leopold,Infeld,Infeld,,,,,,,false,,
52237,ing_m,Michael D.K.,Michael D.K.,Ing,Ing,,,,,,,false,,
52238,ingala_e,Emma,Emma,Ingala,Ingala,,,,,,,false,,
52239,ingalls,Ranall,Ranall,Ingalls,Ingalls,,,,,,,false,,
52240,ingarden,Roman,Roman,Ingarden,Ingarden,,,,,,,true,,
52241,ingardia,Richard,Richard,Ingardia,Ingardia,,,,,,,false,,
52242,inge_d,Dean,Dean,Inge,Inge,,,,,,,false,,
52243,inge_wr,William Ralph,William Ralph,Inge,Inge,,,,,,,false,,
52244,ingegno,Alfonso,Alfonso,Ingegno,Ingegno,,,,,,,false,,
52245,ingenerf_j,Josef,Josef,Ingenerf,Ingenerf,,,,,,,false,,
52246,ingenkamp_hg,Heinz Gerd,Heinz Gerd,Ingenkamp,Ingenkamp,,,,,,,false,,
52247,ingensiep,Hans Werner,Hans Werner,Ingensiep,Ingensiep,,,,,,,false,,
52248,ingham_g,Geoffrey,Geoffrey,Ingham,Ingham,,,,,,,false,,
52249,ingham_md,Michael D.,Michael D.,Ingham,Ingham,,,,,,,false,,
52250,ingham_me,Mary Elizabeth,Mary Elizabeth,Ingham,Ingham,,,,,,,false,,
52251,inghen,,,,,{Marisilius of Inghen},Marisilius of Inghen,,,,,false,,
52252,ingiyimbere,Fid{\`e}le,Fidèle,Ingiyimbere,Ingiyimbere,,,,,,,false,,
52253,inglis_j,John,John,Inglis,Inglis,,,,,,,false,,
52254,inglis_k,Kristen,Kristen,Inglis,Inglis,,,,,,,false,,
52255,inglis_m,Matthew,Matthew,Inglis,Inglis,,,,,,,false,,
52256,ingold_t,Tim,Tim,Ingold,Ingold,,,,,,,false,,
52257,ingram_a,Attracta,Attracta,Ingram,Ingram,,,,,,,false,,
52258,ingram_d,David,David,Ingram,Ingram,,,,,,,false,,
52259,ingram_h,Helen,Helen,Ingram,Ingram,,,,,,,false,,
52260,ingram_jd,James D.,James D.,Ingram,Ingram,,,,,,,false,,
52261,ingram_re,Rick E.,Rick E.,Ingram,Ingram,,,,,,,false,,
52262,ingram_s,Stephen,Stephen,Ingram,Ingram,,,,,,,false,,
52263,ingria,Robert,Robert,Ingria,Ingria,,,,,,,false,,
52264,ingthorsson,"R{\""o}gnvaldur D.",Rögnvaldur D.,Ingthorsson,Ingthorsson,,,,,,,false,,
52265,ingve,Victor,Victor,Ingve,Ingve,,,,,,,false,,
52266,inhelder,"B{\""a}rbel",Bärbel,Inhelder,Inhelder,,,,,,,false,,
52267,inhetveen,"R{\""u}diger",Rüdiger,Inhetveen,Inhetveen,,,,,,,false,,
52268,inkpen_d,Diana,Diana,Inkpen,Inkpen,,,,,,,false,,
52269,inkpen_rp,Robert John,Robert John,Inkpen,Inkpen,,,,,,,false,,
52270,inkpin,Andrew,Andrew,Inkpin,Inkpin,,,,,,,false,,
52271,inman,Ross D.,Ross D.,Inman,Inman,,,,,,,false,,
52272,innala,Heikki-Pekka,Heikki-Pekka,Innala,Innala,,,,,,,false,,
52273,innes_dc,Doreen C.,Doreen C.,Innes,Innes,,,,,,,false,,
52274,innes_m,Martin,Martin,Innes,Innes,,,,,,,false,,
52275,inness_jc,Julie C.,Julie C.,Inness,Inness,,,,,,,false,,
52276,innis_re,Robert E.,Robert E.,Innis,Innis,,,,,,,false,,
52277,innis_wb,William B.,William B.,Innis,Innis,,,,,,,false,,
52278,inoue_h,Haruko,Haruko,Inoue,Inoue,,,,,,,false,,
52279,inoue_k,Katsumi,Katsumi,Inoue,Inoue,,,,,,,false,,
52280,inoue_t,Takao,Takao,Inou{\'e},Inoué,,,,,,,false,,
52281,insel_ai,Arnold J.,Arnold J.,Insel,Insel,,,,,,,false,,
52282,insel_t,Thomas R.,Thomas R.,Insel,Insel,,,,,,,false,,
52283,insinna_em,Ezio M.,Ezio M.,Insinna,Insinna,,,,,,,false,,
52284,insole,Christopher J.,Christopher J.,Insole,Insole,,,,,,,false,,
52285,intemann,Kristen,Kristen,Intemann,Intemann,,,,,,,false,,
52286,intriligator,Michael D.,Michael D.,Intriligator,Intriligator,,,,,,,false,,
52287,introna,Lucas,Lucas,Introna,Introna,,,,,,,false,,
52288,inui_k,Kentaro,Kentaro,Inui,Inui,,,,,,,false,,
52289,inui_n,Nobio,Nobio,Inui,Inui,,,,,,,false,,
52290,inukai,Yumiko,Yumiko,Inukai,Inukai,,,,,,,false,,
52291,inwood_b,Brad,Brad,Inwood,Inwood,,,,,,,false,,
52292,inwood_m,Michael J.,Michael J.,Inwood,Inwood,,,,,,,false,,
52293,inza,I.,I.,Inza,Inza,,,,,,,false,,
52294,ioannidis,Stavros,Stavros,Ioannidis,Ioannidis,,,,,,,false,,
52295,ioannidou_e,Elena,Elena,Ioannidou,Ioannidou,,,,,,,false,,
52296,ioannou_m,Maria,Maria,Ioannou,Ioannou,,,,,,,false,,
52297,iocchi,Luca,Luca,Iocchi,Iocchi,,,,,,,false,,
52298,iocco_g,Gemmo,Gemmo,Iocco,Iocco,,,,,,,false,,
52299,ioffe_lb,L.B.,L.B.,Ioffe,Ioffe,,,,,,,false,,
52300,iognaprat,Dominique,Dominique,Iogna-Prat,Iogna-Prat,,,,,,,false,,
52301,ionel,Lucian,Lucian,Ionel,Ionel,,,,,,,false,,
52302,ionepetrizi,,,,,{Ioane Petrizi},Ioane Petrizi,,,,,false,,
52303,ionescu,Cristina,Cristina,Ionescu,Ionescu,,,,,,,false,,
52304,ionicioiu,Radu,Radu,Ionicioiu,Ionicioiu,,,,,,,false,,
52305,ionin,Tania,Tania,Ionin,Ionin,,,,,,,false,,
52306,ioppolo,Anna Maria,Anna Maria,Ioppolo,Ioppolo,,,,,,,false,,
52307,iordanskaja,L.,L.,Iordanskaja,Iordanskaja,,,,,,,false,,
52308,iori_l,Luca,Luca,Iori,Iori,,,,,,,false,,
52309,iorio_m,Marco,Marco,Iorio,Iorio,,,,,,,false,,
52310,iorio_ma,Mario,Mario,Iorio,Iorio,,,,,,,false,,
52311,ioup,Georgette L.,Georgette L.,Ioup,Ioup,,,,,,,false,,
52312,iovino,Jos{\'e},José,Iovino,Iovino,,,,,,,false,,
52313,iozelli,Fortunato,Fortunato,Iozelli,Iozelli,,,,,,,false,,
52314,ip_ph,Pui Him,Pui Him,Ip,Ip,,,,,,,false,,
