id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
2,leser_a,Anja,Anja,Leser,Leser,,,,,,,false,,
89,limacher_p,Peter,Peter,Limacher,Limacher,,,,,,,false,,
158,laffranchini_b,Bernardo,Bernardo,Laffranchini,Laffranchini,,,,,,,false,,
212,leuenberger_sp,Stefan P.,Stefan P.,Leuenberger,Leuenberger,,,,,,,false,,
229,leblanc_he,H{\'e}l{\`e}ne,Hélène,Leblanc,Leblanc,,,,,,,false,,
287,langner_n,Nikolaus,Nikolaus,Langner,Langner,,,,,,,false,,
316,leutwyler_l,Laura,Laura,Leutwyler,Leutwyler,,,,,,,false,,
322,leuenberger_m,Muriel,Muriel,Leuenberger,Leuenberger,,,,,,,false,,
324,leu_l,Leo,Leo,Leu,Leu,,,,,,,false,,
379,lohrer_j,Jan,Jan,Lohrer,Lohrer,,,,,,,false,,
394,locatelli,Roberta,Roberta,Locatelli,Locatelli,,,,,,,false,,
506,langecker_t,Thomas,Thomas,Langecker,Langecker,,,,,,,false,,
515,lac_s,Sophie,Sophie,Lac,Lac,,,,,,,false,,
572,leupi_w,Walter,Walter,Leupi,Leupi,,,,,,,false,,
576,luediger_h,H.H.J.~(Heinz),H.H.J. (Heinz),"L{\""u}diger",Lüdiger,,,,,,,false,,
594,lailachhennrich,Andrea,Andrea,Lailach-Hennrich,Lailach-Hennrich,,,,,,,false,,
605,loh_j,Janina,Janina,Loh,Loh,,,,,,,false,,
614,liggieri,Kevin,Kevin,Liggieri,Liggieri,,,,,,,false,,
620,langhart_d,Dieter,Dieter,Langhart,Langhart,,,,,,,false,,
628,lanius_d,David,David,Lanius,Lanius,,,,,,,false,,
636,leisner_j,Jonas,Jonas,Leisner,Leisner,,,,,,,false,,
664,lienhard_jp,"J{\""u}rg-Peter",Jürg-Peter,Lienhard,Lienhard,,,,,,,false,,
709,lovis_c,Christian,Christian,Lovis,Lovis,,,,,,,false,,
723,lombard_j,Jean,Jean,Lombard,Lombard,,,,,,,false,,
733,lienert_a,Anita,Anita,Lienert,Lienert,,,,,,,false,,
767,lemoine_ma,"Ma{\""e}l",Maël,Lemoine,Lemoine,,,,,,,false,,
811,luzzatto,Franco,Franco,Luzzatto,Luzzatto,,,,,,,false,,
820,lobo_t,Tea Matija,Tea Matija,Lobo,Lobo,,,,,,,false,,
835,laimer_a,Angela,Angela,Laimer,Laimer,,,,,,,false,,
871,lababidi_n,Namir,Namir,Lababidi,Lababidi,,,,,,,false,,
913,limbachmayer_j,Joachim,Joachim,Limbach-Mayer,Limbach-Mayer,,,,,,,false,,
967,loosli_p,Paul,Paul,Loosli,Loosli,,,,,,,false,,
1193,lorenz_w,Wolfgang,Wolfgang,Lorenz,Lorenz,,,,,,,false,,
1609,lehmannrice,Ruth,Ruth,Lehmann Rice,Lehmann Rice,,,,,,,false,,
1674,lonati_m,Milena,Milena,Lonati,Lonati,,,,,,,false,,
1876,lueke_gm,Gunther Maria,Gunther Maria,Lueke,Lueke,,,,,,,false,,
1945,laureti_a,Antonio,Antonio,Laureti,Laureti,,,,,,,false,,
1954,lubjuhn_kd,Klaus D.,Klaus D.,Lubjuhn,Lubjuhn,,,,,,,false,,
1958,lista_r,Rossana,Rossana,Lista,Lista,,,,,,,false,,
2036,lehmann_r,Roger,Roger,Lehmann,Lehmann,,,,,,,false,,
2060,leiner_s,Susanne,Susanne,Leiner,Leiner,,,,,,,false,,
2149,lopez_ja,Jayson,Jayson,Lopez,Lopez,,,,,,,false,,
2157,laufeyson,Loki,Loki,Laufeyson,Laufeyson,,,,,,,false,,
2180,lachner_k,Kurt,Kurt,Lachner,Lachner,,,,,,,false,,
3188,loew_t,Tristan,Tristan,"L{\""o}w",Löw,,,,,,,false,,
3618,lemke_a,Axel,Axel,Lemke,Lemke,,,,,,,false,,
4254,lippert_r,Rainer,Rainer,Lippert,Lippert,,,,,,,false,,
4308,loeschke_j,"J{\""o}rg",Jörg,"L{\""o}schke",Löschke,,,,,,,false,,
4309,logins_a,Art{\={u}}rs,Artūrs,Logins,Logins,,,,,,,false,,
4535,liebschwager_t,Tanja,Tanja,Liebschwager,Liebschwager,,,,,,,false,,
5236,lucas_d,Daniel,Daniel,Lucas,Lucas,,,,,,,false,,
22187,lefeve_c,C{\'e}line,Céline,Lef{\`e}ve,Lefève,,,,,,,false,,
22843,luebbe_w,Weyma,Weyma,"L{\""u}bbe",Lübbe,,,,,,,false,,
22875,langewitz_w,Wolf,Wolf,Langewitz,Langewitz,,,,,,,false,,
24887,lanzerath_d,Dirk,Dirk,Lanzerath,Lanzerath,,,,,,,false,,
24915,lipski_j,Jens,Jens,Lipski,Lipski,,,,,,,false,,
24916,luporini_v,Valentina,Valentina,Luporini,Luporini,,,,,,,false,,
24937,leuschner,Anna,Anna,Leuschner,Leuschner,,,,,,,false,,
24952,laszlo_c,Christoph,Christoph,Laszlo,Laszlo,,,,,,,false,,
24957,leist,Anton,Anton,Leist,Leist,,,,,,,false,,
24995,lorenzini_d,Daniele,Daniele,Lorenzini,Lorenzini,,,,,,,false,,
25023,loidolt,Sophie,Sophie,Loidolt,Loidolt,,,,,,,false,,
25031,lamon_v,Vincent,Vincent,Lamon,Lamon,,,,,,,false,,
25053,listik_y,Yonathan,Yonathan,Listik,Listik,,,,,,,false,,
25067,langkau_j,Julia,Julia,Langkau,Langkau,,,,,,,false,,
25089,lorenzini_g,Giulia,Giulia,Lorenzini,Lorenzini,,,,,,,false,,
25110,laeubli_m,Martin,Martin,"L{\""a}ubli",Läubli,,,,,,,false,,
25225,liebsch_b,Burkhard,Burkhard,Liebsch,Liebsch,,,,,,,false,,
25227,lutz_p,Philipp,Philipp,Lutz,Lutz,,,,,,,false,,
