id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
55330,klement,Kevin C.,Kevin C.,Klement,Klement,,,,,,,false,,
55331,klemick,Griffin,Griffin,Klemick,Klemick,,,,,,,false,,
55332,klemke_ed,Elmer Daniel,Elmer Daniel,Klemke,Klemke,,,,,,,false,,
55333,klemke_r,Roland,Roland,Klemke,Klemke,,,,,,,false,,
55334,klemm,David E.,David E.,Klemm,Klemm,,,,,,,false,,
55335,klemme,Heiner F.,Heiner F.,Klemme,Klemme,,,,,,,false,,
55336,klemmt,Alfred,Alfred,Klemmt,Klemmt,,,,,,,false,,
55337,klempa,William,William,Klempa,Klempa,,,,,,,false,,
55338,klenk_m,Michael,Michael,Klenk,Klenk,,,,,,,false,,
55339,klenk_v,Virginia,Virginia,Klenk,Klenk,,,,,,,false,,
55340,klenner_h,Hermann,Hermann,Klenner,Klenner,,,,,,,false,,
55341,kleppner_d,Daniel,Daniel,Kleppner,Kleppner,,,,,,,false,,
55342,klercke,Kirsten,Kirsten,Klercke,Klercke,,,,,,,false,,
55343,kleres,Jochen,Jochen,Kleres,Kleres,,,,,,,false,,
55344,klesczewski_d,Diethelm,Diethelm,Klesczewski,Klesczewski,,,,,,,false,,
55345,klestinec,Cynthia,Cynthia,Klestinec,Klestinec,,,,,,,false,,
55346,kleszcz,Ryszard,Ryszard,Kleszcz,Kleszcz,,,,,,,false,,
55347,kleszewski,Diethelm,Diethelm,Kleszewski,Kleszewski,,,,,,,false,,
55348,kleszsz,Ryszard,Ryszard,Kleszsz,Kleszsz,,,,,,,false,,
55349,klettke,Bianca,Bianca,Klettke,Klettke,,,,,,,false,,
55350,kletzl,Sebastian,Sebastian,Kletzl,Kletzl,,,,,,,false,,
55351,klev_a,Ansten,Ansten,Klev,Klev,,,,,,,false,,
55352,klevakinauljanov,Elena,Elena,Klevakina-Uljanov,Klevakina-Uljanov,,,,,,,false,,
55353,kleve,Knut,Knut,Kleve,Kleve,,,,,,,false,,
55354,kleven,Terence J.,Terence J.,Kleven,Kleven,,,,,,,false,,
55355,klever,Wim N.A.,Wim N.A.,Klever,Klever,,,,,,,false,,
55356,klevorick,Alvin K.,Alvin K.,Klevorick,Klevorick,,,,,,,false,,
55357,kleystruller,Andreas,Andreas,Kley-Struller,Kley-Struller,,,,,,,false,,
55358,klibansky,Raymond,Raymond,Klibansky,Klibansky,,,,,,,false,,
55359,kliegl,Reinhold,Reinhold,Kliegl,Kliegl,,,,,,,false,,
55360,kliemt_e,Elke,Elke,Kliemt,Kliemt,,,,,,,false,,
55361,kliemt_h,Hartmut,Hartmut,Kliemt,Kliemt,,,,,,,false,,
55362,kliess,Malte,Malte,Kliess,Kliess,,,,,,,false,,
55363,kliewer,G.,G.,Kliewer,Kliewer,,,,,,,false,,
55364,kligman,Mark,Mark,Kligman,Kligman,,,,,,,false,,
55365,klima_es,Edward S.,Edward S.,Klima,Klima,,,,,,,false,,
55366,klima_g,Gyula,Gyula,Klima,Klima,,,,,,,false,,
55367,kliman,Andrew,Andrew,Kliman,Kliman,,,,,,,false,,
55368,klimaszewsky_g,"G{\""u}nter",Günter,Klimaszewsky,Klimaszewsky,,,,,,,false,,
55369,klimchuk,Dennis,Dennis,Klimchuk,Klimchuk,,,,,,,false,,
55370,klimczak,Peter,Peter,Klimczak,Klimczak,,,,,,,false,,
55371,klimczyk,Joanna,Joanna,Klimczyk,Klimczyk,,,,,,,false,,
55372,klimek_s,Sonja,Sonja,Klimek,Klimek,,,,,,,false,,
55373,klimina,Anna,Anna,Klimina,Klimina,,,,,,,false,,
55374,klimis,Sophie,Sophie,Klimis,Klimis,,,,,,,false,,
55375,klimmek,Nikolai,Nikolai,Klimmek,Klimmek,,,,,,,false,,
55376,klincewicz_m,Micha{\l},Michał,Klincewicz,Klincewicz,,,,,,,false,,
55377,kline_ad,A.~David,A. David,Kline,Kline,,,,,,,false,,
55378,kline_g,George,George,Kline,Kline,,,,,,,false,,
55379,kline_gl,George L.,George L.,Kline,Kline,,,,,,,false,,
55380,kline_j,Jeffrey,Jeffrey,Kline,Kline,,,,,,,false,,
55381,kline_m,Morris,Morris,Kline,Kline,,,,,,,false,,
55382,kline_p,Paul,Paul,Kline,Kline,,,,,,,false,,
55383,kline_sl,Susan L.,Susan L.,Kline,Kline,,,,,,,false,,
55384,kline_w,William,William,Kline,Kline,,,,,,,false,,
55385,klinedinst,Nathan,Nathan,Klinedinst,Klinedinst,,,,,,,false,,
55386,kling_c,Carlos,Carlos,Kling,Kling,,,,,,,false,,
55387,kling_j,Jennifer,Jennifer,Kling,Kling,,,,,,,false,,
55388,kling_re,Robert E.,Robert E.,Kling,Kling,,,,,,,false,,
55389,klinge_h,Hendrik,Hendrik,Klinge,Klinge,,,,,,,false,,
55390,klingemann_h,Harald,Harald,Klingemann,Klingemann,,,,,,,false,,
55391,klingemann_ji,Justyna I.,Justyna I.,Klingemann,Klingemann,,,,,,,false,,
55392,klingenberg,Wilhelm,Wilhelm,Klingenberg,Klingenberg,,,,,,,false,,
55393,klinger_a,Allen,Allen,Klinger,Klinger,,,,,,,false,,
55394,klinger_c,Cornelia,Cornelia,Klinger,Klinger,,,,,,,false,,
55395,klinger_e,Eric,Eric,Klinger,Klinger,,,,,,,false,,
55396,klinger_f,Florian,Florian,Klinger,Klinger,,,,,,,false,,
55397,klinger_mr,Mark R.,Mark R.,Klinger,Klinger,,,,,,,false,,
55398,klingner_s,Stefan,Stefan,Klingner,Klingner,,,,,,,false,,
55399,klinkenberg_hm,Hanns Martin,Hanns Martin,Klinkenberg,Klinkenberg,,,,,,,false,,
55400,klint_p,P.,P.,Klint,Klint,,,,,,,false,,
55401,klintjensen_k,Karsten,Karsten,Klint Jensen,Klint Jensen,,,,,,,false,,
55402,klir,George J.,George J.,Klir,Klir,,,,,,,false,,
55403,klix_f,F.,F.,Klix,Klix,,,,,,,false,,
55404,klockenbusch,Reinald,Reinald,Klockenbusch,Klockenbusch,,,,,,,false,,
55405,klocker,Harry R.,Harry R.,Klocker,Klocker,,,,,,,false,,
55406,klocksiem,Justin,Justin,Klocksiem,Klocksiem,,,,,,,false,,
55407,kloepfer,Rolf,Rolf,Kloepfer,Kloepfer,,,,,,,false,,
55408,klohr_o,Olof,Olof,Klohr,Klohr,,,,,,,false,,
55409,kloosterboer_n,Naomi,Naomi,Kloosterboer,Kloosterboer,,,,,,,false,,
55410,klop,Jan Willem,Jan Willem,Klop,Klop,,,,,,,false,,
55411,klopfer,P.H.,P.H.,Klopfer,Klopfer,,,,,,,false,,
55412,klos_j,Jan,Jan,K{\l}os,Kłos,,,,,,,false,,
55413,klosko,George,George,Klosko,Klosko,,,,,,,false,,
55414,kloskowska,Antonina,Antonina,Kloskowska,Kloskowska,,,,,,,false,,
55415,kloskowski,Kazimierz,Kazimierz,Kloskowski,Kloskowski,,,,,,,false,,
55416,klostergaardpetersen,Anders,Anders,Klostergaard Petersen,Klostergaard Petersen,,,,,,,false,,
55417,klotz_c,Christian,Christian,Klotz,Klotz,,,,,,,false,,
55418,klotz_h,Hans,Hans,Klotz,Klotz,,,,,,,false,,
55419,klowski,Joachim,Joachim,Klowski,Klowski,,,,,,,false,,
55420,klubertanz_gp,George P.,George P.,Klubertanz,Klubertanz,,,,,,,false,,
55421,kluck_n,Nora,Nora,Kluck,Kluck,,,,,,,false,,
55422,klueppelberg,Claudia,Claudia,"Kl{\""u}ppelberg",Klüppelberg,,,,,,,false,,
55423,klueting,Harm,Harm,Klueting,Klueting,,,,,,,false,,
55424,kluever,H.,H.,"Kl{\""u}ver",Klüver,,,,,,,false,,
55425,klug_nm,Nina-Maria,Nina-Maria,Klug,Klug,,,,,,,false,,
55426,klug_u,Ulrich,Ulrich,Klug,Klug,,,,,,,false,,
55427,kluge_ag,Arnold G.,Arnold G.,Kluge,Kluge,,,,,,,false,,
55428,kluge_e,Eike-Henner W.,Eike-Henner W.,Kluge,Kluge,,,,,,,false,,
55429,kluit,P.M.,P.M.,Kluit,Kluit,,,,,,,false,,
55430,kluwe_rh,R.H.,R.H.,Kluwe,Kluwe,,,,,,,false,,
55431,kluxen_w,Wolfgang,Wolfgang,Kluxen,Kluxen,,,,,,,false,,
55432,klymchuk,Sergiy,Sergiy,Klymchuk,Klymchuk,,,,,,,false,,
55433,klyshko,D.N.,D.N.,Klyshko,Klyshko,,,,,,,false,,
55434,klyve_d,Dominic,Dominic,Klyve,Klyve,,,,,,,false,,
55435,kment,Boris,Boris,Kment,Kment,,,,,,,false,,
55436,kmita,Jerzy,Jerzy,Kmita,Kmita,,,,,,,false,,
55437,knab,Brian,Brian,Knab,Knab,,,,,,,false,,
55438,knakkergaard,Martin,Martin,Knakkergaard,Knakkergaard,,,,,,,false,,
55439,knapp_c,Christopher,Christopher,Knapp,Knapp,,,,,,,false,,
55440,knapp_hg,Hans Georg,Hans Georg,Knapp,Knapp,,,,,,,false,,
55441,knapp_j,J.,J.,Knapp,Knapp,,,,,,,false,,
55442,knapp_ph,Peter H.,Peter H.,Knapp,Knapp,,,,,,,false,,
55443,knapp_rh,R.H.,R.H.,Knapp,Knapp,,,,,,,false,,
55444,knapp_st,Steven,Steven,Knapp,Knapp,,,,,,,false,,
55445,knapp_su,Susan,Susan,Knapp,Knapp,,,,,,,false,,
55446,knappe,Ulrich,Ulrich,Knappe,Knappe,,,,,,,false,,
55447,knappik,Franz,Franz,Knappik,Knappik,,,,,,,false,,
55448,knapwell_r,Richard,Richard,Knapwell,Knapwell,,,,,,,false,,
55449,knasas,John F.X.,John F.X.,Knasas,Knasas,,,,,,,false,,
55450,knauer_mj,Matthew J.,Matthew J.,Knauer,Knauer,,,,,,,false,,
55451,knauff_m,Markus,Markus,Knauff,Knauff,,,,,,,false,,
55452,knauss_g,Gerhard,Gerhard,Knauss,Knauss,,,,,,,false,,
55453,kneale_m,Martha,Martha,Kneale,Kneale,,,,,,,false,,
55454,kneale_wc,William C.,William C.,Kneale,Kneale,,,,,,,false,,
55455,knebel,Sven K.,Sven K.,Knebel,Knebel,,,,,,,false,,
55456,knecht_hh,Herbert H.,Herbert H.,Knecht,Knecht,,,,,,,false,,
55457,knecht_y,Yvonne,Yvonne,Knecht,Knecht,,,,,,,false,,
55458,knee,Philip,Philip,Knee,Knee,,,,,,,false,,
55459,kneebone,G.T.,G.T.,Kneebone,Kneebone,,,,,,,false,,
55460,kneepkens,Corneille Henri,Corneille Henri,Kneepkens,Kneepkens,,,,,,,false,,
55461,kneipaz,Baruch,Baruch,Knei-Paz,Knei-Paz,,,,,,,false,,
55462,knell_m,Markus,Markus,Knell,Knell,,,,,,,false,,
55463,knell_s,Sebastian,Sebastian,Knell,Knell,,,,,,,false,,
55464,kneller,Jane E.,Jane E.,Kneller,Kneller,,,,,,,false,,
55465,knepper,Timothy David,Timothy David,Knepper,Knepper,,,,,,,false,,
55466,kneupper,Theodore L.,Theodore L.,Kneupper,Kneupper,,,,,,,false,,
55467,knibb,Michael A.,Michael A.,Knibb,Knibb,,,,,,,false,,
