id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
80627,article,illies:2007,,,2007,,"Orientierung durch Universalisierung: Der Kategorische Imperativ als Test f{\""u}r die Moralit{\""a}t von Maximen",Orientierung durch Universalisierung: Der Kategorische Imperativ als Test für die Moralität von Maximen,,,,kant-studien,98,3,306--328,306,,,,,,,,,,,,,,,,,,,ngerman,false,,,illies,,,1:ethics;3:categorical_imperative
80628,incollection,illies:2009,,,2009,,The Built Environment,The Built Environment,,,,,,,289--294,289,,,,,,,,,,,,,,,,,,,english,false,,,illies,,,1:aesthetics;2:architecture
80629,book,illingworth-etal:2011,,,2011,,Giving Well: The Ethics of Philanthropy,Giving Well: The Ethics of Philanthropy,Giving Well: The Ethics of Philanthropy,Giving Well: The Ethics of Philanthropy,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199739073.001.0001,,english,false,,,,illingworth;pogge;wenar,,
80630,book,illingworth:2022,,,2022,,Giving Now: Accelerating Human Rights for All,Giving Now: Accelerating Human Rights for All,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780190907044.001.0001,,english,false,,,illingworth,,,
80631,incollection,illmer_d:1981,,,1981,,"Sprache und Wissenschaft im {\""U}bergang von der Sp{\""a}tantike zum Fr{\""u}hen Mittelalter",Sprache und Wissenschaft im Übergang von der Spätantike zum Frühen Mittelalter,,,,,,,547--556,547,,,,,,,,,,,,,,,,,,,ngerman,false,,,illmer_d,,,1:history_of_philosophy
80632,article,illmer_ld:2017,,,2017,,Was Heimat ist,Was Heimat ist,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2017-12-25-illmer,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,illmer_ld,,,
80633,book,ilodigwe:2006,,,2006,,Bradley and the Problematic Status of Metaphysics: In Search of an Adequate Ontology of Appearance,Bradley and the Problematic Status of Metaphysics: In Search of an Adequate Ontology of Appearance,,,,,,,,,,,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,english,false,,,ilodigwe,,,1:history_of_philosophy
80634,incollection,ilting:1972,,,1972,,The Naturalistic Fallacy in Kant,The Naturalistic Fallacy in Kant,,,,,,,105--120,105,,,,,,,,,Reprinted as ``Der naturalistische Fehlschluss bei Kant'' in \citet[113--132]{riedel_m:1972},Reprinted as “Der naturalistische Fehlschluss bei Kant” in Riedel (1972),,,,,,,,,english,false,,,ilting,,,2:ought;3:is_ought
80635,incollection,ilting:1974,,,1974,,"Anerkennung.~Zur Rechtfertigung praktischer S{\""a}tze",Anerkennung. Zur Rechtfertigung praktischer Sätze,,,,,,,353--369,353,,,,,,,,,,,,,,,,,,,ngerman,false,,,ilting,,,1:political_philosophy;2:anerkennung
80636,incollection,ilting:1978,,,1978,,"Bed{\""u}rfnis und Norm.~Platons Begr{\""u}ndung der Ethik",Bedürfnis und Norm. Platons Begründung der Ethik,,,,,,,420--446,420,,,,,,,,,,,,,,,,,,,ngerman,false,,,ilting,,,1:ethics
80637,book,iltis_as-mackay:2023,,,2023,,The Oxford Handbook of Research Ethics,The Oxford Handbook of Research Ethics,The Oxford Handbook of Research Ethics,The Oxford Handbook of Research Ethics,,,,,,,,oxford_handbooks,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oxfordhb/9780190947750.001.0001,,english,false,,,,iltis_as;mackay_do,,
80638,book,ilundainagurruza-austin:2010,,,2010,,Cycling -- Philosophy for Everyone -- A Philosophical Tour De Force,Cycling – Philosophy for Everyone – A Philosophical Tour De Force,,,,,,,,,,,Chichester,,,wiley-blackwell,,,,,,,,,,,10.1002/9781444324679,,english,false,,,ilundainagurruza;austin_mw,,,
80639,incollection,ilundainagurruza-etal:2014,,,2014,,"The Philosophy of Sport, Eastern Philosophy and Pragmatism","The Philosophy of Sport, Eastern Philosophy and Pragmatism",,,,,,,66--81,66,,,,,,,,,,,,,,,,,,,english,false,,,ilundainagurruza;fukasawa;takemura_m,,,1:aesthetics;2:dance
80640,incollection,ilyes:2017,,,2017,,Empathy in Hume and Smith,Empathy in Hume and Smith,,,,,,,98--109,98,,,,,,,,,,,,,,,,,,,english,false,,,ilyes,,,1:feeling;2:empathy
