id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
170933,incollection,udehn:2003,,,2003,,The Methodology of Rational Choice,The Methodology of Rational Choice,,,,,,,143--165,143,,,,,,,,,,,,,,,,,,,english,false,,,udehn,,,1:decision_theory
170934,incollection,udehn:2008,,,2008,,The Ontology of the Objects of Historiography,The Ontology of the Objects of Historiography,,,,,,,209--219,209,,,,,,,,,,,,,,,,,,,english,false,,,udehn,,,1:time;2:the_past
170935,incollection,udeschini_p:1966,,,1966,,On Einstein's Unified Field Theory,On Einstein's Unified Field Theory,,,,,,,436--447,436,,,,,,,,,,,,,,,,,,,english,false,,,udeschini_p,,,1:space_spacetime;2:relativity_theory
170936,UNKNOWN,udry_r:1968,,,1968,,Ath{\'e}isme contemporain et approches de Dieu,Athéisme contemporain et approches de Dieu,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,udry_r,,,
