id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
485,incollection,ackerman_fe:1998,,,1998,,"Flourish Your Heart in This World: Emotion, Reason, and Action in Malory's \emph{Le Morte D'Arthur}","Flourish Your Heart in This World: Emotion, Reason, and Action in Malory's Le Morte D'Arthur",,,,,,,182--226,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:feeling;2:emotions
486,incollection,ackerman_fe:1999,,,1999,,Late in the Quest: The Study of Malory's \emph{Morte Darthur} as a New Direction in Philosophy,Late in the Quest: The Study of Malory's Morte Darthur as a New Direction in Philosophy,,,,,,,312--342,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:aesthetics
487,incollection,ackerman_fe:2000,,,2000,,``For Now Have I My Death'': The ``Duty to Die'' versus the Duty to Help the Ill Stay Alive,“For Now Have I My Death”: The “Duty to Die” versus the Duty to Help the Ill Stay Alive,,,,,,,172--185,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:time;2:death
488,incollection,ackerman_fe:2002,,,2002,,"``Always to do ladies, damosels, and gentlewomen succour'': Women and the Chivalric Code in Malory's \emph{Morte Darthur}","“Always to do ladies, damosels, and gentlewomen succour”: Women and the Chivalric Code in Malory's Morte Darthur",,,,,,,1--12,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:political_philosophy;2:feminism
489,incollection,ackerman_fe:2007,,,2007,,Death Is a Punch in the Jaw: Life-Extension and its Discontents,Death Is a Punch in the Jaw: Life-Extension and its Discontents,,,,,,,324--348,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:time;2:death
490,incollection,ackerman_fe:2007a,,,2007,,Patient and Family Decisions about Life- Extension and Death,Patient and Family Decisions about Life- Extension and Death,,,,,,,52--68,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:medicine
491,incollection,ackerman_fe:2018,,,2018,,``I Support the Right to Die.~You Go First'': Bias and Physician-Assisted Suicide,“I Support the Right to Die. You Go First”: Bias and Physician-Assisted Suicide,,,,,,,703--716,,,,,,,,,,,,,,,,,,,,false,,ackerman_fe,,,1:medicine;2:medical_ethics;3:euthanasia
492,article,ackerman_g:2016,,,2016,,Securing Singular Thought about Merely Hypothetical Entities,Securing Singular Thought about Merely Hypothetical Entities,,,,philosophical-studies,173,8,2193--2213,,,,,,,,,,,,,,,,,10.1007/s11098-015-0604-0,,,false,,ackerman_g,,,1:representation;2:singular_thought
493,incollection,ackerman_j:2010,,,2010,,"John of the Cross, the Difficult Icon","John of the Cross, the Difficult Icon",,,,,,,149--174,,,,,,,,,,,,,,,,,,,,false,,ackerman_j,,,1:religion;2:religious_experience;3:mysticism
494,incollection,ackerman_r-thompson:2018,,,2018,,Meta-Reasoning: Shedding Metacognitive Light on Reasoning Research,Meta-Reasoning: Shedding Metacognitive Light on Reasoning Research,,,,,,,1--15,,,,,,,,,,,,,,,,,,,,false,,ackerman_r;thompson_v,,,1:representation;2:metarepresentation;3:reasoning_about_knowledge
495,article,ackermann_r:1963,,,1963,,Inductive Simplicity in Special Cases,Inductive Simplicity in Special Cases,,,,synthese,15,1,436--444,,,,,,,,,,,,,,,,,,,,false,,ackermann_r,,,1:method;2:induction
496,book,ackermann_r:1966,,,1966,,Nondeductive Inference,Nondeductive Inference,,,,,,,,,monographs_in_modern_logic,London,,,routledge-kegan-paul,,,,,,,,,,,,,,false,,ackermann_r,,,1:rationality;2:practical_rationality;3:practical_inference
497,book,ackermann_r:1967,,,1967,,Introduction to Many Valued Logics,Introduction to Many Valued Logics,,,,,,,,,monographs_in_modern_logic,London,,,routledge-kegan-paul,,,,,,,,,,,,,,false,,ackermann_r,,,1:logic;2:many_valued_logic
498,incollection,ackermann_r:1967a,,,1967,,Comments on \citet{rescher:1967f},Comments on Rescher (1967),,,,,,,71--76,,,,,,,,,,,,,,,,,,,,false,,ackermann_r,,,1:decision_theory;2:preference
499,article,ackermann_r:1969,,,1969,,Consistency and Ethics,Consistency and Ethics,,,,proceedings-of-the-aristotelian-society,69,,73--86,,,,,,,,,,,,,,,,,,,,false,,ackermann_r,,,1:ethics
500,article,ackermann_r:1969a,,,1969,,"Mechanism, Methodology and Biological Theory","Mechanism, Methodology and Biological Theory",,,,synthese,20,2,219--229,,,,,,,,,,,,,,,,,,,,false,,ackermann_r,,,1:biology
501,article,ackermann_r:1969b,,,1969,,The Fallacy of Conjunctive Analysis,The Fallacy of Conjunctive Analysis,,,,the-monist,53,3,478--487,,,,,,,,,Reprinted in \citet{freeman_e-sellars:1971},Reprinted in Freeman and Sellars (1971),,,,,,,,,,false,,ackermann_r,,,1:time;2:the_present
502,incollection,ackermann_r:1969c,,,1969,,Some Problems of Inductive Logic,Some Problems of Inductive Logic,,,,,,,135--151,,,,,,,,,,,,,,,,,,,,false,,ackermann_r,,,1:method;2:induction
