id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145639,article,saidel:1994,,,1994,,Content and Causal Powers,Content and Causal Powers,,,,philosophy-of-science,61,,658--665,,,,,,,,,,,,,,,,,,,,false,,saidel,,,1:mind_body;2:mental_causation
145640,incollection,saidel:2018,,,2018,,On Psychological Explanations and Self-concepts (in some Animals),On Psychological Explanations and Self-concepts (in some Animals),,,,,,,131--141,,,,,,,,,,,,,,,,,,,,false,,saidel,,,1:explanation;2:explanation_in_psychology
145641,book,saikia_y-rahman:2019,,,2019,,The Cambridge Companion to Sayyid Ahmad Khan,The Cambridge Companion to Sayyid Ahmad Khan,The Cambridge Companion to Sayyid Ahmad Khan,The Cambridge Companion to Sayyid Ahmad Khan,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108594196,,,false,,,saikia_y;rahman_mr,,
145642,incollection,sailer:2006,,,2006,,\emph{Don't Believe} in Underspecified Semantics: Neg Raising in Lexical Resource Semantics,Don't Believe in Underspecified Semantics: Neg Raising in Lexical Resource Semantics,,,,,,,375--404,,,,,,,,,,,,,,,,,,,,false,,sailer,,,1:logic;2:negation;3:neg_raising
145643,incollection,saillant_pa-simmons:1998,,,1998,,"Time Expansion and the Perception of Acoustic Images in the Big Brown Bat, Eptesicus Fuscus","Time Expansion and the Perception of Acoustic Images in the Big Brown Bat, Eptesicus Fuscus",,,,,,,649--656,,,,,,,,,,,,,,,,,,,,false,,saillant_pa;simmons_jaa,,,1:perception;2:auditory_perception
145644,incollection,sailors_pr:2014,,,2014,,Conceivable Horizons of Equality in Sport,Conceivable Horizons of Equality in Sport,,,,,,,295--305,,,,,,,,,,,,,,,,,,,,false,,sailors_pr,,,1:social_philosophy;2:sport
145645,incollection,saiman:2017,,,2017,,"One God, No State, and Many Legal Arguments: Multivalent Logic in Jewish Law","One God, No State, and Many Legal Arguments: Multivalent Logic in Jewish Law",,,,,,,69--86,,,,,,,,,,,,,,,,,,,,false,,saiman,,,1:logic;2:many_valued_logic
145646,article,sainsbury-tye:2011,,,2011,,An Originalist Theory of Concepts,An Originalist Theory of Concepts,,,,proceedings-of-the-aristotelian-society-supplementary-volume,85,,101--124,,,,,,,,,,,,,,,,,,,,false,,sainsbury;tye,,,1:representation;2:concepts
145647,book,sainsbury-tye:2012,,,2012,,Seven Puzzles of Thought: And How to Solve Them: An Originalist Theory of Concepts,Seven Puzzles of Thought: And How to Solve Them: An Originalist Theory of Concepts,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199695317.001.0001,,,false,,sainsbury;tye,,,1:representation;2:content
145648,incollection,sainsbury-tye:2015,,,2015,,Counting Concepts: Reply to Paul \citet{boghossian:2015},Counting Concepts: Reply to Paul Boghossian (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,false,,sainsbury;tye,,,1:epistemology;2:epistemic_internalism_externalism;3:epistemic_externalism
