id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
92970,article,ksenjek-flage:2012,,,2012,,"Berkeley, the Author of Nature, and the Judeo-Christian God","Berkeley, the Author of Nature, and the Judeo-Christian God",,,,history-of-philosophy-quarterly,29,3,281--299,,,,,,,,,,,,,,,,,,,,false,,ksenjek;flage,,,1:religion;2:god
92971,article,kshemkalyani:1997,,,1997,,Reasoning about Causality between Distributed Nonatomic Events,Reasoning about Causality between Distributed Nonatomic Events,,,,artificial-intelligence,92,1/2,301--315,,,,,,,,,,,,,,,,,,,,false,,kshemkalyani,,,1:causation;2:action_at_a_distance
92972,UNKNOWN,ksiazek:2011,,,2011,,The Spatially Restricted Theory of Composition,The Spatially Restricted Theory of Composition,,,,,,,,,,Winnipeg,,philosophy_department_university_of_manitoba,,PhD dissertation,,,,,,,,,,,,,false,,ksiazek,,,1:complexity;2:composition
