id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
110168,incollection,mcgee_v:2006b,,,2006,,Truth,Truth,,,,,,,392--410,392,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_v,,,1:truth
110169,article,mcgee_v:2010,,,2010,,Field's Logic of Truth,Field's Logic of Truth,,,,philosophical-studies,147,3,421--432,421,,,,,,,,,,,,,,,,,10.1007/s11098-009-9467-6,,english,false,,,mcgee_v,,,1:truth;2:logic_of_truth
110170,article,mcgee_v:2011,,,2011,,Review of \citet{berto:2009},Review of Berto (2009),,,,philosophia-mathematica,19,3,367--369,367,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_v,,,1:logic;2:in_completeness;3:goedel_s_theorem
110171,incollection,mcgee_v:2011a,,,2011,,Logical Consequence,Logical Consequence,,,,,,,29--53,29,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_v,,,1:logic;2:entailment;3:logical_consequence
110172,incollection,mcgee_v:2015,,,2015,,The Categoricity of Logic,The Categoricity of Logic,,,,,,,161--185,161,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_v,,,1:logic;2:entailment;3:logical_consequence
110173,incollection,mcgee_v:2015a,,,2015,,Whittle's Assault on Cantor's Paradise [on \citet{whittle_b:2015}],Whittle's Assault on Cantor's Paradise [on Whittle (2015)],,,,,,,20--32,20,,,,,,,,,,,,,,,,,10.1093/acprof:oso/9780198729242.003.0002,,english,false,,,mcgee_v,,,1:mathematics;2:infinity
110174,article,mcgee_v:2016,,,2016,,"Thought, Thoughts, and Deflationism","Thought, Thoughts, and Deflationism",,,,philosophical-studies,173,12,3153--3168,3153,,,,,,,,,,,,,,,,,10.1007/s11098-016-0656-9,,english,false,,,mcgee_v,,,1:truth;2:deflationism_about_truth
110175,incollection,mcgee_v:2017,,,2017,,"G{\""o}del, Lucas, and the Soul-Searching Selfie","Gödel, Lucas, and the Soul-Searching Selfie",,,,,,,147--164,147,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_v,,,1:reference;2:self_reference
110176,incollection,mcgee_za-etal:2021,,,2021,,Bounded Rationality in Political Science,Bounded Rationality in Political Science,,,,,,,597--609,597,,,,,,,,,,,,,,,,,,,english,false,,,mcgee_za;shannon_bn;jones_bd,,,1:rationality;2:limited_rationality
110177,incollection,mcgeer-pettit:2015,,,2015,,The Hard Problem of Responsibility,The Hard Problem of Responsibility,,,,,,,160--188,160,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer;pettit_p,,,1:action;2:responsibility
110178,incollection,mcgeer-pettit:2017,,,2017,,The Empowering Theory of Trust,The Empowering Theory of Trust,,,,,,,14--34,14,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer;pettit_p,,,1:epistemology;2:testimony;3:trust
110179,article,mcgeer:1996,,,1996,,Is `Self-Knowledge' an Empirical Problem? Renegotiating the Space of Philosophical Explanation,Is ‘Self-Knowledge' an Empirical Problem? Renegotiating the Space of Philosophical Explanation,,,,the-journal-of-philosophy,93,10,483--515,483,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:knowledge;2:self_knowledge
110180,article,mcgeer:2003,,,2003,,The Trouble with Mary,The Trouble with Mary,,,,pacific-philosophical-quarterly,84,,384--393,384,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:perception;2:phenomenal_properties;3:knowledge_argument
110181,article,mcgeer:2004,,,2004,,Developing Trust on the Internet,Developing Trust on the Internet,,,,analyse-kritik,26,1,91--107,91,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:computation;2:internet
110182,incollection,mcgeer:2005,,,2005,,Out of the Mouth of Autistics: Subjective Report and Its Role in Cognitive Theorizing,Out of the Mouth of Autistics: Subjective Report and Its Role in Cognitive Theorizing,,,,,,,98--129,98,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,
110183,article,mcgeer:2008,,,2008,,"Trust, Hope and Empowerment","Trust, Hope and Empowerment",,,,australasian-journal-of-philosophy,86,2,237--254,237,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:epistemology;2:testimony;3:trust
110184,article,mcgeer:2008a,,,2008,,The Moral Development of First-Person Authority,The Moral Development of First-Person Authority,,,,european-journal-of-philosophy,16,1,81--108,81,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:knowledge;2:self_knowledge;3:iem
110185,incollection,mcgeer:2008b,,,2008,,Varieties of Moral Agency: Lessosn from Autism (and Psychopathy),Varieties of Moral Agency: Lessosn from Autism (and Psychopathy),,,,,,,227--258,227,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,
110186,incollection,mcgeer:2008c,,,2008,,"The Makings of a Moral Sensibility: Replies to Commentaries [\citet{kennett:2008}, \citet{maibom_hl:2008} and \citet{devignemont-frith:2008}]","The Makings of a Moral Sensibility: Replies to Commentaries [Kennett (2008), Maibom (2008) and de Vignemont and Frith (2008)]",,,,,,,281--296,281,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,
110187,incollection,mcgeer:2014,,,2014,,P.F.~Strawson's Consequentialism,P.F. Strawson's Consequentialism,,,,,,,64--92,64,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:action
110188,article,mcgeer:2015,,,2015,,Building a Better Theory of Responsibility,Building a Better Theory of Responsibility,,,,philosophical-studies,172,10,2635--2649,2635,,,,,,,,,,,,,,,,,10.1007/s11098-015-0478-1,,english,false,,,mcgeer,,,1:action;2:responsibility
110189,article,mcgeer:2018,,,2018,,Intelligent Capacities,Intelligent Capacities,,,,proceedings-of-the-aristotelian-society,118,3,347--376,347,,,,,,,,,,,,,,,,,,,english,false,,,mcgeer,,,1:psychology;2:intelligence
110190,incollection,mcgeer:2022,,,2022,,Moral Travel and the Narrative Work of Forgiveness,Moral Travel and the Narrative Work of Forgiveness,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.unige.ch/cisa/related-sites/ronald-de-sousa/assets/pdf/McGeer_Paper.pdf,english,false,,,mcgeer,,,1:ethics;2:emotions
110191,book,mcghee:1992,,,1992,,"Philosophy, Religion and the Spiritual Life","Philosophy, Religion and the Spiritual Life","Philosophy, Religion and the Spiritual Life","Philosophy, Religion and the Spiritual Life",,,,32,,,,royal_institute_of_philosophy_lectures,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,,mcghee,,1:religion
110192,incollection,mcghee:1992a,,,1992,,Introduction,Introduction,,,,,,,1--8,1,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:religion
110193,incollection,mcghee:1992b,,,1992,,Facing Truths: Ethics and the Spiritual Life,Facing Truths: Ethics and the Spiritual Life,,,,,,,229--246,229,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:religion
110194,article,mcghee:1996,,,1996,,The Locations of the Soul,The Locations of the Soul,,,,religious-studies,32,2,"1--11, 205--221",1,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:persons;2:soul
110195,article,mcghee:2004,,,2004,,(Sailing to) Byzantium: the Kantian Sublime,(Sailing to) Byzantium: the Kantian Sublime,,,,indian-philosophical-quarterly,31,1--4,177--198,177,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:aesthetics;2:aesthetic_experience;3:the_sublime
110196,incollection,mcghee:2011,,,2011,,Spirituality for the Godless,Spirituality for the Godless,,,,,,,227--244,227,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:religion
110197,article,mcghee:2012,,,2012,,"Birds, Frogs and Tintern Abbey: Humanism and Hubris","Birds, Frogs and Tintern Abbey: Humanism and Hubris",,,,european-journal-for-philosophy-of-religion,4,3,33--50,33,,,,,,,,,,,,,,,,,,,english,false,,,mcghee,,,1:religion;2:religious_experience;3:mysticism
110198,book,mcghee:2021,,,2021,,"Spirituality for the Godless: Buddhism, Humanism, and Religion","Spirituality for the Godless: Buddhism, Humanism, and Religion",,,,,,,,,,cambridge_studies_in_religion_philosophy_and_society,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781316678237,,english,false,,,mcghee,,,
110199,book,mcghee:2023,,,2023,,Spiritual Life,Spiritual Life,Spiritual Life,Spiritual Life,,,,,,,,talking_philosophy,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,,mcghee,,
110200,incollection,mcgill_j:2013,,,2013,,The Silencing of Women,The Silencing of Women,,,,,,,197--214,197,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_j,,,1:metaphilosophy;2:philosophy_as_a_discipline
110201,article,mcgill_vj:1930,,,1930,,An Analysis of the Experience of Time,An Analysis of the Experience of Time,,,,the-journal-of-philosophy,27,20,533--544,533,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:time;2:experience_of_time
110202,incollection,mcgill_vj:1940,,,1940,,A Materialist Approach to Husserl's Philosophy,A Materialist Approach to Husserl's Philosophy,,,,,,,231--250,231,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:metaphysics;2:phenomenology
110203,incollection,mcgill_vj:1942,,,1942,,Some Queries Concerning Moore's Method,Some Queries Concerning Moore's Method,,,,,,,481--514,481,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:method;2:method_in_of_philosophy;3:common_sense
110204,incollection,mcgill_vj:1944,,,1944,,Russell's Political and Economic Philosophy,Russell's Political and Economic Philosophy,,,,,,,581--618,581,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:political_philosophy
110205,article,mcgill_vj:1944a,,,1944,,Subjective and Objective Methods in Philosophy,Subjective and Objective Methods in Philosophy,,,,the-journal-of-philosophy,41,16,421--438,421,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:method
110206,incollection,mcgill_vj:1973,,,1973,,Evidence in Husserl's Phenomenology,Evidence in Husserl's Phenomenology,,,,,,,145--166,145,,,,,,,,,,,,,,,,,,,english,false,,,mcgill_vj,,,1:epistemology;2:justification
110207,book,mcgilvary-etal:1904,,,1904,,Studies in Philosophy Prepared in Commemoration of the Seventieth Birthday of Professor George Holmes Howison,Studies in Philosophy Prepared in Commemoration of the Seventieth Birthday of Professor George Holmes Howison,Studies in Philosophy Prepared in Commemoration of the Seventieth Birthday of Professor George Holmes Howison,Studies in Philosophy Prepared in Commemoration of the Seventieth Birthday of Professor George Holmes Howison,,,,,,,,,"Berkeley, California",,,university-of-california-press,,,,,,,,,,,,,english,false,,,,mcgilvary;rieber_ch;overstreet;bakewell_cm,,1:varia
110208,article,mcgilvary:1901,,,1901,,``The Eternal Consciousness'',“The Eternal Consciousness”,,,,mind,10,40,479--497,479,,,,,,,,,,,,,,,,,,,english,false,,,mcgilvary,,,1:religion;2:god
110209,article,mcgilvary:1912,,,1912,,The Relation of Consciousness and Objects in Sense-Perception,The Relation of Consciousness and Objects in Sense-Perception,,,,the-philosophical-review,21,2,152--173,152,,,,,,,,,Reprinted in \citet[9--26]{dewaal_c:2001a},Reprinted in De Waal (2001),,,,,,,,,english,false,,,mcgilvary,,,1:perception;2:direct_realism;3:new_realism_in_perception
110210,article,mcgilvary:1912a,,,1912,,Realism and the Ego-Centric Predicament,Realism and the Ego-Centric Predicament,,,,the-philosophical-review,21,3,351--356,351,,,,,,,,,Reprinted in \citet[47--52]{dewaal_c:2001a},Reprinted in De Waal (2001),,,,,,,,,english,false,,,mcgilvary,,,1:method;2:scientific_method;3:scientific_instrumentalism
110211,article,mcgilvary:1912b,,,1912,,"Professor Dewey's ``Brief Studies in Realism'' [on \citet{dewey_j:1911a,dewey_j:1911b}]",Professor Dewey's “Brief Studies in Realism” [on ],,,,the-journal-of-philosophy-psychology-and-scientific-methods,9,13,344--349,344,,,,,,,,,Reprinted in \citet[63--68]{dewaal_c:2001a},Reprinted in De Waal (2001),,,,,,,,,english,false,,,mcgilvary,,,1:perception;2:direct_realism;3:new_realism_in_perception
