id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
122863,book,nsonsissa_a:2015a,,,2015,,Recherches philosophiques sur les th{\'e}ories des formes complexes,Recherches philosophiques sur les théories des formes complexes,,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,nsonsissa_a,,,1:language;2:logical_structure
122864,book,nsonsissa_a:2016,,,2016,,La grammaire de la signification.~Querelle des fondements de la philosophie contemporaine du langage,La grammaire de la signification. Querelle des fondements de la philosophie contemporaine du langage,,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,nsonsissa_a,,,1:representation;2:meaning
122865,book,nsonsissa_a:2017,,,2017,,La dynamique de la nature.~{\'E}tude sur le th{\`e}me du vide dans l'histoire de la philosophie des sciences,La dynamique de la nature. Étude sur le thème du vide dans l'histoire de la philosophie des sciences,,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,nsonsissa_a,,,1:space_spacetime;2:vacuum
