id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
179966,article,whittington_lj:2014,,,2014,,Getting Moral Luck Right,Getting Moral Luck Right,,,,metaphilosophy,45,4/5,654--667,,,,,,,,,Reprinted in \citet[205--218]{pritchard_d-whittington:2015},Reprinted in Pritchard and Whittington (2015),,,,,,,,,,false,,whittington_lj,,,1:ethics;2:moral_luck
179967,article,whittington_lj:2016,,,2016,,"Luck, Knowledge and Value","Luck, Knowledge and Value",,,,synthese,193,6,1615--1633,,,,,,,,,,,,,,,,,,,,false,,whittington_lj,,,1:epistemology
179968,incollection,whittington_w:2012,,,2012,,The Sonic Playpen: Sound Design and Technology in Pixar's Animated Shorts,The Sonic Playpen: Sound Design and Technology in Pixar's Animated Shorts,,,,,,,367--386,,,,,,,,,,,,,,,,,,,,false,,whittington_w,,,1:perception;2:sounds
179969,article,whittle_a:2003,,,2003,,Singularism,Singularism,,,,proceedings-of-the-aristotelian-society,103,,371--379,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:causation;2:singular_causation
179970,article,whittle_a:2006,,,2006,,On an Argument for Humility,On an Argument for Humility,,,,philosophical-studies,130,3,461--497,,,,,,,,,,,,,,,,,10.1007/s11098-004-5751-7,,,false,,whittle_a,,,1:epistemology;2:epistemic_virtues;3:epistemic_humility
179971,article,whittle_a:2006a,,,2006,,Review of \citet{sider_t-conee:2005},Review of Sider and Conee (2005),,,,mind,115,459,750--?,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:metaphysics
179972,article,whittle_a:2007,,,2007,,The Co-Instantiation Thesis,The Co-Instantiation Thesis,,,,australasian-journal-of-philosophy,85,1,61--79,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:properties
179973,article,whittle_a:2008,,,2008,,Causality and Intrinsicality,Causality and Intrinsicality,,,,proceedings-of-the-aristotelian-society,108,,101--120,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:causation;2:metaphysics_of_causality
179974,article,whittle_a:2008a,,,2008,,A Functionalist Theory of Properties,A Functionalist Theory of Properties,,,,philosophy-and-phenomenological-research,77,1,59--82,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:properties
179975,incollection,whittle_a:2009,,,2009,,Causal Nominalism,Causal Nominalism,,,,,,,242--285,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:properties;2:property_identity;3:quiddity
179976,article,whittle_a:2010,,,2010,,Dispositional Abilities,Dispositional Abilities,,,,philosophers-imprint,10,12,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0010.012,,http://hdl.handle.net/2027/spo.3521354.0010.012,,false,,whittle_a,,,1:properties;2:dispositions
179977,article,whittle_a:2016,,,2016,,A Defense of Substance Causation,A Defense of Substance Causation,,,,journal-of-the-american-philosophical-association,2,1,1--20,,,,,,,,,,,,,,,,,,,,false,,whittle_a,,,1:action;2:agency;3:agent_causation
179978,book,whittle_a:2021,,,2021,,Freedom and Responsibility in Context,Freedom and Responsibility in Context,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780192845603.001.0001,,,false,,whittle_a,,,1:action;2:responsibility
179979,incollection,whittle_a:2023,,,2023,,A New Solution to the Problem of Luck,A New Solution to the Problem of Luck,,,,,,,314--327,,,,,,,,,,,,,,,,,10.1111/phis.12260,,,false,,whittle_a,,,
179980,article,whittle_b:2004,,,2004,,"Dialetheism, Logical Consequence and Hierarchy","Dialetheism, Logical Consequence and Hierarchy",,,,analysis,64,4,318--326,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:truth;2:dialetheism
179981,article,whittle_b:2009,,,2009,,Epistemically Possible Worlds and Propositions,Epistemically Possible Worlds and Propositions,,,,nous,43,2,265--285,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:representation;2:2d
179982,article,whittle_b:2010,,,2010,,There are Brute Necessities,There are Brute Necessities,,,,the-philosophical-quarterly,60,238,149--159,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:modality
179983,incollection,whittle_b:2012,,,2012,,"Belief, Information and Reasoning","Belief, Information and Reasoning",,,,,,,431--446,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:belief
179984,incollection,whittle_b:2015,,,2015,,On Infinite Size,On Infinite Size,,,,,,,3--19,,,,,,,,,,,,,,,,,10.1093/acprof:oso/9780198729242.003.0001,,,false,,whittle_b,,,1:mathematics;2:infinity
179985,incollection,whittle_b:2015a,,,2015,,Reply to \citet{mcgee_v:2015a},Reply to McGee (2015),,,,,,,33--41,,,,,,,,,,,,,,,,,10.1093/acprof:oso/9780198729242.003.0003,,,false,,whittle_b,,,1:mathematics;2:infinity
179986,article,whittle_b:2017,,,2017,,Self-Referential Propositions,Self-Referential Propositions,,,,synthese,194,12,5023--5037,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:truth;2:semantic_paradoxes
179987,article,whittle_b:2017a,,,2017,,Hierarchical Propositions,Hierarchical Propositions,,,,journal-of-philosophical-logic,46,2,215--231,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:representation;2:objects_of_propositional_attitudes;3:propositions
179988,article,whittle_b:2017b,,,2017,,Proving Unprovability,Proving Unprovability,,,,the-review-of-symbolic-logic,10,1,92--115,,,,,,,,,,,,,,,,,,,,false,,whittle_b,,,1:logic;2:modal_logic;3:provability_logic
