id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
57007,article,fumerton:2007d,,,2007,,Practicing Magic [on \citet{wettstein_hk:2004}],Practicing Magic [on Wettstein (2004)],,,,philosophy-and-phenomenological-research,74,74,3,3,723--729,723,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:reference;2:direct_reference
57008,incollection,fumerton:2008,,,2008,,The Problem of the Criterion,The Problem of the Criterion,,,,,,,,,34--52,34,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:skepticism;2:ancient_skepticism
57009,article,fumerton:2009,,,2009,,Luminous Enough for a Cognitive Home,Luminous Enough for a Cognitive Home,,,,philosophical-studies,142,142,1,1,67--76,67,,,,,,,,,,,,,,,,,10.1007/s11098-008-9301-6,,english,false,,,fumerton,,,1:epistemology
57010,article,fumerton:2009a,,,2009,,"Markie, Speckles, and Classical Foundationalism [on \citet{markie:2009a}]","Markie, Speckles, and Classical Foundationalism [on Markie (2009)]",,,,philosophy-and-phenomenological-research,79,79,1,1,207--212,207,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:epistemology;2:epistemic_foundationalism
57011,article,fumerton:2010,,,2010,,Partnership InTruth-Making,Partnership InTruth-Making,,,,topoi,29,29,2,2,91--98,91,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:truth;2:truthmakers
57012,incollection,fumerton:2010a,,,2010,,Fencing out Pragmatic Encroachment,Fencing out Pragmatic Encroachment,,,,,,,,,243--253,243,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:epistemology
57013,article,fumerton:2010b,,,2010,,\citet{poston_t:2010} on Similarity and Acquaintance,Poston (2010) on Similarity and Acquaintance,,,,philosophical-studies,147,147,3,3,379--386,379,,,,,,,,,,,,,,,,,10.1007/s11098-009-9401-y,,english,false,,,fumerton,,,1:properties;2:resemblance
57014,incollection,fumerton:2010c,,,2010,,You Can't Trust a Philosopher,You Can't Trust a Philosopher,,,,,,,,,91--110,91,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:rationality;2:disagreement
57015,incollection,fumerton:2011,,,2011,,Evidentialism and Truth,Evidentialism and Truth,,,,,,,,,179--191,179,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:epistemology;2:justification;3:evidentialism
57016,incollection,fumerton:2011a,,,2011,,Skepticism and Epistemic Externalism,Skepticism and Epistemic Externalism,,,,,,,,,488--499,488,,,,,,,,,,,,,,,,,,,english,false,,,fumerton,,,1:skepticism
