id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
184678,article,yhap:1993,,,1993,,Pascal and the Problem of a Common World,Pascal and the Problem of a Common World,,,,critica-revista-hispanoamericana-de-filosofia,25,74,23--63,23,,,,,,,,,,,,,,,,,,,english,false,,,yhap,,,1:metaphysics;2:idealism
184679,article,yhap:1995,,,1995,,Pascal and Descartes on First Ideas,Pascal and Descartes on First Ideas,,,,american-catholic-philosophical-quarterly,69,1,39--50,39,,,,,,,,,,,,,,,,,,,english,false,,,yhap,,,1:representation;2:ideas
