id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
91023,incollection,kontler:2021,,,2021,,``Humanity'' and Its Limits in Early Modern European Thought,“Humanity” and Its Limits in Early Modern European Thought,,,,,,,52--63,52,,,,,,,,,,,,,,,,,,,english,false,,,kontler,,,1:political_philosophy;2:rights;3:human_dignity
91024,book,kontos_a:1979,,,1979,,"Powers, Possessions and Freedom.~Essays in Honour of C.B.~Macpherson","Powers, Possessions and Freedom. Essays in Honour of C.B. Macpherson","Powers, Possessions and Freedom.~Essays in Honour of C.B.~Macpherson","Powers, Possessions and Freedom. Essays in Honour of C.B. Macpherson",,,,,,,,,Toronto,,,university-of-toronto-press,,,,,,,,,,,,,english,false,,,,kontos_a,,1:political_philosophy
91025,incollection,kontos_a:1979a,,,1979,,"The Dialectics of Domination: An Interpretation of Friedrich D{\""u}rrenmatt's \emph{The Visit}",The Dialectics of Domination: An Interpretation of Friedrich Dürrenmatt's The Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,kontos_a,,,1:political_philosophy
91026,book,kontos_p:1996,,,1996,,D'une ph{\'e}nom{\'e}nologie de la perception chez Heidegger,D'une phénoménologie de la perception chez Heidegger,,,,,,137,,,,phaenomenologica,Dordrecht,,,kluwer-academic-publishers,,,,,,,,,,,,,french,false,,,kontos_p,,,1:perception
91027,incollection,kontos_p:2006,,,2006,,The Categories of the Good as Categories of Moral Action,The Categories of the Good as Categories of Moral Action,,,,,,,62--76,62,,,,,,,,,,,,,,,,,,,english,false,,,kontos_p,,,2:the_good
91028,incollection,kontos_p:2014,,,2014,,Non-Virtuous Intellectual States in Aristotle's Ethics,Non-Virtuous Intellectual States in Aristotle's Ethics,,,,,,,205--243,205,,,,,,,,,,,,,,,,,,,english,false,,,kontos_p,,,1:ethics
91029,incollection,kontos_p:2014a,,,2014,,The Visibility of Goodness,The Visibility of Goodness,,,,,,,227--240,227,,,,,,,,,,,,,,,,,,,english,false,,,kontos_p,,,2:the_good
91030,book,kontos_p:2018,,,2018,,Evil in Aristotle,Evil in Aristotle,Evil in Aristotle,Evil in Aristotle,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781316676813,,english,false,,,,kontos_p,,2:evil
91031,incollection,kontos_p:2018a,,,2018,,Introduction,Introduction,,,,,,,1--14,1,,,,,,,,,,,,,,,,,,,english,false,,,kontos_p,,,2:evil
91032,incollection,kontos_p:2018b,,,2018,,Radical Evil in Aristotle's Ethics and Politics,Radical Evil in Aristotle's Ethics and Politics,,,,,,,75--97,75,,,,,,,,,,,,,,,,,,,english,false,,,kontos_p,,,2:evil
91033,incollection,kontsevich-zagier:2001,,,2001,,Periods,Periods,,,,,,,771--808,771,,,,,,,,,,,,,,,,,,,english,false,,,kontsevich;zagier_d,,,1:mathematics
91034,incollection,konur:2008,,,2008,,An Interval Logic for Natural Language Semantics,An Interval Logic for Natural Language Semantics,,,,,,,177--191,177,,,,,,,,,,,,,,,,,,,english,false,,,konur,,,1:language
91035,article,konvitz:1930,,,1930,,Bradley's Ideal Morality and Fite's Moral Ideal,Bradley's Ideal Morality and Fite's Moral Ideal,,,,international-journal-of-ethics,41,1,1--13,1,,,,,,,,,,,,,,,,,,,english,false,,,konvitz,,,1:ethics
91036,article,konvitz:1936,,,1936,,Coherence Theory of Goodness,Coherence Theory of Goodness,,,,international-journal-of-ethics,47,1,87--104,87,,,,,,,,,,,,,,,,,,,english,false,,,konvitz,,,2:nature_of_value;3:metaphysics_of_value
91037,article,konvitz:1937,,,1937,,An Examination of Professor S.~Alexander's Theory of Truth,An Examination of Professor S. Alexander's Theory of Truth,,,,the-journal-of-philosophy,34,7,169--178,169,,,,,,,,,,,,,,,,,,,english,false,,,konvitz,,,1:truth
91038,incollection,konvitz:1988,,,1988,,The Nature of Bronson Alcott,The Nature of Bronson Alcott,,,,,,,267--274,267,,,,,,,,,,,,,,,,,,,english,false,,,konvitz,,,1:science
91039,incollection,konyndykdeyoung:2014,,,2014,,"Sloth: Some Historical Reflections on Laziness, Effort, and Resistance to the Demands of Love","Sloth: Some Historical Reflections on Laziness, Effort, and Resistance to the Demands of Love",,,,,,,177--198,177,,,,,,,,,,,,,,,,,,,english,false,,,konyndykdeyoung,,,1:ethics
91040,article,konyndykdeyoung:2014a,,,2014,,Practicing Hope,Practicing Hope,,,,res-philosophica,91,3,387--410,387,,,,,,,,,,,,,,,,,,,english,false,,,konyndykdeyoung,,,1:feeling;2:hope
91041,article,konyndykdeyoung:2015,,,2015,,The Roots of Despair,The Roots of Despair,,,,res-philosophica,92,4,829--854,829,,,,,,,,,,,,,,,,,,,english,false,,,konyndykdeyoung,,,1:feeling;2:despair
91042,book,konzelmann_sj:2019,,,2019,,Austerity,Austerity,,,,,,,,,,what_is_political_economy,"Hoboken, New Jersey",,,wiley-blackwell,,,,,,,,,,,,,english,false,,,konzelmann_sj,,,
