id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
166465,incollection,teh_nj:2021,,,2021,,Gauge Theories,Gauge Theories,,,,,,,,,595--604,595,,,,,,,,,,,,,,,,,,,english,false,,,teh_nj,,,1:structuralism;2:symmetry;3:gauge_theories
166466,article,teheesen:2000,,,2000,,Boxes in Nature,Boxes in Nature,,,,studies-in-history-and-philosophy-of-science,31,31,3,3,381--403,381,,,,,,,,,,,,,,,,,,,english,false,,,teheesen,,,1:modality
166467,incollection,teich_e-etal:1996,,,1996,,Multilingual Textuality: Some Experiences from Multilingual Text Generation,Multilingual Textuality: Some Experiences from Multilingual Text Generation,,,,,,,,,31--349,31,,,,,,,,,,,,,,,,,,,english,false,,,teich_e;degand;bateman_ja,,,1:linguistics;2:linguistics_as_a_science;3:mathematical_linguistics
166468,book,teich_e:1999,,,1999,,Systemic Functional Grammar in Natural Language Generation: Linguistic Description and Computational Representation,Systemic Functional Grammar in Natural Language Generation: Linguistic Description and Computational Representation,Systemic Functional Grammar in Natural Language Generation: Linguistic Description and Computational Representation,Systemic Functional Grammar in Natural Language Generation: Linguistic Description and Computational Representation,,,,,,,,,,,London,,,cassell,,,,,,,,,,,,,english,false,,,teich_e,,,1:linguistics;2:natural_language_processing
166469,book,teich_m-young:1973,,,1973,,Changing Perspectives in the History of Science: Essays in Honour of Joseph Needham,Changing Perspectives in the History of Science: Essays in Honour of Joseph Needham,Changing Perspectives in the History of Science: Essays in Honour of Joseph Needham,Changing Perspectives in the History of Science: Essays in Honour of Joseph Needham,,,,,,,,,,,Dordrecht,,,d-reidel-publishing-co,,,,,,,,,,,,,english,false,,,,teich_m;young_rom,,1:science
166470,incollection,teich_wg-mahler:1990,,,1990,,Information Processing at the Molecular Level: Possible Realizations and Physical Constraints,Information Processing at the Molecular Level: Possible Realizations and Physical Constraints,,,,,,,,,289--300,289,,,,,,,,,,,,,,,,,,,english,false,,,teich_wg;mahler_g,,,1:information
166471,book,teichert:1992,,,1992,,"Kants `Kritik der Urteilskraft': ein einf{\""u}hrender Kommentar",Kants ‘Kritik der Urteilskraft': ein einführender Kommentar,,,,,,,,,,,,,Paderborn,,,ferdinand-schoningh,,,,,,,,,,,,,german,false,,,teichert,,,1:aesthetics
166472,incollection,teichert:1997,,,1997,,"Sind Erinnerungstheorien personaler Identit{\""a}t zirkul{\""a}r?",Sind Erinnerungstheorien personaler Identität zirkulär?,,,,,,,,,156--163,156,,,,,,,,,,,,,,,,,,,german,false,,,teichert,,,1:persons;2:personal_identity
166473,book,teichert:1999,,,1999,,"Personen und Identit{\""a}ten",Personen und Identitäten,,,,,,,48,48,,,,quellen_und_studien_zur_philosophie,Berlin,,,de-gruyter,,,,,,,,,,,,,german,false,,,teichert,,,1:persons;2:personal_identity
166474,article,teichert:2016,,,2016,,Die Frage ``Was ist der Mensch?'',Die Frage “Was ist der Mensch?”,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2016-02-20-teichert,german,false,,cc-by-3,teichert,,,
