id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184900,book,youngeisendrat-dawson:2008,,,2008,,The Cambridge Companion to Jung,The Cambridge Companion to Jung,The Cambridge Companion to Jung,The Cambridge Companion to Jung,,,,,,,cambridge_companions_to_philosophy,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,,youngeisendrat;dawson_t,,1:psychology;2:psychoanalysis
184901,incollection,youngeisendrat:2008,,,2008,,Jung and Buddhism: Refining the Dialogue,Jung and Buddhism: Refining the Dialogue,,,,,,,235--252,,,,,,,,,,,,,,,,,,,,false,,youngeisendrat,,,1:religion;2:buddhism
184902,book,youngner_sj-arnold:2016,,,2016,,The Oxford Handbook of Ethics at the End of Life,The Oxford Handbook of Ethics at the End of Life,The Oxford Handbook of Ethics at the End of Life,The Oxford Handbook of Ethics at the End of Life,,,,,,,oxford_handbooks,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oxfordhb/9780199974412.001.0001,,,false,,,youngner_sj;arnold_rm,,1:medicine;2:medical_ethics;3:euthanasia
184903,incollection,youngner_sj:2007,,,2007,,The Definition of Death,The Definition of Death,,,,,,,285--303,,,,,,,,,,,,,,,,,,,,false,,youngner_sj,,,1:time;2:death
184904,incollection,youpa:2005,,,2005,,Rationalist Moral Philosophy,Rationalist Moral Philosophy,,,,,,,302--321,,,,,,,,,,,,,,,,,,,,false,,youpa,,,1:ethics
184905,article,yourgrau_p:1983,,,1983,,Knowledge and Relevant Alternatives,Knowledge and Relevant Alternatives,,,,synthese,55,,175--190,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:epistemology;2:epistemic_contextualism
184906,article,yourgrau_p:1985,,,1985,,"Sets, Aggregates, and Numbers","Sets, Aggregates, and Numbers",,,,canadian-journal-of-philosophy,15,,581--592,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:mathematics;2:set_theory
184907,article,yourgrau_p:1985a,,,1985,,On the Logic of Indeterminist Time,On the Logic of Indeterminist Time,,,,the-journal-of-philosophy,82,10,548--559,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:time;2:the_future;3:branching_time
184908,article,yourgrau_p:1985b,,,1985,,Russell and Kaplan on Denoting,Russell and Kaplan on Denoting,,,,philosophy-and-phenomenological-research,46,2,315--321,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:reference
184909,article,yourgrau_p:1987a,,,1987,,Information Retrieval and Cognitive Accessibility,Information Retrieval and Cognitive Accessibility,,,,synthese,70,,229--246,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:information
184910,book,yourgrau_p:1990,,,1990,,Demonstratives,Demonstratives,Demonstratives,Demonstratives,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,,yourgrau_p,,1:reference;2:demonstratives
184911,book,yourgrau_p:1999,,,1999,,"G{\""o}del Meets Einstein: Time Travel in the G{\""o}del Universe",Gödel Meets Einstein: Time Travel in the Gödel Universe,,,,,,,,,,"LaSalle, Illinois",,,open-court-publishing-co,,,,,,,,,,,,,,false,,yourgrau_p,,,1:time;2:direction_of_time
184912,incollection,yourgrau_p:2000,,,2000,,Can the Dead Really be Buried?,Can the Dead Really be Buried?,,,,,,,46--68,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:time;2:death
184913,book,yourgrau_p:2005,,,2005,,"Einstein-G{\""o}del : quand deux g{\'e}nies refont le monde",Einstein-Gödel : quand deux génies refont le monde,,,,,,,,,,Paris,,,dunod-ou-inter-editions,,,,,,,,,,,,,french,false,,yourgrau_p,,,1:physics
184914,incollection,yourgrau_p:2013,,,2013,,Kripke's Moses,Kripke's Moses,,,,,,,134--148,,,,,,,,,,,,,,,,,,,,false,,yourgrau_p,,,1:time;2:death
184915,book,yourgrau_p:2019,,,2019,,Death and Nonexistence,Death and Nonexistence,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780190247478.001.0001,,,false,,yourgrau_p,,,1:time;2:death
184916,book,yourgrau_w-breck:1970,,,1970,,"Physics, Logic, and History.~Based on the First International Colloquium held at the University of Denver, May 16-20, 1966","Physics, Logic, and History. Based on the First International Colloquium held at the University of Denver, May 16-20, 1966","Physics, Logic, and History.~Based on the First International Colloquium held at the University of Denver, May 16-20, 1966","Physics, Logic, and History. Based on the First International Colloquium held at the University of Denver, May 16-20, 1966",,,,,,,,New York,,,plenum-press,,,,,,,,,,,,,,false,,,yourgrau_w;breck_ad,,1:physics
