id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
33327,article,collingridge:1978,,,1978,,"Berkeley on Space, Sight and Touch","Berkeley on Space, Sight and Touch",,,,philosophy,53,,102--105,,,,,,,,,,,,,,,,,,,,false,,collingridge,,,1:perception;2:sensation
33328,article,collingwood:1923,,,1923,,Sensation and Thought,Sensation and Thought,,,,proceedings-of-the-aristotelian-society,24,,55--76,,,,,,,,,,,,,,,,,,,,false,,collingwood,,,1:perception;2:sensation
33329,article,collingwood:1926,,,1926,,Some Perplexities about Time: With an Attempted Solution,Some Perplexities about Time: With an Attempted Solution,,,,proceedings-of-the-aristotelian-society,26,,135--150,,,,,,,,,,,,,,,,,,,,false,,collingwood,,,1:time
33330,article,collingwood:1926a,,,1926,,Economics as a Philosophical Science,Economics as a Philosophical Science,,,,international-journal-of-ethics,36,2,162--185,,,,,,,,,,,,,,,,,,,,false,,collingwood,,,1:economics
33331,book,collingwood:1933,,,1933,,An Essay on Philosophical Method,An Essay on Philosophical Method,,,,,,,,,,Oxford,,,oxford-university-press,,,New editon: \citet{collingwood:2005},New editon: Collingwood (2005),,,,,,,,,,false,,collingwood,,,1:method;2:method_in_of_philosophy
33332,article,collingwood:1938,,,1938,,On the so-called Idea of Causation,On the so-called Idea of Causation,,,,proceedings-of-the-aristotelian-society,38,,85--112,,,,,,,,,,,,,,,,,,,,false,,collingwood,,,1:causation
33333,book,collingwood:1940,,,1940,,An Essay on Metaphysics,An Essay on Metaphysics,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,collingwood,,,1:metaphysics
33334,article,collingwood:1940a,,,1940,,Fascism and Nazism,Fascism and Nazism,,,,philosophy,15,58,168--176,,,,,,,,,,,,,,,,,,,,false,,collingwood,,,1:political_philosophy
33335,book,collingwood:2005,,,2005,,An Essay on Philosophical Method,An Essay on Philosophical Method,,,,,,,,,,Oxford,,,oxford-university-press,,,"Edition of the revised version of \citet{collingwood:1933}, with an introduction by James Connelly and Giuseppina d'Oro","Edition of the revised version of Collingwood (1933), with an introduction by James Connelly and Giuseppina d'Oro",,,,,,,,,,false,,collingwood,,,1:method;2:method_in_of_philosophy
33336,incollection,collini:2001,,,2001,,"My Roles and their Duties: Sidgwick as Philosopher, Professor, and Public Moralist","My Roles and their Duties: Sidgwick as Philosopher, Professor, and Public Moralist",,,,,,,9--49,,,,,,,,,,,,,,,,,,,,false,,collini,,,1:ethics
33337,book,collins_a:1976,,,1976,,A Philosophical Inquiry Concerning Human Liberty,A Philosophical Inquiry Concerning Human Liberty,,,,,,"Series Minor, 18",,,archives_internationales_d_histoire_des_id_e_es_international_archives_of_the_history_of_ideas,Den Haag,,,martinus-nijhoff-publishers,,,"Edited and annotated by J.~O'Higgins, S.J.","Edited and annotated by J. O'Higgins, S.J.",,,,,,,,,,false,,collins_a,,,1:determinism;2:free_will
33338,article,collins_ab:1971,,,1971,,Love and Natural Desire in Ficino's Platonic Theology,Love and Natural Desire in Ficino's Platonic Theology,,,,journal-of-the-history-of-philosophy,9,4,435--442,,,,,,,,,,,,,,,,,,,,false,,collins_ab,,,1:feeling;2:friendship;3:love
33339,article,collins_ab:1990,,,1990,,Contradiction and Relations: Hegel and the Tradition,Contradiction and Relations: Hegel and the Tradition,,,,american-catholic-philosophical-quarterly,64,4,509--541,,,,,,,,,,,,,,,,,,,,false,,collins_ab,,,1:structuralism;2:relations
33340,article,collins_ab:1999,,,1999,,Comment on \citet{pinkard:1999},Comment on Pinkard (1999),,,,european-journal-of-philosophy,7,2,239--246,,,,,,,,,,,,,,,,,,,,false,,collins_ab,,,1:ethics
33341,incollection,collins_ab:2013,,,2013,,The Introductions to the System,The Introductions to the System,,,,,,,55--70,,,,,,,,,,,,,,,,,,,,false,,collins_ab,,,1:history_of_philosophy
33342,book,collins_af-etal:1993,,,1993,,Theories of Memory,Theories of Memory,Theories of Memory,Theories of Memory,,,,,,,,"Mahwah, New Jersey",,,lawrence-erlbaum-associates-inc,,,,,,,,,,,,,,false,,,collins_af;gathercole_se;conway_ma;morris_pe,,2:memory
33343,article,collins_as:2016,,,2016,,Being Exposed to Love: The Death of God in Jean-Luc Marion and Jean-Luc Nancy,Being Exposed to Love: The Death of God in Jean-Luc Marion and Jean-Luc Nancy,,,,international-journal-for-philosophy-of-religion,80,3,297--319,,,,,,,,,,,,,,,,,,,,false,,collins_as,,,1:religion;2:atheism
33344,article,collins_aw:1979,,,1979,,Could Our Beliefs Be Representations in Our Brains?,Could Our Beliefs Be Representations in Our Brains?,,,,the-journal-of-philosophy,76,,225--242,,,,,,,,,,,,,,,,,,,,false,,collins_aw,,,
