id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
124643,book,omeara_dj:2017,,,2017,,Cosmology and Politics in Plato's Later Works,Cosmology and Politics in Plato's Later Works,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781316869581,,english,false,,,omeara_dj,,,1:space_spacetime;2:cosmology
124644,incollection,omeara_dj:2017a,,,2017,,Conceptions of Science in Byzantium,Conceptions of Science in Byzantium,,,,,,,169--182,169,,,,,,,,,,,,,,,,,,,english,false,,,omeara_dj,,,1:science
124645,incollection,omeara_dj:2017b,,,2017,,Mathematics and the Sciences,Mathematics and the Sciences,,,,,,,167--182,167,,,,,,,,,,,,,,,,,,,english,false,,,omeara_dj,,,1:mathematics
124646,incollection,omeara_dj:2017c,,,2017,,Ethics in Plotinus and His Successors,Ethics in Plotinus and His Successors,,,,,,,240--262,240,,,,,,,,,,,,,,,,,,,english,false,,,omeara_dj,,,1:ethics
124647,incollection,omeara_j:1992,,,1992,,Contrasting Approaches to Neoplatonic Immaterialism: Augustine and Eriugena,Contrasting Approaches to Neoplatonic Immaterialism: Augustine and Eriugena,,,,,,,175--180,175,,,,,,,,,,,,,,,,,,,english,false,,,omeara_j,,,1:metaphysics;2:idealism
124648,incollection,omeara_rm:2013,,,2013,,\emph{Jus post bellum}: War Closure in the 21st Century,Jus post bellum: War Closure in the 21st Century,,,,,,,105--119,105,,,,,,,,,,,,,,,,,,,english,false,,,omeara_rm,,,1:political_philosophy;2:war;3:just_war
124649,article,omeljanowski_me:1960,,,1960,,"Das Realit{\""a}tsproblem in der Quantenphysik",Das Realitätsproblem in der Quantenphysik,,,,deutsche-zeitschrift-fur-philosophie,8,3,280--290,280,,,,,,,,,,,,,,,,,,,ngerman,false,,,omeljanowski_me,,,1:quantum_mechanics
124650,article,omeljanowski_me:1965,,,1965,,Die Idee des dialektischen Widerspruchs in der Quantenphysik,Die Idee des dialektischen Widerspruchs in der Quantenphysik,,,,deutsche-zeitschrift-fur-philosophie,13,1,47--63,47,,,,,,,,,,,,,,,,,,,ngerman,false,,,omeljanowski_me,,,1:quantum_mechanics
124651,incollection,omelyanchik:1991,,,1991,,Soviet Philosophy,Soviet Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,omelyanchik,,,1:history_of_philosophy
124652,incollection,omelyanovsky:1977,,,1977,,Axiomatics and the Search for the Foundations of Physics,Axiomatics and the Search for the Foundations of Physics,,,,,,,47--65,47,,,,,,,,,,,,,,,,,,,english,false,,,omelyanovsky,,,1:physics
124653,article,omer:1983,,,1983,,Better Deductive Explanation?,Better Deductive Explanation?,,,,zeitschrift-fur-allgemeine-wissenschaftstheorie-journal-for-general-philosophy-of-science,14,2,350--353,350,,,,,,,,,,,,,,,,,,,english,false,,,omer,,,1:explanation
124654,incollection,omnes_r:1990,,,1990,,Some Progress in Measurement Theory: The Logical Interpretation of Quantum Mechanics,Some Progress in Measurement Theory: The Logical Interpretation of Quantum Mechanics,,,,,,,495--512,495,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:quantum_mechanics;2:qm_measurement
124655,incollection,omnes_r:1994,,,1994,,Time and Quantum Mechanics,Time and Quantum Mechanics,,,,,,,268--273,268,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:time;2:direction_of_time
124656,incollection,omnes_r:1995,,,1995,,New Interpretations of Quantum Mechanics and the Theory of Knowledge,New Interpretations of Quantum Mechanics and the Theory of Knowledge,,,,,,,1--12,1,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:quantum_mechanics
124657,incollection,omnes_r:1999,,,1999,,Recent Advances in the Consistency of Interpretation,Recent Advances in the Consistency of Interpretation,,,,,,,103--112,103,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:quantum_mechanics
124658,incollection,omnes_r:2014,,,2014,,The Direction of Time in Quantum Mechanics,The Direction of Time in Quantum Mechanics,,,,,,,49--56,49,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:time;2:direction_of_time
124659,incollection,omnes_r:2017,,,2017,,Is Uniqueness of Reality Predicted by the Quantum Laws?,Is Uniqueness of Reality Predicted by the Quantum Laws?,,,,,,,315--330,315,,,,,,,,,,,,,,,,,,,english,false,,,omnes_r,,,1:science;2:scientific_realism
124660,book,omodeo_pd-garau:2019,,,2019,,Contingency and Natural Order in Early Modern Science,Contingency and Natural Order in Early Modern Science,Contingency and Natural Order in Early Modern Science,Contingency and Natural Order in Early Modern Science,,,,332,,,,boston_studies_in_the_philosophy_and_history_of_science,Dordrecht,,,springer,,,,,,,,,,,,,english,false,,,,omodeo_pd;garau,,1:modality;2:contingency
124661,book,omodeo_pd:2022,,,2022,,Defending Descartes in Brandenburg-Prussia: The University of Frankfurt an der Oder in the Seventeenth Century,Defending Descartes in Brandenburg-Prussia: The University of Frankfurt an der Oder in the Seventeenth Century,,,,,,,,,,archimedes,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-01964-7,,english,false,,,omodeo_pd,,,
124662,incollection,omolade_b:2004,,,2004,,Faith Confronts Evil,Faith Confronts Evil,,,,,,,277--314,277,,,,,,,,,,,,,,,,,,,english,false,,,omolade_b,,,1:religion;2:problem_of_evil
124663,incollection,omori_a:2012,,,2012,,Conventional Metaphors for Anonymous Emotion Concepts,Conventional Metaphors for Anonymous Emotion Concepts,,,,,,,183--204,183,,,,,,,,,,,,,,,,,,,english,false,,,omori_a,,,1:feeling;2:emotions;3:emotion_and_language
124664,incollection,omori_h-sano:2014,,,2014,,da Costa Meets Belnap and Nelson,da Costa Meets Belnap and Nelson,,,,,,,145--166,145,,,,,,,,,,,,,,,,,,,english,false,,,omori_h;sano_k,,,1:logic;2:paraconsistent_logic
124665,article,omori_h-weber:2019,,,2019,,Just True? On the Metatheory for Paraconsistent Truth,Just True? On the Metatheory for Paraconsistent Truth,,,,logique-et-analyse,62,248,415--433,415,,,,,,,,,,,,,,,,,,,english,false,,,omori_h;weber_z,,,1:truth;2:semantic_paradoxes;3:self_reference
124666,incollection,omrani:2006,,,2006,,``Objective Science'' in Husserlian Life-World Phenomenology,“Objective Science” in Husserlian Life-World Phenomenology,,,,,,,39--44,39,,,,,,,,,,,,,,,,,,,english,false,,,omrani,,,1:science
124667,incollection,omrani:2007,,,2007,,Literature and the Sense of the Past,Literature and the Sense of the Past,,,,,,,15--22,15,,,,,,,,,,,,,,,,,,,english,false,,,omrani,,,1:aesthetics;2:literature
124668,book,oms_s-zardini:2019,,,2019,,The Sorites Paradox,The Sorites Paradox,The Sorites Paradox,The Sorites Paradox,,,,,,,,classic_philosophical_arguments,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781316683064,,english,false,,,,oms_s;zardini,,
124669,incollection,omurchadha:2005,,,2005,,"Glory, Idolatry, Kairos: Revelation and the Ontological Difference in Marion","Glory, Idolatry, Kairos: Revelation and the Ontological Difference in Marion",,,,,,,69--86,69,,,,,,,,,,,,,,,,,,,english,false,,,omurchadha,,,1:ontology;2:being
124670,incollection,omurchadha:2012,,,2012,,Philosophy of Religion and Theology,Philosophy of Religion and Theology,,,,,,,473--482,473,,,,,,,,,,,,,,,,,,,english,false,,,omurchadha,,,1:metaphysics;2:phenomenology
124671,incollection,omurchadha:2016,,,2016,,Religion,Religion,,,,,,,77--85,77,,,,,,,,,,,,,,,,,,,english,false,,,omurchadha,,,1:religion
124672,book,omyla:1994,,,1994,,Nauka i jezyk,Nauka i jezyk,Nauka i jezyk,Nauka i jezyk,,,,,,,,,Warszawa,,,panstwow-wydawnictwo-naukowe-pwn,,,,,,,,,,,,,polish,false,,,,omyla,,1:logic
124673,incollection,omyla:1994a,,,1994,,Non-Fregean Semantics for Sentences,Non-Fregean Semantics for Sentences,,,,,,,153--166,153,,,,,,,,,,,,,,,,,,,english,false,,,omyla,,,1:representation;2:objects_of_propositional_attitudes;3:propositions
124674,book,omyla:1998,,,1998,,Sklonnosci Metafizyczna [Festschrift for Bogus-law Wolniewicz],Sklonnosci Metafizyczna [Festschrift for Bogus-law Wolniewicz],Sklonnosci Metafizyczna [Festschrift for Bogus-law Wolniewicz],Sklonnosci Metafizyczna [Festschrift for Bogus-law Wolniewicz],,,,,,,,,Warszawa,,,uniwersytet-warszawski,,,,,,,,,,,,,polish,false,,,,omyla,,1:varia
