id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
62032,incollection,glucker_j:1997,,,1997,,Socrates in the Academic Books and Other Ciceronian Works,Socrates in the Academic Books and Other Ciceronian Works,,,,,,,58--88,58,,,,,,,,,,,,,,,,,,,english,false,,,glucker_j,,,1:history_of_philosophy
62033,incollection,glucklich:1989,,,1989,,Karma and Rebirth in India: A Pessimistic Approach,Karma and Rebirth in India: A Pessimistic Approach,,,,,,,81--87,81,,,,,,,,,,,,,,,,,,,english,false,,,glucklich,,,1:religion;2:immortality
62034,incollection,glucklich:2017,,,2017,,Sacred Pain: The Use of Self-Inflicted Pain in Religion,Sacred Pain: The Use of Self-Inflicted Pain in Religion,,,,,,,279--287,279,,,,,,,,,,,,,,,,,,,english,false,,,glucklich,,,1:feeling;2:pain
62035,incollection,glucksberg-keysar:1993,,,1993,,How Metaphors Work,How Metaphors Work,,,,,,,401--424,401,,,,,,,,,,,,,,,,,,,english,false,,,glucksberg;keysar_b,,,1:pragmatics;2:metaphor
62036,book,glucksmann:2004,,,2004,,Le discours de la haine,Le discours de la haine,,,,,,,,,,,Paris,,,plon,,,,,,,,,,,,,french,false,,,glucksmann,,,1:feeling;2:hate
62037,article,glueer-pagin:2006,,,2006,,Proper Names and Relational Modality,Proper Names and Relational Modality,,,,linguistics-and-philosophy,29,5,507--535,507,,,,,,,,,,,,,,,,,,,english,false,,,glueer;pagin,,,1:reference;2:names
62038,incollection,glueer-pagin:2007,,,2007,,"Analyticity, Modality, and General Terms","Analyticity, Modality, and General Terms",,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,glueer;pagin,,,1:representation;2:analyticity
62039,article,glueer-pagin:2012,,,2012,,Reply to Forbes,Reply to Forbes,,,,analysis,72,2,298--303,298,,,,,,,,,,,,,,,,,,,english,false,,,glueer;pagin,,,
62040,article,glueer-pagin:2012a,,,2012,,General Terms and Relational Modality,General Terms and Relational Modality,,,,nous,46,1,159--199,159,,,,,,,,,,,,,,,,,,,english,false,,,glueer;pagin,,,1:modality;2:types_of_necessity;3:relative_modality
62041,incollection,glueer-pagin:2014,,,2014,,"Vulcan Might Have Existed, and Neptune Not: On the Semantics of Empty Names","Vulcan Might Have Existed, and Neptune Not: On the Semantics of Empty Names",,,,,,,117--141,117,,,,,,,,,,,,,,,,,,,english,false,,,glueer;pagin,,,1:reference;2:empty_names
62042,article,glueer-wikforss:2009,,,2009,,Against Content Normativity,Against Content Normativity,,,,mind,118,469,31--70,31,,,,,,,,,,,,,,,,,,,english,false,,,glueer;wikforss,,,1:language;2:semantic_normativity;3:normativity_of_content
62043,article,glueer-wikforss:2010,,,2010,,The Truth Norm and Guidance: a Reply to \citet{steglichpetersen:2010},The Truth Norm and Guidance: a Reply to Steglich-Petersen (2010),,,,mind,119,475,757--761,757,,,,,,,,,,,,,,,,,,,english,false,,,glueer;wikforss,,,2:epistemic_norms;3:norms_of_belief
62044,incollection,glueer-wikforss:2014,,,2014,,Against Belief Normativity,Against Belief Normativity,,,,,,,80--99,80,,,,,,,,,,,,,,,,,,,english,false,,,glueer;wikforss,,,2:epistemic_norms
62045,incollection,glueer-wikforss:2018,,,2018,,Reasons for Belief and Normativity,Reasons for Belief and Normativity,,,,,,,575--599,575,,,,,,,,,,,,,,,,,,,english,false,,,glueer;wikforss,,,
62046,incollection,glueer:1997,,,1997,,"Teufel und Beelzebub -- {\""U}berlegungen zur analytisch-synthetisch Unterscheidung im Kontext der Fodorschen Polemik gegen einen bedeutungstheoretischen Holismus",Teufel und Beelzebub – Überlegungen zur analytisch-synthetisch Unterscheidung im Kontext der Fodorschen Polemik gegen einen bedeutungstheoretischen Holismus,,,,,,,94--103,94,,,,,,,,,,,,,,,,,,,ngerman,false,,,glueer,,,1:representation;2:analyticity
62047,article,glueer:2000,,,2000,,Bedeutung zwischen Norm und Naturgesetz,Bedeutung zwischen Norm und Naturgesetz,,,,deutsche-zeitschrift-fur-philosophie,48,3,449--468,449,,,,,,,,,,,,,,,,,,,ngerman,false,,,glueer,,,1:representation
62048,incollection,glueer:2001,,,2001,,"Dreams and Nightmares: Conventions, Norms and Meaning in Davidson's Philosophy","Dreams and Nightmares: Conventions, Norms and Meaning in Davidson's Philosophy",,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:representation;2:meaning
62049,article,glueer:2003,,,2003,,Analyticity and Implicit Definition,Analyticity and Implicit Definition,,,,grazer-philosophische-studien,66,,37--60,37,,,,,,,,,,,Fifty Years of Quine's Two Dogmas,Fifty Years of Quine's Two Dogmas,,,,,,,english,false,,,glueer,,glock_hj;glueer;keil_g,1:representation;2:analyticity
62050,article,glueer:2004,,,2004,,On Perceiving That,On Perceiving That,,,,theoria,70,2/3,197--212,197,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:perception;2:perceptual_content;3:conceptual_content
62051,incollection,glueer:2006a,,,2006,,Triangulation,Triangulation,,,,,,,1006--1019,1006,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:representation;2:meaning_theories;3:interpretationism
62052,article,glueer:2012,,,2012,,Martin on the Semantics of ``Looks'',Martin on the Semantics of “Looks”,,,,thought,1,4,292--300,292,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:perception;2:appearances
62053,incollection,glueer:2012a,,,2012,,Theories of Meaning and Truth Conditions,Theories of Meaning and Truth Conditions,,,,,,,84--105,84,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:language
62054,incollection,glueer:2014,,,2014,,"Looks, Reasons, and Experiences","Looks, Reasons, and Experiences",,,,,,,76--103,76,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:perception;2:perceptual_content
62055,incollection,glueer:2016,,,2016,,Constancy in Variation: An Argument for Centering the Contents of Experience?,Constancy in Variation: An Argument for Centering the Contents of Experience?,,,,,,,56--85,56,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:representation;2:de_se;3:egocentric_beliefs
62056,article,glueer:2016a,,,2016,,"Intentionalism, Defeasibility, and Justification","Intentionalism, Defeasibility, and Justification",,,,philosophical-studies,173,4,1007--1030,1007,,,,,,,,,,,,,,,,,10.1007/s11098-015-0538-6,,english,false,,,glueer,,,1:perception;2:perceptual_judgement;3:perceptual_justification
62057,incollection,glueer:2020,,,2020,,Illusory Looks,Illusory Looks,,,,,,,48--74,48,,,,,,,,,,,,,,,,,,,english,false,,,glueer,,,1:perception;2:appearances
62058,incollection,glycofrydileontsini:2015,,,2015,,Accounts of Justice in the Scottish Enlightenment,Accounts of Justice in the Scottish Enlightenment,,,,,,,177--190,177,,,,,,,,,,,,,,,,,,,english,false,,,glycofrydileontsini,,,1:political_philosophy;2:justice
62059,article,glymour_b-etal:2001,,,2001,,Quantum Java: The Upwards Percolation of Quantum Indeterminacy,Quantum Java: The Upwards Percolation of Quantum Indeterminacy,,,,philosophical-studies,103,3,271--283,271,,,,,,,,,,,,,,,,,10.1023/a:1010354805605,,english,false,,,glymour_b;sabates;wayne_a,,,1:quantum_mechanics
62060,incollection,glymour_b:2007,,,2007,,In Defense of Explanatory Deductivism,In Defense of Explanatory Deductivism,,,,,,,133--154,133,,,,,,,,,,,,,,,,,,,english,false,,,glymour_b,,,1:explanation
