id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145023,incollection,ryan_m-sadler:1992,,,1992,,Valuation Systems and Consequence Relations,Valuation Systems and Consequence Relations,,,,,,,1--78,,,,,,,,,,,,,,,,,,,,false,,ryan_m;sadler_m,,,1:logic;2:entailment;3:logical_consequence
145024,article,ryan_m-schobbens:1997,,,1997,,Counterfactuals and Updates as Inverse Modalities,Counterfactuals and Updates as Inverse Modalities,,,,journal-of-logic-language-and-information,6,2,123--146,,,,,,,,,,,,,,,,,,,,false,,ryan_m;schobbens_py,,,1:rationality;2:belief_revision
145025,incollection,ryan_m:1992,,,1992,,Representing Defaults as Sentences with Reduced Priority,Representing Defaults as Sentences with Reduced Priority,,,,,,,649--660,,,,,,,,,,,,,,,,,,,,false,,ryan_m,,,1:logic;2:nonmonotonic_logic
145026,incollection,ryan_m:1996,,,1996,,Belief Revision and Ordered Theory Presentations,Belief Revision and Ordered Theory Presentations,,,,,,,129--151,,,,,,,,,,,,,,,,,,,,false,,ryan_m,,,1:rationality;2:belief_revision
145027,book,ryan_ma:2016,,,2016,,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,,,,64,,,brill_s_companions_to_the_christian_tradition,Leiden,,,ej-brill,,,,,,,,,,,,,,false,,,ryan_ma,,1:religion
145028,incollection,ryan_r-lynch:2003,,,2003,,Motivation and Classroom Management,Motivation and Classroom Management,,,,,,,260--271,,,,,,,,,,,,,,,,,,,,false,,ryan_r;lynch_ma,,,1:pedagogy
145029,incollection,ryan_s:1996,,,1996,,Wisdom,Wisdom,,,,,,,233--242,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,2:epistemic_value;3:wisdom
145030,article,ryan_s:2003,,,2003,,Doxastic Compatibilism and the Ethics of Belief,Doxastic Compatibilism and the Ethics of Belief,,,,philosophical-studies,114,1/2,47--79,,,,,,,,,,,,,,,,,10.1023/a:1024409201289,,,false,,ryan_s,,,2:epistemic_norms;3:norms_of_belief
145031,article,ryan_s:2012,,,2012,,"Wisdom, Knowledge and Rationality","Wisdom, Knowledge and Rationality",,,,acta-analytica,27,2,99--112,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,1:epistemology
145032,incollection,ryan_s:2012a,,,2012,,The Deep Rationality Theory of Wisdom,The Deep Rationality Theory of Wisdom,,,,,,,288--299,,,,,,,,,Reprinted in \citet[329--342]{cullison:2014},Reprinted in Cullison (2014),,,,,,,,,,false,,ryan_s,,,2:epistemic_value;3:wisdom
145033,article,ryan_s:2017,,,2017,,A Deeper Defense of the Deep Rationality Theory of Wisdom: A Reply to Fileva and Tresan,A Deeper Defense of the Deep Rationality Theory of Wisdom: A Reply to Fileva and Tresan,,,,acta-analytica,32,1,115--123,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,2:epistemic_value;3:wisdom
145034,incollection,ryan_s:2019,,,2019,,"Epistemic Humility, Defeat, and a Defense of Moderate Skepticism","Epistemic Humility, Defeat, and a Defense of Moderate Skepticism",,,,,,,129--144,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,1:skepticism
145035,article,ryan_sh:2015,,,2015,,Standard Gettier Cases: A Problem for Greco?,Standard Gettier Cases: A Problem for Greco?,,,,grazer-philosophische-studien,90,,201--212,,,,,,,,,,,The Second-Person Standpoint in Law and Morality,The Second-Person Standpoint in Law and Morality,,,,,,,,false,,ryan_sh,,hanisch_c;pauerstuder,1:knowledge;2:gettier_cases
145036,article,ryan_sh:2016,,,2016,,Wisdom: Understanding and the Good Life,Wisdom: Understanding and the Good Life,,,,acta-analytica,31,3,235--251,,,,,,,,,,,,,,,,,,,,false,,ryan_sh,,,2:epistemic_value;3:wisdom
145037,article,ryan_sh:2018,,,2018,,Libertarian Paternalism is Hard Paternalism,Libertarian Paternalism is Hard Paternalism,,,,analysis,78,1,65--73,,,,,,,,,,,,,,,,,,,,false,,ryan_sh,,,1:political_philosophy;2:libertarianism
145038,incollection,ryan_t:2002,,,2002,,Pierre Bayle,Pierre Bayle,,,,,,,247--259,,,,,,,,,,,,,,,,,,,,false,,ryan_t,,,1:history_of_philosophy
145039,article,ryan_t:2003,,,2003,,Hume's Argument for the Temporal Priority of Causes,Hume's Argument for the Temporal Priority of Causes,,,,hume-studies,29,1,29--41,,,,,,,,,,,,,,,,,,,,false,,ryan_t,,,1:causation;2:direction_of_causation
145040,article,ryan_t:2006,,,2006,,Bayle's Critique of Lockean Superaddition,Bayle's Critique of Lockean Superaddition,,,,canadian-journal-of-philosophy,36,4,511--534,,,,,,,,,,,,,,,,,,,,false,,ryan_t,,,1:history_of_philosophy
145041,article,ryan_t:2006a,,,2006,,A New Account of Berkeley's Likeness Principle,A New Account of Berkeley's Likeness Principle,,,,british-journal-for-the-history-of-philosophy,14,4,561--580,,,,,,,,,,,,,,,,,,,,false,,ryan_t,,,1:representation
145042,book,ryan_t:2009,,,2009,,Pierre Bayle's Cartesian Metaphysics: Rediscovering Early Modern Philosophy,Pierre Bayle's Cartesian Metaphysics: Rediscovering Early Modern Philosophy,,,,,,11,,,routledge_studies_in_seventeenth_century_philosophy,London,,,routledge,,,,,,,,,,,,,,false,,ryan_t,,,1:history_of_philosophy
145043,incollection,ryan_t:2013,,,2013,,Hume's Reply to Baylean Scepticism,Hume's Reply to Baylean Scepticism,,,,,,,125--138,,,,,,,,,,,,,,,,,,,,false,,ryan_t,,,1:skepticism
