id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47408,incollection,egan_mf:1996,,,1996,,Intentionality and the Theory of Vision,Intentionality and the Theory of Vision,,,,,,,,,232--247,232,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:perception;2:perceptual_content;3:perceptual_intentionality
47409,article,egan_mf:1998,,,1998,,Review of \citet{cummins_r:1996},Review of Cummins (1996),,,,the-philosophical-review,107,107,1,1,118--120,118,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:representation;2:propositional_attitudes
47410,article,egan_mf:1999,,,1999,,In Defence of Narrow Mindedness,In Defence of Narrow Mindedness,,,,mind-and-language,14,14,,,177--194,177,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,
47411,incollection,egan_mf:1999a,,,1999,,Pragmatic Aspects of Content Determination,Pragmatic Aspects of Content Determination,,,,,,,,,217--228,217,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:representation;2:content_determination
47412,incollection,egan_mf:2003,,,2003,,Naturalistic Inquiry: Where does Mental Representation Fit in?,Naturalistic Inquiry: Where does Mental Representation Fit in?,,,,,,,,,89--104,89,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:representation;2:content
47413,article,egan_mf:2008,,,2008,,The Content of Colour Experience [on \citet{matthen:2005}],The Content of Colour Experience [on Matthen (2005)],,,,philosophy-and-phenomenological-research,76,76,2,2,407--414,407,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:perception;2:perceptual_content
47414,incollection,egan_mf:2009,,,2009,,Wide Content,Wide Content,,,,,,,,,351--366,351,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:representation;2:content;3:narrow_content
47415,incollection,egan_mf:2009a,,,2009,,Is there a Role for Representational Content in Scientific Psychology?,Is there a Role for Representational Content in Scientific Psychology?,,,,,,,,,14--29,14,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:representation;2:content
47416,article,egan_mf:2010,,,2010,,Computational Models: A Modest Role for Content,Computational Models: A Modest Role for Content,,,,studies-in-history-and-philosophy-of-science,41,41,3,3,253--259,253,,,,,,,,,,,,,,,,,,,english,false,,,egan_mf,,,1:computation
47417,article,egan_mf:2014,,,2014,,Explaining Representation: A Reply to Matthen,Explaining Representation: A Reply to Matthen,,,,philosophical-studies,170,170,1,1,137--142,137,,,,,,,,,,,,,,,,,10.1007/s11098-013-0166-y,,english,false,,,egan_mf,,,1:representation;2:content
