id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
31333,article,claessens:2012,,,2012,,Francesco Piccolomini on Prime Matter and Extension,Francesco Piccolomini on Prime Matter and Extension,,,,vivarium,50,50,2,2,225--244,225,,,,,,,,,,,,,,,,,,,english,false,,,claessens,,,1:complexity;2:material_constitution;3:stuff
31334,article,claeys:1984,,,1984,,The Effects of Property on Godwin's Theory of Justice,The Effects of Property on Godwin's Theory of Justice,,,,journal-of-the-history-of-philosophy,22,22,1,1,81--101,81,,,,,,,,,,,,,,,,,,,english,false,,,claeys,,,1:political_philosophy;2:justice
31335,incollection,claeys:1991,,,1991,,Utopias,Utopias,,,,,,,,,694--701,694,,,,,,,,,,,,,,,,,,,english,false,,,claeys,,,1:economics
31336,book,claeys:2013,,,2013,,Mill and Paternalism,Mill and Paternalism,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,claeys,,,1:political_philosophy;2:authority;3:paternalism
31337,book,clagett:1959,,,1959,,Critical Problems in the History of Science,Critical Problems in the History of Science,Critical Problems in the History of Science,Critical Problems in the History of Science,,,,,,,,,,,"Madison, Wisconsin",,,university-of-wisconsin-press,,,,,,,,,,,,,english,false,,,clagett,,,1:science;2:history_of_science
31338,incollection,clagett:1969,,,1969,,The Quadrature by Lunes in the Later Middle Ages,The Quadrature by Lunes in the Later Middle Ages,,,,,,,,,508--522,508,,,,,,,,,,,,,,,,,,,english,false,,,clagett,,,1:science;2:history_of_science
31339,article,clancey-soloway:1990,,,1990,,Artificial Intelligence and Learning Environments: Preface,Artificial Intelligence and Learning Environments: Preface,,,,artificial-intelligence,42,42,1,1,1--6,1,,,,,,,,,,,,,,,,,,,english,false,,,clancey;soloway,,,1:ai;2:human_computer_interaction;3:intelligent_tutoring
31340,book,clancey-weld:1996,,,1996,,{AAAI}-96.~Proceedings of the Thirteenth National Conference on Artificial Intelligence and the Ninth Innovative Applications of Artificial Intelligence Conference,AAAI-96. Proceedings of the Thirteenth National Conference on Artificial Intelligence and the Ninth Innovative Applications of Artificial Intelligence Conference,{AAAI}-96.~Proceedings of the Thirteenth National Conference on Artificial Intelligence and the Ninth Innovative Applications of Artificial Intelligence Conference,AAAI-96. Proceedings of the Thirteenth National Conference on Artificial Intelligence and the Ninth Innovative Applications of Artificial Intelligence Conference,,,,,,,,,,,"Menlo Park, California",,,the-aaai-press,,,,,,,,,,,,,english,false,,,,clancey;weld_ds,,1:language;2:language_learning
31341,article,clancey:1983,,,1983,,The Epistemology of a Rule-Based Expert System: a Framework for Explanation,The Epistemology of a Rule-Based Expert System: a Framework for Explanation,,,,artificial-intelligence,20,20,3,3,215--251,215,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:explanation
31342,article,clancey:1985,,,1985,,Heuristic Classification,Heuristic Classification,,,,artificial-intelligence,27,27,3,3,285--350,285,,,,,,,,,,,,,,,,,,,english,false,,,clancey,,,1:information;2:knowledge_representation
