id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
83808,book,johnson_hj-etal:1979,,,1979,,"Revolutions, Systems, and Theories: Essays in Political Philosophy","Revolutions, Systems, and Theories: Essays in Political Philosophy","Revolutions, Systems, and Theories: Essays in Political Philosophy","Revolutions, Systems, and Theories: Essays in Political Philosophy",,,,,,,,,Dordrecht,,,d-reidel-publishing-co,,,,,,,,,,,,,english,false,,,,johnson_hj;leach_jj;muehlmann,,1:political_philosophy
83809,incollection,johnson_hj:1981,,,1981,,The Ontological Argument and the Languages of `Being',The Ontological Argument and the Languages of ‘Being',,,,,,,724--737,724,,,,,,,,,,,,,,,,,,,english,false,,,johnson_hj,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
83810,incollection,johnson_hl:2020,,,2020,,"Border Technologies and Ethics in Security: Presuming Consent, Obscuring Responsibility","Border Technologies and Ethics in Security: Presuming Consent, Obscuring Responsibility",,,,,,,271--282,271,,,,,,,,,,,,,,,,,,,english,false,,,johnson_hl,,,1:political_philosophy;2:international_relations
83811,incollection,johnson_i:1997,,,1997,,Placing Walton's Boethius,Placing Walton's Boethius,,,,,,,217--242,217,,,,,,,,,,,,,,,,,,,english,false,,,johnson_i,,,1:history_of_philosophy
83812,incollection,johnson_i:2012,,,2012,,Making the \emph{Consolatio} in Middle English,Making the Consolatio in Middle English,,,,,,,413--446,413,,,,,,,,,,,,,,,,,,,english,false,,,johnson_i,,,1:history_of_philosophy
83813,incollection,johnson_jj:2010,,,2010,,"Oh, Behave! Nothing in Excess or Everything in Good Order: The ``Portraits'' of Solon and Khilon on a Late Archaic Attic Red-figure Cup by Oltos","Oh, Behave! Nothing in Excess or Everything in Good Order: The “Portraits” of Solon and Khilon on a Late Archaic Attic Red-figure Cup by Oltos",,,,,,,257--274,257,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jj,,,
83814,article,johnson_jl:1994,,,1994,,"Procedure, Substance, and the Divine Command Theory","Procedure, Substance, and the Divine Command Theory",,,,international-journal-for-philosophy-of-religion,35,1,39--55,39,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jl,,,1:ethics;2:religious_ethics;3:divine_command_theory
83815,article,johnson_jl:1997,,,1997,,Personal Survival and the Closest-Continuer Theory,Personal Survival and the Closest-Continuer Theory,,,,international-journal-for-philosophy-of-religion,41,1,13--23,13,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jl,,,1:persons;2:personal_identity
83816,article,johnson_jo:2013,,,2013,,The Private Language Argument and a Second-Person Approach to Mindreading,The Private Language Argument and a Second-Person Approach to Mindreading,,,,european-journal-for-philosophy-of-religion,5,4,75--86,75,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jo,,,1:skepticism;2:other_minds
83817,article,johnson_jt:1987,,,1987,,Recent Strategic Developments: A Critical Overview From A Just War Perspective,Recent Strategic Developments: A Critical Overview From A Just War Perspective,,,,analyse-kritik,9,1/2,120--141,120,,,,,,,,,,,,,,,,,,,english,false,,,johnson_jt,,,1:political_philosophy;2:war;3:just_war
