id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184960,book,ythier_jm:2023,,,2023,,Economic Reason and Political Reason,Economic Reason and Political Reason,Economic Reason and Political Reason,Economic Reason and Political Reason,,,,,,,,"Hoboken, New Jersey",,,wiley-blackwell,,,,,,,,,,,,,,false,,,ythier_jm,,1:economics
184961,incollection,yturbe:1995,,,1995,,The History of Science: Internal or External?,The History of Science: Internal or External?,,,,,,,71--88,,,,,,,,,,,,,,,,,,,,false,,yturbe,,,1:science;2:history_of_science
