id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
23323,incollection,buceniece:2000,,,2000,,"The Art of the Liberation of Life and Philosophy as Educator: F.~Nietzsche, E.~Husserl, Z.~Maurina","The Art of the Liberation of Life and Philosophy as Educator: F. Nietzsche, E. Husserl, Z. Maurina",,,,,,,,,115--130,115,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,1:education
23324,incollection,buceniece:2002,,,2002,,"Teodors Celms, Kurt Stavenhagen and Phenomenology in Latvia","Teodors Celms, Kurt Stavenhagen and Phenomenology in Latvia",,,,,,,,,312--315,312,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23325,incollection,buceniece:2004,,,2004,,Thinking with the Skin: The Problem of Space in Modern Philosophy: E.~Husserl and A-T.~Tymieniecka,Thinking with the Skin: The Problem of Space in Modern Philosophy: E. Husserl and A-T. Tymieniecka,,,,,,,,,719--728,719,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,1:space_spacetime;2:place
23326,incollection,buceniece:2005,,,2005,,How can we be Together: Intersubjectivity and Communication,How can we be Together: Intersubjectivity and Communication,,,,,,,,,119--128,119,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23327,incollection,buceniece:2007,,,2007,,``To Communicate with a Gnat'': Experience and Communication Within the Context of Life-World,“To Communicate with a Gnat”: Experience and Communication Within the Context of Life-World,,,,,,,,,361--370,361,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23328,incollection,buceniece:2008,,,2008,,"Sensuous Experience and Transcendental Empiricism (F.~Brentano, E.~Husserl, P.~Dale)","Sensuous Experience and Transcendental Empiricism (F. Brentano, E. Husserl, P. Dale)",,,,,,,,,333--342,333,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23329,incollection,buceniece:2011,,,2011,,"Critique of Reason Projects with Reference to Antiquity: I.~Kant and the Platonic Ideas, E.~Husserl and the Mnemosinean Enticement, A.-T.~Tymieniecka and the Dyonisian Logos","Critique of Reason Projects with Reference to Antiquity: I. Kant and the Platonic Ideas, E. Husserl and the Mnemosinean Enticement, A.-T. Tymieniecka and the Dyonisian Logos",,,,,,,,,39--50,39,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23330,incollection,buceniece:2014,,,2014,,Cosmic Order and Exoneration of the Beautiful: Visions of the Problem in Contemporary Philosophy,Cosmic Order and Exoneration of the Beautiful: Visions of the Problem in Contemporary Philosophy,,,,,,,,,59--70,59,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23331,incollection,buceniece:2018,,,2018,,Phenomenology as Ecology: Movement from Ego- to Geo- and Eco-Thinking,Phenomenology as Ecology: Movement from Ego- to Geo- and Eco-Thinking,,,,,,,,,225--234,225,,,,,,,,,,,,,,,,,,,english,false,,,buceniece,,,
23332,article,buch_h:1961,,,1961,,Le droit et le fait dans la jurisprudence du Conseil d'Etat de Belgique,Le droit et le fait dans la jurisprudence du Conseil d'Etat de Belgique,,,,dialectica,15,15,59/60,59,481--506,481,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1961.tb00454.x,,french,false,,,buch_h,,,1:law
23333,article,buch_h:1964,,,1964,,Conceptions dialectiques des antinomies juridiques,Conceptions dialectiques des antinomies juridiques,,,,dialectica,18,18,69--72,69,372--391,372,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1964.tb01492.x,,french,false,,,buch_h,,,1:law
23334,book,buchak-etal:2019,,,2019,,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,,,IX,9,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780198845492.001.0001,,english,false,,,,buchak;zimmerman_dw;swenson_p,,1:religion
23335,incollection,buchak-pettit:2015,,,2015,,Reasons and Rationality: The Case of Group Agents,Reasons and Rationality: The Case of Group Agents,,,,,,,,,207--231,207,,,,,,,,,,,,,,,,,,,english,false,,,buchak;pettit_p,,,1:action;2:collective_action
23336,book,buchak-zimmerman:2022,,,2022,,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,Oxford Studies in Philosophy of Religion,,,X,10,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780192862976.001.0001,,english,false,,,,buchak;zimmerman_dw,,1:religion
23337,incollection,buchak:2010,,,2010,,"Instrumental Rationality, Epistemic Rationality, and Evidence-Gathering","Instrumental Rationality, Epistemic Rationality, and Evidence-Gathering",,,,,,,,,85--120,85,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:epistemology
23338,article,buchak:2013,,,2013,,Free Acts and Chance: Why the Rollback Argument Fails,Free Acts and Chance: Why the Rollback Argument Fails,,,,the-philosophical-quarterly,63,63,250,250,20--28,20,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:determinism;2:free_will
23339,book,buchak:2014,,,2014,,Risk and Rationality,Risk and Rationality,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199672165.001.0001,,english,false,,,buchak,,,1:rationality
23340,article,buchak:2014a,,,2014,,Risk and Tradeoffs,Risk and Tradeoffs,,,,erkenntnis,79,79,"suppl., 6",6,1091--1117,1091,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:epistemology
23341,article,buchak:2014b,,,2014,,"Belief, Credence, and Norms","Belief, Credence, and Norms",,,,philosophical-studies,169,169,2,2,285--311,285,,,,,,,,,,,,,,,,,10.1007/s11098-013-0182-y,,english,false,,,buchak,,,2:epistemic_norms;3:norms_of_belief
23342,incollection,buchak:2014c,,,2014,,"Learning Not to be Na{\""{\i}}ve: A Comment on the Exchange between Perrine/Wykstra and Draper [\citet{draper_p:2014}, \citet{perrine-wykstra:2014} and \citet{draper_p:2014a}]","Learning Not to be Naïve: A Comment on the Exchange between Perrine/Wykstra and Draper [Draper (2014), Perrine and Wykstra (2014) and Draper (2014)]",,,,,,,,,178--189,178,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:religion;2:theism
23343,incollection,buchak:2014d,,,2014,,Rational Faith and Justified Belief,Rational Faith and Justified Belief,,,,,,,,,49--73,49,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:religion;2:epistemology_of_religion
23344,article,buchak:2015,,,2015,,Revisiting Risk and Rationality: A Reply to \citet{pettigrew:2015c} and \citet{briggs_r:2015a},Revisiting Risk and Rationality: A Reply to Pettigrew (2015) and Briggs (2015),,,,canadian-journal-of-philosophy,45,45,5/6,5,841--862,841,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:rationality
23345,incollection,buchak:2016,,,2016,,Decision Theory,Decision Theory,,,,,,,,,789--814,789,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:decision_theory
23346,article,buchak:2017,,,2017,,Faith and Steadfastness in the Face of Counter-Evidence,Faith and Steadfastness in the Face of Counter-Evidence,,,,international-journal-for-philosophy-of-religion,81,81,1/2,1,113--133,113,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:religion;2:faith
23347,incollection,buchak:2018,,,2018,,When is Faith Rational?,When is Faith Rational?,,,,,,,,,115--127,115,,,,,,,,,,,,,,,,,,,english,false,,,buchak,,,1:religion;2:faith
