id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
184274,article,xhignesse:2019,,,2019,,Entitled Art: What Makes Titles Names?,Entitled Art: What Makes Titles Names?,,,,australasian-journal-of-philosophy,97,3,437--450,437,,,,,,,,,,,,,,,,,,,english,false,,,xhignesse,,,1:aesthetics;2:art_works
184275,article,xhignesse:2020,,,2020,,Failures of Intention and Failed-Art,Failures of Intention and Failed-Art,,,,canadian-journal-of-philosophy,50,7,905--917,905,,,,,,,,,,,,,,,,,,,english,false,,,xhignesse,,,1:aesthetics;2:what_is_art
