id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
46641,incollection,earman_js:1987,,,1987,,"Locality, Nonlocality, and Action at a Distance: A Skeptical Review of Some Philosophical Dogmas","Locality, Nonlocality, and Action at a Distance: A Skeptical Review of Some Philosophical Dogmas",,,,,,,449--490,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:properties;2:internal_external_properties
46642,incollection,earman_js:1987a,,,1987,,The Problem of Irreversibility,The Problem of Irreversibility,,,,,,,226--233,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:time;2:direction_of_time
46643,book,earman_js:1989,,,1989,,World Enough and Space-Time: Absolute versus Relational Theories of Space and Time,World Enough and Space-Time: Absolute versus Relational Theories of Space and Time,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime;2:absolute_vs_relational
46644,book,earman_js:1992,,,1992,,"Inference, Explanation and Other Philosophical Frustrations","Inference, Explanation and Other Philosophical Frustrations","Inference, Explanation and Other Philosophical Frustrations","Inference, Explanation and Other Philosophical Frustrations",,,,,,,,"Berkeley, California",,,university-of-california-press,,,,,,,,,,,,,,false,,,earman_js,,1:explanation
46645,book,earman_js:1992a,,,1992,,Bayes or Bust: A Critical Examination of Confirmation Theory,Bayes or Bust: A Critical Examination of Confirmation Theory,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,earman_js,,,1:science;2:confirmation
46646,article,earman_js:1993,,,1993,,In Defense of Laws: Reflections on Bas Van Fraassen's Laws and Symmetry,In Defense of Laws: Reflections on Bas Van Fraassen's Laws and Symmetry,,,,philosophy-and-phenomenological-research,53,,413--419,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:causation;2:laws_of_nature
46647,incollection,earman_js:1993a,,,1993,,"Underdetermination, Realism, and Reason","Underdetermination, Realism, and Reason",,,,,,,19--38,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:science
46648,incollection,earman_js:1993b,,,1993,,Cosmic Censorship,Cosmic Censorship,,,,,,,171--180,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime;2:cosmology;3:cosmic_censorship
46649,incollection,earman_js:1993c,,,1993,,The Cosmic Censorship Hypothesis,The Cosmic Censorship Hypothesis,,,,,,,45--82,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime;2:cosmology;3:cosmic_censorship
46650,incollection,earman_js:1993d,,,1993,,"Carnap, Kuhn, and the Philosophy of Scientific Methodology","Carnap, Kuhn, and the Philosophy of Scientific Methodology",,,,,,,9--36,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:method;2:scientific_method
46651,book,earman_js:1995,,,1995,,"Bangs, Crunches, Whimpers, and Shrieks: Singularities and Acausalities in Relativistic Spacetime","Bangs, Crunches, Whimpers, and Shrieks: Singularities and Acausalities in Relativistic Spacetime",,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime
46652,incollection,earman_js:1995a,,,1995,,Recent Work on Time Travel,Recent Work on Time Travel,,,,,,,268--310,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:time;2:time_travel
46653,book,earman_js:2000,,,2000,,Hume's Abject Failure -- the Argument Against Miracles,Hume's Abject Failure – the Argument Against Miracles,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0195127382.001.0001,,,false,,earman_js,,,1:causation;2:causal_closure;3:miracles
46654,article,earman_js:2002,,,2002,,Gauge Matters,Gauge Matters,,,,philosophy-of-science,69,,S209--220,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:structuralism;2:symmetry;3:gauge_theories
46655,article,earman_js:2002a,,,2002,,Thoroughly Modern McTaggart.~Or what McTaggart would have said if he had Learned General Relativity Theory,Thoroughly Modern McTaggart. Or what McTaggart would have said if he had Learned General Relativity Theory,,,,philosophers-imprint,2,3,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0002.003,,http://hdl.handle.net/2027/spo.3521354.0002.003,,false,,earman_js,,,1:time;3:mctaggart
46656,incollection,earman_js:2003,,,2003,,Tracking down Gauge: An Ode to the Constrained Hamiltonian Formalism,Tracking down Gauge: An Ode to the Constrained Hamiltonian Formalism,,,,,,,140--162,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:physics
46657,incollection,earman_js:2003a,,,2003,,Rough Guide to Spontaneous Symmetry Breaking,Rough Guide to Spontaneous Symmetry Breaking,,,,,,,335--346,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:structuralism;2:symmetry
46658,incollection,earman_js:2004,,,2004,,Determinism: What We Have Learned and What We Still Don't Know,Determinism: What We Have Learned and What We Still Don't Know,,,,,,,21--46,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:determinism;2:free_will
46659,incollection,earman_js:2006,,,2006,,The Implications of General Covariance for the Ontology and Ideology of Spacetime,The Implications of General Covariance for the Ontology and Ideology of Spacetime,,,,,,,3--23,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:structuralism;2:symmetry;3:gauge_theories
46660,incollection,earman_js:2006a,,,2006,,"In the Beginning, At the End, and All in Between: Cosmological Aspects of Time","In the Beginning, At the End, and All in Between: Cosmological Aspects of Time",,,,,,,155--180,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime
46661,incollection,earman_js:2007,,,2007,,Aspects of Determinism in Modern Physics,Aspects of Determinism in Modern Physics,,,,,,,1369--1434,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:determinism
46662,incollection,earman_js:2008,,,2008,,Pruning Some Branches from Branching Spacetimes,Pruning Some Branches from Branching Spacetimes,,,,,,,187--205,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:space_spacetime
46663,incollection,earman_js:2011,,,2011,,Sharpening the Electromagnetic Arrow(s) of Time,Sharpening the Electromagnetic Arrow(s) of Time,,,,,,,485--527,,,,,,,,,,,,,,,,,,,,false,,earman_js,,,1:time;2:direction_of_time
