id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
118046,article,mschwenijeradse_ww:1961,,,1961,,Die semantische Philosophie -- eine Abart des subjektiven Idealismus,Die semantische Philosophie – eine Abart des subjektiven Idealismus,,,,deutsche-zeitschrift-fur-philosophie,9,8,926--943,926,,,,,,,,,,,,,,,,,,,ngerman,false,,,mschwenijeradse_ww,,,1:metaphilosophy
118047,article,msimang:2019,,,2019,,Racializing Races: The Racialized Groups of Interactive Constructionism Do Not Undermine Social Theories of Race,Racializing Races: The Racialized Groups of Interactive Constructionism Do Not Undermine Social Theories of Race,,,,ergo,6,1,1--30,1,,,,,,,,,,,,,,,,,,,english,false,,,msimang,,,1:political_philosophy;2:discrimination;3:race
118048,incollection,msosa:1996,,,1996,,Narrative ldentity: Situating a Postmodern Ideal,Narrative ldentity: Situating a Postmodern Ideal,,,,,,,99--106,99,,,,,,,,,,,,,,,,,,,english,false,,,msosa,,,1:persons;2:personal_identity;3:narrative_self
