id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
38363,techreport,dasigi:1988,,,1988,,Word Sense Disambiguation in Descriptive Text Interpretation: A Dual-Route Parsimonious Covering Model,Word Sense Disambiguation in Descriptive Text Interpretation: A Dual-Route Parsimonious Covering Model,,,,,,,tr-2151,,,,,,"College Park, Maryland",computer_science_department_university_of_maryland,,,,,,,,,,,,,,,english,false,,,dasigi,,,1:linguistics;2:logic_for_natural_language;3:nl_interpretation
38364,incollection,dasilva_jj-etal:1999,useprefix=true,,1999,,Translations between Logics,Translations between Logics,,,,,,,,,435--448,435,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj;dottaviano_iml;sette_am,,,1:logic;2:universal_logic
38365,article,dasilva_jj:2002,useprefix=true,,2002,,The Axioms of Set Theory,The Axioms of Set Theory,,,,axiomathes,13,13,2,2,107--126,107,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:mathematics;2:set_theory
38366,article,dasilva_jj:2010,useprefix=true,,2010,,Structuralism and the Applicability of Mathematics,Structuralism and the Applicability of Mathematics,,,,axiomathes,20,20,2/3,2,229--253,229,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:structuralism;2:mathematical_structuralism
38367,incollection,dasilva_jj:2010a,useprefix=true,,2010,,Beyond Leibniz: Husserl's Vindication of Symbolic Knowledge,Beyond Leibniz: Husserl's Vindication of Symbolic Knowledge,,,,,,,,,123--146,123,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:mathematics
38368,incollection,dasilva_jj:2011,useprefix=true,,2011,,On the Nature of Mathematical Knowledge,On the Nature of Mathematical Knowledge,,,,,,,,,151--160,151,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:mathematics;2:epistemology_of_mathematics
38369,article,dasilva_jj:2012,useprefix=true,,2012,,Husserl on Geometry and Spatial Representation,Husserl on Geometry and Spatial Representation,,,,axiomathes,22,22,1,1,5--30,5,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:mathematics;2:geometry
38370,incollection,dasilva_jj:2012a,useprefix=true,,2012,,Away from the Facts.~Symbolic Knowledge in Husserl's Philosophy of Mathematics,Away from the Facts. Symbolic Knowledge in Husserl's Philosophy of Mathematics,,,,,,,,,115--136,115,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:mathematics
38371,article,dasilva_jj:2016,useprefix=true,,2016,,"Husserl and Hilbert on Completeness, Still","Husserl and Hilbert on Completeness, Still",,,,synthese,193,193,6,6,1925--1947,1925,,,,,,,,,,,,,,,,,,,english,false,,,dasilva_jj,,,1:logic;2:in_completeness
38372,article,dasilva_m:2022,,,2022,,Federalism: Contemporary Political Philosophy Issues,Federalism: Contemporary Political Philosophy Issues,,,,philosophy-compass,17,17,4,4,e12820,,e12820,,,,,,,,,,,,,,,,10.1111/phc3.12820,,english,false,,,dasilva_m,,,1:political_philosophy;2:federalism
