id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
50033,incollection,fabbrichesi_r:2017,,,2017,,"Eco, Peirce, and Iconism: A Philosophical Inquiry","Eco, Peirce, and Iconism: A Philosophical Inquiry",,,,,,,305--324,,,,,,,,,,,,,,,,,,,,false,,fabbrichesi_r,,,1:representation;2:natural_meaning;3:signs
50034,book,faber_r-etal:2010,,,2010,,Beyond Metaphysics? Explorations in Alfred North Whitehead's Late Thought,Beyond Metaphysics? Explorations in Alfred North Whitehead's Late Thought,Beyond Metaphysics? Explorations in Alfred North Whitehead's Late Thought,Beyond Metaphysics? Explorations in Alfred North Whitehead's Late Thought,,,,,,,,Amsterdam,,,rodopi,,,,,,,,,,,,,,false,,,faber_r;henning_bg;combs_c,,1:time;2:processes
50035,book,faber_r-etal:2014,,,2014,,Beyond Superlatives: Regenerating Whitehead's Philosophy of Experience,Beyond Superlatives: Regenerating Whitehead's Philosophy of Experience,Beyond Superlatives: Regenerating Whitehead's Philosophy of Experience,Beyond Superlatives: Regenerating Whitehead's Philosophy of Experience,,,,,,,,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,,false,,,faber_r;hustwit_jr;phelps_h,,1:perception;2:experience
50036,book,faber_r-etal:2017,,,2017,,"Rethinking Whitehead's Symbolism: Thought, Language, Culture","Rethinking Whitehead's Symbolism: Thought, Language, Culture","Rethinking Whitehead's Symbolism: Thought, Language, Culture","Rethinking Whitehead's Symbolism: Thought, Language, Culture",,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,10.3366/edinburgh/9781474429566.001.0001,,,false,,,faber_r;bell_jea;petek_j,,
50037,book,faber_r-fackenthal:2013,,,2013,,Theopoetic Folds: Philosophizing Multifariousness,Theopoetic Folds: Philosophizing Multifariousness,Theopoetic Folds: Philosophizing Multifariousness,Theopoetic Folds: Philosophizing Multifariousness,,,,,,,,New York,,,fordham-university-press,,,,,,,,,,,10.5422/fordham/9780823251551.001.0001,,,false,,,faber_r;fackenthal,,
50038,incollection,faber_r-henning:2010,,,2010,,Introduction: Whitehead's Other Copernican Turn,Introduction: Whitehead's Other Copernican Turn,,,,,,,1--11,,,,,,,,,,,,,,,,,,,,false,,faber_r;henning_bg,,,1:metaphysics
50039,incollection,faber_r:2010,,,2010,,Immanence and Incompleteness: Whitehead's Late Metaphysics,Immanence and Incompleteness: Whitehead's Late Metaphysics,,,,,,,91--109,,,,,,,,,,,,,,,,,,,,false,,faber_r,,,1:metaphysics;2:totality
50040,incollection,faber_r:2013,,,2013,,Introduction to Process Theology,Introduction to Process Theology,,,,,,,311--322,,,,,,,,,,,,,,,,,,,,false,,faber_r,,,1:religion;2:god
50041,book,faber_r:2019,,,2019,,The Ocean of God: On the Transreligious Future of Religions,The Ocean of God: On the Transreligious Future of Religions,,,,,,,,,,London,,,anthem-press,,,,,,,,,,,,,,false,,faber_r,,,
50042,incollection,faber_rj:1984,,,1984,,"Feedback, Selection, and Function: A Reductionistic Account of Goal-Orientation","Feedback, Selection, and Function: A Reductionistic Account of Goal-Orientation",,,,,,,43--136,,,,,,,,,,,,,,,,,,,,false,,faber_rj,,,1:explanation;2:teleological_explanation
50043,book,fabian_m:2022,,,2022,,A Theory of Subjective Wellbeing,A Theory of Subjective Wellbeing,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780197635261.001.0001,,,false,,fabian_m,,,1:social_philosophy;2:well_being
50044,incollection,fabian_r:1996a,,,1996,,The Otto Neurath Nachlass in Haarlem (NL),The Otto Neurath Nachlass in Haarlem (NL),,,,,,,337--356,,,,,,,,,,,,,,,,,,,,false,,fabian_r,,,
50045,UNKNOWN,fabiani_a:1982,,,1982,,Recherche sur l'intentionnel,Recherche sur l'intentionnel,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,fabiani_a,,,
50046,incollection,fabiani_d:1998,,,1998,,Human Condition and Recreation of Life in Literature: The Example of Paul Gadenne,Human Condition and Recreation of Life in Literature: The Example of Paul Gadenne,,,,,,,201--218,,,,,,,,,,,,,,,,,,,,false,,fabiani_d,,,1:aesthetics;2:literary_criticism
50047,book,fabre_c-lazar:2014,,,2014,,The Morality of Defensive War,The Morality of Defensive War,The Morality of Defensive War,The Morality of Defensive War,,,,,,,mind_association_occasional_series,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199682836.001.0001,,,false,,,fabre_c;lazar_s,,1:social_philosophy;2:war
50048,incollection,fabre_c-lazar:2014a,,,2014,,Introduction,Introduction,,,,,,,1--10,,,,,,,,,,,,,,,,,,,,false,,fabre_c;lazar_s,,,1:social_philosophy;2:war
50049,book,fabre_c:2006,,,2006,,Whose Body is it Anyway? Justice and the Integrity of the Person,Whose Body is it Anyway? Justice and the Integrity of the Person,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0199289999.001.0001,,,false,,fabre_c,,,
