id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
176118,incollection,waldenfels:1993,,,1993,,Interrogative Thinking: Reflections on Merleau-Ponty's Later Philosophy,Interrogative Thinking: Reflections on Merleau-Ponty's Later Philosophy,,,,,,,,,3--12,3,,,,,,,,,,,,,,,,,,,english,false,,,waldenfels,,,1:history_of_philosophy
176119,incollection,waldenfels:1998,,,1998,,Merleau-Ponty,Merleau-Ponty,,,,,,,,,281--291,281,,,,,,,,,,,,,,,,,,,english,false,,,waldenfels,,,1:history_of_philosophy
176120,article,waldenfels:1998a,,,1998,,Comment on \citet{searle_jr:1995},Comment on Searle (1995),,,,analyse-kritik,20,20,2,2,159--165,159,,,,,,,,,,,,,,,,,,,english,false,,,waldenfels,,,1:explanation;3:models_in_economics
176121,incollection,waldenfels:2000,,,2000,,"Metamorphosen des Cogito.~Stichproben franz{\""o}sischer Descartes-Lekt{\""u}re",Metamorphosen des Cogito. Stichproben französischer Descartes-Lektüre,,,,,,,,,349--368,349,,,,,,,,,,,,,,,,,,,ngerman,false,,,waldenfels,,,1:epistemology;2:cogito
176122,article,waldenfels:2005,,,2005,,L'exp{\'e}rience corporelle entre ips{\'e}it{\'e} et alt{\'e}rit{\'e},L'expérience corporelle entre ipséité et altérité,,,,revue-de-theologie-et-de-philosophie,55,55,4,4,329--343,329,,,,,,,,,,,,,,,,,,,french,false,,,waldenfels,,,1:perception;2:proprioception;3:bodily_ownership
176123,article,waldenfels:2010,,,2010,,Description indirecte,Description indirecte,,,,archives-de-philosophie,73,73,1,1,29--45,29,,,,,,,,,,,,,,,,,,,french,false,,,waldenfels,,,1:reference;2:definite_descriptions
176124,incollection,waldenfels:2013,,,2013,,Responsive Ethics,Responsive Ethics,,,,,,,,,423--441,423,,,,,,,,,,,,,,,,,,,english,false,,,waldenfels,,,1:ethics
176125,incollection,waldenfels:2014,,,2014,,The Role of the Lived-Body in Feeling,The Role of the Lived-Body in Feeling,,,,,,,,,245--263,245,,,,,,,,,,,,,,,,,,,english,false,,,waldenfels,,,1:feeling;2:emotions
176126,article,waldinger-levitt:1974,,,1974,,Reasoning about Programs,Reasoning about Programs,,,,artificial-intelligence,5,5,3,3,235--316,235,,,,,,,,,,,,,,,,,,,english,false,,,waldinger;levitt_kn,,,1:logic;2:proof_theory;3:theorem_proving
176127,techreport,waldinger-stickel:1990,,,1990,,Proving Properties of Rule-Based Systems,Proving Properties of Rule-Based Systems,,,,,,,494,494,,,,technical_note,"Menlo Park, California",ai_center_sri_center_international,,,,,,,,,,,,,,,english,false,,,waldinger;stickel,,,1:computation;2:computational_logic;3:program_verification
176128,incollection,waldinger:1977,,,1977,,Achieving Several Goals Simultaneously,Achieving Several Goals Simultaneously,,,,,,,,,94--136,94,,,,,,,,,Reprinted in \citet[250--271]{webber_bl-nilsson:1981},Reprinted in Webber and Nilsson (1981),,,,,,,,,english,false,,,waldinger,,,1:action;2:planning
176129,article,waldman:1959,,,1959,,A Comment upon the Ontological Proof of the Devil [on \citet{richman_rj:1958}],A Comment upon the Ontological Proof of the Devil [on Richman (1958)],,,,philosophical-studies,10,10,4,4,49--50,49,,,,,,,,,,,,,,,,,10.1007/bf00373576,,english,false,,,waldman,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
176130,book,waldmann_mr:2017,,,2017,,The Oxford Handbook of Causal Reasoning,The Oxford Handbook of Causal Reasoning,The Oxford Handbook of Causal Reasoning,The Oxford Handbook of Causal Reasoning,,,,,,,,,,oxford_handbooks,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,,waldmann_mr,,1:causation;2:causal_reasoning
176131,article,waldmueller_j:2016,,,2016,,"Der Blick von Aussen auf europ{\""a}isches Denken?",Der Blick von Aussen auf europäisches Denken?,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2016-11-13-waldmueller,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,waldmueller_j,,,
176132,incollection,waldner_d:2012,,,2012,,Process Tracing and Causal Mechanisms,Process Tracing and Causal Mechanisms,,,,,,,,,65--84,65,,,,,,,,,,,,,,,,,,,english,false,,,waldner_d,,,1:explanation;2:explanation_in_economics
176133,incollection,waldner_i:1977,,,1977,,Decision Theory and the Rationality of Ends,Decision Theory and the Rationality of Ends,,,,,,,,,408--422,408,,,,,,,,,,,,,,,,,,,english,false,,,waldner_i,,,1:decision_theory
176134,incollection,waldner_i:1978,,,1978,,Prolegomena to a Theory of Rational Motives,Prolegomena to a Theory of Rational Motives,,,,,,,,,427--442,427,,,,,,,,,,,,,,,,,,,english,false,,,waldner_i,,,1:action;2:motivation
176135,incollection,waldo:1979,,,1979,,A {PTQ} Semantics for Sortal Incorrectness,A PTQ Semantics for Sortal Incorrectness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,waldo,,,1:language;2:montague_grammar
176136,book,waldow-desouza:2017,,,2017,,Herder: Philosophy and Anthropology,Herder: Philosophy and Anthropology,Herder: Philosophy and Anthropology,Herder: Philosophy and Anthropology,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780198779650.001.0001,,english,false,,,,waldow;desouza_n,,1:history_of_philosophy
176137,incollection,waldow-desouza:2017a,,,2017,,Introduction,Introduction,,,,,,,,,1--12,1,,,,,,,,,,,,,,,,,,,english,false,,,waldow;desouza_n,,,1:history_of_philosophy
