id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
49825,article,eveling_hs:1966,,,1966,,Some Patterns of Justification in Ethics,Some Patterns of Justification in Ethics,,,,proceedings-of-the-aristotelian-society,66,,149--166,,,,,,,,,,,,,,,,,,,,false,,eveling_hs,,,1:ethics
49826,article,eveling_s:2013,,,2013,,Counting Things,Counting Things,,,,philosophical-investigations,36,3,210--230,,,,,,,,,,,,,,,,,,,,false,,eveling_s,,,1:mathematics;2:nature_of_number;3:counting
49827,incollection,evellin:1900,,,1900,,La dialectique des antinomies,La dialectique des antinomies,,,,,,,165--218,,,,,,,,,,,,,,,,,,,french,false,,evellin,,,1:logic;2:negation;3:antinomies
49828,article,evenden_j-hubbeling:1969,,,1969,,A Synthesis of Truth-Function Diagrams,A Synthesis of Truth-Function Diagrams,,,,logique-et-analyse,12,46,123--128,,,,,,,,,,,,,,,,,,,,false,,evenden_j;hubbeling,,,1:logic;2:propositional_logic;3:truth_functionality
49829,article,evenden_j:1976,,,1976,,A Begriffsschrift for Sentential Logic,A Begriffsschrift for Sentential Logic,,,,logique-et-analyse,19,74--76,413--425,,,,,,,,,,,,,,,,,,,,false,,evenden_j,,,1:logic;2:propositional_logic
49830,incollection,evens_m-etal:1987,,,1987,,For the Lexicon that has Everything,For the Lexicon that has Everything,,,,,,,219--234,,,,,,,,,,,,,,,,,,,,false,,evens_m;dardaine_j;huang_yf;li_sm;markowitz;rinaldo_f;rinaldo_m;strutz_r,,,1:linguistics;2:linguistics_as_a_science;3:mathematical_linguistics
49831,book,everaert-etal:1995,,,1995,,Idioms: Structural and Psychological Perspectives,Idioms: Structural and Psychological Perspectives,Idioms: Structural and Psychological Perspectives,Idioms: Structural and Psychological Perspectives,,,,,,,,"Mahwah, New Jersey",,,lawrence-erlbaum-associates-inc,,,,,,,,,,,,,,false,,,everaert;vanderlinden_ej;schenk_a;schreuder_r,,1:psychology;2:cognitive_psychology
49832,incollection,everaert:2010,,,2010,,The Lexical Encoding of Idioms,The Lexical Encoding of Idioms,,,,,,,76--100,,,,,,,,,,,,,,,,,,,,false,,everaert,,,1:linguistics
49833,book,everett_a-hofweber:2000,,,2000,,"Empty Names, Fiction and the Puzzles of Non-Existence","Empty Names, Fiction and the Puzzles of Non-Existence","Empty Names, Fiction and the Puzzles of Non-Existence","Empty Names, Fiction and the Puzzles of Non-Existence",,,,108,,,csli_lecture_notes,"Stanford, California",,,csli-publications,,,,,,,,,,,,,,false,,,everett_a;hofweber,,1:reference;2:empty_names
49834,incollection,everett_a-hofweber:2000a,,,2000,,Much Ado About Nothing,Much Ado About Nothing,,,,,,,ix--xxi,,,,,,,,,,,,,,,,,,,,false,,everett_a;hofweber,,,1:epistemology;2:a_priori
49835,incollection,everett_a-schroeder:2015,,,2015,,Ideas for Stories,Ideas for Stories,,,,,,,275--294,,,,,,,,,,,,,,,,,,,,false,,everett_a;schroeder_t,,,1:aesthetics;2:fiction
49836,article,everett_a:1993,,,1993,,A Note on Priest's ``Hypercontradictions'',A Note on Priest's “Hypercontradictions”,,,,logique-et-analyse,36,141/142,39--43,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:truth;2:dialetheism
49837,article,everett_a:1994,,,1994,,Absorbing Dialetheia?,Absorbing Dialetheia?,,,,mind,103,412,413--419,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:truth;2:dialetheism
49838,article,everett_a:1996,,,1996,,A Dilemma for Priest's Dialethism?,A Dilemma for Priest's Dialethism?,,,,australasian-journal-of-philosophy,74,,657--668,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:truth;2:dialetheism
49839,article,everett_a:1996a,,,1996,,Qualia and Vagueness,Qualia and Vagueness,,,,synthese,106,,205--226,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:vagueness
49840,incollection,everett_a:2000,,,2000,,Referentialism and Empty Names,Referentialism and Empty Names,,,,,,,37--60,,,,,,,,,,,,,,,,,,,,false,,everett_a,,,1:reference;2:empty_names
49841,article,everett_a:2003,,,2003,,Empty Names and `Gappy' Propositions,Empty Names and ‘Gappy' Propositions,,,,philosophical-studies,116,1,1--36,,,,,,,,,,,,,,,,,10.1023/b:phil.0000005533.25543.36,,,false,,everett_a,,,1:reference;2:empty_names
