id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
87760,incollection,keohane_no:1979,,,1979,,Claude de Seyssel and Sixteenth-Century Constitutionalism in France,Claude de Seyssel and Sixteenth-Century Constitutionalism in France,,,,,,,47--83,47,,,,,,,,,,,,,,,,,,,english,false,,,keohane_no,,,1:political_philosophy;2:constitutionalism
87761,book,keohane_o:2018,,,2018,,"Cosmo-nationalism: American, French and German Philosophy","Cosmo-nationalism: American, French and German Philosophy",,,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,,,english,false,,,keohane_o,,,
87762,incollection,keown:2012,,,2012,,Buddhism and Human Rights,Buddhism and Human Rights,,,,,,,223--230,223,,,,,,,,,,,,,,,,,,,english,false,,,keown,,,1:political_philosophy;2:rights;3:human_rights
87763,incollection,keown:2018a,,,2018,,Euthanasia,Euthanasia,,,,,,,611--629,611,,,,,,,,,,,,,,,,,,,english,false,,,keown,,,1:medicine;2:medical_ethics;3:euthanasia
87764,incollection,kepnes:2012,,,2012,,Liturgy,Liturgy,,,,,,,519--537,519,,,,,,,,,,,,,,,,,,,english,false,,,kepnes,,,1:religion;2:faith
87765,book,kepnes:2020,,,2020,,The Cambridge Companion to Jewish Theology,The Cambridge Companion to Jewish Theology,The Cambridge Companion to Jewish Theology,The Cambridge Companion to Jewish Theology,,,,,,,,cambridge_companions_to_religion,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108233705,,english,false,,,,kepnes,,
87766,incollection,keppens-shen:2002,,,2002,,A Calculus of Partially Ordered Preferences for Compositional Modeling,A Calculus of Partially Ordered Preferences for Compositional Modeling,,,,,,,39--46,39,,,,,,,,,,,,,,,,,,,english,false,,,keppens;shen_q,,,1:pragmatics;2:discourse
87767,article,kepplinger_s:2016,,,2016,,Game of Drones?,Game of Drones?,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2016-12-22-kepplinger,ngerman,false,,,kepplinger_s,,,
87768,book,ker_i-merrigan:2009,,,2009,,The Cambridge Companion to John Henry Newman,The Cambridge Companion to John Henry Newman,The Cambridge Companion to John Henry Newman,The Cambridge Companion to John Henry Newman,,,,,,,,cambridge_companions_to_religion,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,,ker_i;merrigan,,1:religion;2:theology
87769,incollection,ker_i:2009,,,2009,,John Henry Newman,John Henry Newman,,,,,,,105--118,105,,,,,,,,,,,,,,,,,,,english,false,,,ker_i,,,1:religion
