id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
81193,book,irwin_w:2002,,,2002,,The Matrix and Philosophy,The Matrix and Philosophy,The Matrix and Philosophy,The Matrix and Philosophy,,,,,,,,,,,"LaSalle, Illinois",,,open-court-publishing-co,,,,,,,,,,,,,english,false,,,,irwin_w,,1:intro_to_philosophy
81194,incollection,irwin_w:2002a,,,2002,,"Philosophy and the Philosophical, Literature and the Literary, Borges and the Labyrinthine","Philosophy and the Philosophical, Literature and the Literary, Borges and the Labyrinthine",,,,,,,,,27--46,27,,,,,,,,,,,,,,,,,,,english,false,,,irwin_w,,,1:aesthetics;2:literary_criticism
81195,article,irwin_w:2004,,,2004,,Book Discussion: Jorge J.~E.~Gracia's \emph{How Can We Know What God Means?},Book Discussion: Jorge J. E. Gracia's How Can We Know What God Means?,,,,american-catholic-philosophical-quarterly,78,78,3,3,481,481,,,,,,,,,,,,,,,,,,,english,false,,,irwin_w,,,1:religion;2:divine_attributes;3:divine_hiddenness
81196,book,irwin_w:2015,,,2015,,The Free Market Existentialist: Capitalism without Consumerism,The Free Market Existentialist: Capitalism without Consumerism,The Free Market Existentialist: Capitalism without Consumerism,The Free Market Existentialist: Capitalism without Consumerism,,,,,,,,,,,"Hoboken, New Jersey",,,john-wiley-and-sons-inc,,,,,,,,,,,10.1002/9781119121312,,english,false,,,,irwin_w,,
81197,book,irwin-johnson:2022,,,2022,,Introducing Philosophy Through Pop Culture: From Socrates to Star Wars and Beyond,Introducing Philosophy Through Pop Culture: From Socrates to Star Wars and Beyond,Introducing Philosophy Through Pop Culture: From Socrates to Star Wars and Beyond,Introducing Philosophy Through Pop Culture: From Socrates to Star Wars and Beyond,,,,,,,,,,,"Hoboken, New Jersey",,,john-wiley-and-sons-inc,,2,,,,,,,,,,,english,false,,,,irwin_w;johnson_dk,,
81198,article,irzik-gruenberg:1998,,,1998,,Whorfian Variations on Kantian Themes: Kuhn's Linguistic Turn,Whorfian Variations on Kantian Themes: Kuhn's Linguistic Turn,,,,studies-in-history-and-philosophy-of-science,29,29,2,2,207--221,207,,,,,,,,,,,,,,,,,,,english,false,,,irzik;gruenberg_t,,,1:metaphysics;2:perspectivalism
81199,book,irzik-guezeldere:2005,,,2005,,Turkish Studies in the History and Philosophy of Science,Turkish Studies in the History and Philosophy of Science,Turkish Studies in the History and Philosophy of Science,Turkish Studies in the History and Philosophy of Science,,,,,244,244,,,,boston_studies_in_the_philosophy_of_science,Dordrecht,,,springer,,,,,,,,,,,,,english,false,,,,irzik;guezeldere,,1:science
81200,incollection,irzik-guezeldere:2005a,,,2005,,Introductory Remarks,Introductory Remarks,,,,,,,,,1--6,1,,,,,,,,,,,,,,,,,,,english,false,,,irzik;guezeldere,,,1:science
81201,incollection,irzik:1986,,,1986,,Causal Modeling and the Statistical Analysis of Causation,Causal Modeling and the Statistical Analysis of Causation,,,,,,,,,12--23,12,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:causation;2:regularity_theories_of_causation
81202,incollection,irzik:1990,,,1990,,Singular Causation and Law,Singular Causation and Law,,,,,,,,,537--543,537,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:causation;2:singular_causation
81203,article,irzik:1991,,,1991,,Armstrong's Account of Probabilistic Laws,Armstrong's Account of Probabilistic Laws,,,,analysis,51,51,,,214--217,214,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:causation;2:laws_of_nature;3:probabilistic_laws
81204,incollection,irzik:1992,,,1992,,"Cartwright, Capacities, and Probabilities","Cartwright, Capacities, and Probabilities",,,,,,,,,239--250,239,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:properties;2:powers
81205,incollection,irzik:2002,,,2002,,Carnap and Kuhn: a Belated Encounter,Carnap and Kuhn: a Belated Encounter,,,,,,,,,603--620,603,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:science
81206,incollection,irzik:2008,,,2008,,Critical Rationalism,Critical Rationalism,,,,,,,,,58--66,58,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:science
81207,article,irzik:2011,,,2011,,Hans Reichenbach in Istanbul,Hans Reichenbach in Istanbul,,,,synthese,181,181,2,2,157--180,157,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:science;2:history_of_science
81208,incollection,irzik:2015,,,2015,,The Internal-External Distinction Sheds Light on the History of the Twentieth-Century Philosophy of Science,The Internal-External Distinction Sheds Light on the History of the Twentieth-Century Philosophy of Science,,,,,,,,,211--224,211,,,,,,,,,,,,,,,,,,,english,false,,,irzik,,,1:properties;2:internal_external_properties
