id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
47745,incollection,ejerhed:1980,,,1980,,Tense as a Source of Intensional Ambiguity,Tense as a Source of Intensional Ambiguity,,,,,,,231--252,,,,,,,,,,,,,,,,,,,,false,,ejerhed,,,1:language;2:intensionality
47746,incollection,ejova:2019,,,2019,,The Illusion of Control,The Illusion of Control,,,,,,,365--376,,,,,,,,,,,,,,,,,,,,false,,ejova,,,1:action;2:control
