id,school_key,name_latex,name_unicode
262,universit_a_t_bern_philosophisch_historische_fakult_a_t,"Universit{\""a}t Bern, Philosophisch-historische Fakult{\""a}t","Universität Bern, Philosophisch-historische Fakultät"
263,philosophy_department_graduate_center_city_university_of_new_york,"Philosophy Department, Graduate Center, City University of New York","Philosophy Department, Graduate Center, City University of New York"
264,department_of_philosophy_the_university_of_melbourne,"Department of Philosophy, The University of Melbourne","Department of Philosophy, The University of Melbourne"
265,philosophy_department_syracuse_university,"Philosophy Department, Syracuse University","Philosophy Department, Syracuse University"
266,vrije_universiteit_van_amsterdam,Vrije Universiteit van Amsterdam,Vrije Universiteit van Amsterdam
267,university_of_california,University of California,University of California
268,university_of_san_diego,University of San Diego,University of San Diego
269,university_of_michigan,University of Michigan,University of Michigan
270,department_of_philosophy_mount_holyoke_college,"Department of Philosophy, Mount Holyoke College","Department of Philosophy, Mount Holyoke College"
271,department_of_electrical_engineering_and_computer_science_massachusetts_institute_of_technology,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology","Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology"
272,university_of_notre_dame,University of Notre Dame,University of Notre Dame
273,philosophy_department_university_of_oxford,"Philosophy Department, University of Oxford","Philosophy Department, University of Oxford"
274,department_of_computer_science_university_of_sydney,"Department of Computer Science, University of Sydney","Department of Computer Science, University of Sydney"
275,university_of_north_carolina,University of North Carolina,University of North Carolina
276,department_of_philosophy_carnegie_mellon_university,"Department of Philosophy, Carnegie Mellon University","Department of Philosophy, Carnegie Mellon University"
277,computer_science_department_university_of_rochester,"Computer Science Department, University of Rochester","Computer Science Department, University of Rochester"
278,university_of_reading,University of Reading,University of Reading
279,philosophy_department_vrije_universiteit_van_amsterdam,"Philosophy Department, Vrije Universiteit van Amsterdam","Philosophy Department, Vrije Universiteit van Amsterdam"
