id,school_key,name_latex,name_unicode
33,university_of_illinois,University of Illinois,University of Illinois
34,department_of_philosophy_university_of_pennsylvania,"Department of Philosophy, University of Pennsylvania","Department of Philosophy, University of Pennsylvania"
35,cornell_university_department_of_philosophy,"Cornell University, Department of Philosophy","Cornell University, Department of Philosophy"
36,sussex_university,Sussex University,Sussex University
37,department_of_computer_information_science_university_of_pennsylvania,"Department of Computer \& Information Science, University of Pennsylvania","Department of Computer & Information Science, University of Pennsylvania"
38,linguistics_department_university_of_illinois,"Linguistics Department, University of Illinois","Linguistics Department, University of Illinois"
39,computer_science_university_of_illinois,"Computer Science, University of Illinois","Computer Science, University of Illinois"
40,department_of_linguistics_g_o_teborg_university,"Department of Linguistics, G{\""o}teborg University","Department of Linguistics, Göteborg University"
41,institut_jean_nicod_paris,Institut Jean-Nicod Paris,Institut Jean-Nicod Paris
42,school_of_philosophical_anthropological_and_film_studies,"School of Philosophical, Anthropological and Film Studies","School of Philosophical, Anthropological and Film Studies"
43,facult_e_des_lettres_de_clermont_ferrand,Facult{\'e} des lettres de Clermont-Ferrand,Faculté des lettres de Clermont-Ferrand
44,university_of_massachusetts,University of Massachusetts,University of Massachusetts
45,philosophy_department_boston_college,"Philosophy Department, Boston College","Philosophy Department, Boston College"
46,philosophy_department_university_of_arizona,"Philosophy Department, University of Arizona","Philosophy Department, University of Arizona"
47,department_of_computer_science_university_of_essex,"Department of Computer Science, University of Essex","Department of Computer Science, University of Essex"
48,princeton_university,Princeton University,Princeton University
49,linguistics_department_university_of_massachusetts,"Linguistics Department, University of Massachusetts","Linguistics Department, University of Massachusetts"
50,department_of_computer_and_information_science_university_of_pennsylvania,"Department of Computer and Information Science, University of Pennsylvania","Department of Computer and Information Science, University of Pennsylvania"
51,eindhoven_university_of_technology,Eindhoven University of Technology,Eindhoven University of Technology
52,philosophy_department_university_of_notre_dame,"Philosophy Department, University of Notre Dame","Philosophy Department, University of Notre Dame"
53,department_of_electrical_engineering_stanford_university,"Department of Electrical Engineering, Stanford University","Department of Electrical Engineering, Stanford University"
54,universit_a_t_t_u_bingen,"Universit{\""a}t T{\""u}bingen",Universität Tübingen
55,d_e_partement_de_philosophie_universit_e_de_gen_e_ve,"D{\'e}partement de philosophie, Universit{\'e} de Gen{\`e}ve","Département de philosophie, Université de Genève"
56,philosophy_department_rutgers_university,"Philosophy Department, Rutgers University","Philosophy Department, Rutgers University"
57,philosophisches_institut_universit_a_t_bonn,"Philosophisches Institut, Universit{\""a}t Bonn","Philosophisches Institut, Universität Bonn"
58,philosophy_department_university_of_rhode_island,"Philosophy Department, University of Rhode Island","Philosophy Department, University of Rhode Island"
59,philosophy_department_university_of_sydney,"Philosophy Department, University of Sydney","Philosophy Department, University of Sydney"
60,university_college_london,University College London,University College London
61,universidad_de_barcelona_departamento_de_l_o_gica_historia_y_filsofi_i_a_de_la_ciencia,"Universidad de Barcelona, Departamento de L{\'o}gica, Historia y Filsofi{\'{\i}}a de la Ciencia","Universidad de Barcelona, Departamento de Lógica, Historia y Filsofiía de la Ciencia"
62,philosophy_department_mcgill_university,"Philosophy Department, McGill University","Philosophy Department, McGill University"
63,department_of_computer_engineering_and_information_science_bilkent_university,"Department of Computer Engineering and Information Science, Bilkent University","Department of Computer Engineering and Information Science, Bilkent University"
64,cornell_university,Cornell University,Cornell University
65,school_of_philosophy_university_of_sydney,"School of Philosophy, University of Sydney","School of Philosophy, University of Sydney"
66,new_college_university_of_oxford,"New College, University of Oxford","New College, University of Oxford"
67,linguistics_department_university_of_san_diego,"Linguistics Department, University of San Diego","Linguistics Department, University of San Diego"
68,philosophy_department_university_of_southern_california,"Philosophy Department, University of Southern California","Philosophy Department, University of Southern California"
69,university_of_california_at_irvine,University of California at Irvine,University of California at Irvine
70,philosophy_department_university_of_newcastle,"Philosophy Department, University of Newcastle","Philosophy Department, University of Newcastle"
71,philosophy_department_university_of_cambridge,"Philosophy Department, University of Cambridge","Philosophy Department, University of Cambridge"
72,philosophisches_institut_der_universit_a_t_bern,"Philosophisches Institut der Universit{\""a}t Bern",Philosophisches Institut der Universität Bern
73,institute_for_language_logic_and_information_university_of_amsterdam,"Institute for Language, Logic and Information, University of Amsterdam","Institute for Language, Logic and Information, University of Amsterdam"
74,universit_e_libre_de_bruxelles_facult_e_de_philosophie_et_lettres,"Universit{\'e} Libre de Bruxelles, Facult{\'e} de Philosophie et Lettres","Université Libre de Bruxelles, Faculté de Philosophie et Lettres"
75,philosophische_fakult_a_t_heinrich_heine_universit_a_t,"Philosophische Fakult{\""a}t, Heinrich-Heine Universit{\""a}t","Philosophische Fakultät, Heinrich-Heine Universität"
76,department_of_computer_science_university_of_delaware,"Department of Computer Science, University of Delaware","Department of Computer Science, University of Delaware"
77,fachbereich_f_u_r_philosophie,"Fachbereich f{\""u}r Philosophie",Fachbereich für Philosophie
78,institut_f_u_r_philosophie_humboldt_universit_a_t_zu_berlin,"Institut f{\""u}r Philosophie, Humboldt-Universit{\""a}t zu Berlin","Institut für Philosophie, Humboldt-Universität zu Berlin"
79,philosophy_department_university_of_texas,"Philosophy Department, University of Texas","Philosophy Department, University of Texas"
80,massachusetts_institute_of_technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology
81,universit_a_t_t_u_bingen_philosophisch_historische_fakult_a_t,"Universit{\""a}t T{\""u}bingen, Philosophisch-historische Fakult{\""a}t","Universität Tübingen, Philosophisch-historische Fakultät"
82,department_of_computer_science_the_pennsylvania_state_university,"Department of Computer Science, the Pennsylvania State University","Department of Computer Science, the Pennsylvania State University"
83,universit_a_t_zu_k_o_ln,"Universit{\""a}t zu K{\""o}ln",Universität zu Köln
84,institut_f_u_r_christliche_philosophie_universit_a_t_innsbruck,"Institut f{\""u}r Christliche Philosophie, Universit{\""a}t Innsbruck","Institut für Christliche Philosophie, Universität Innsbruck"
85,university_of_pittsburgh_department_of_history_and_philosophy_of_science,"University of Pittsburgh, Department of History and Philosophy of Science","University of Pittsburgh, Department of History and Philosophy of Science"
86,philosophy_department_state_university_of_new_york_at_albany,"Philosophy Department, State University of New York at Albany","Philosophy Department, State University of New York at Albany"
87,central_european_university,Central European University,Central European University
88,universit_e_de_louvain_belgium,"Universit\'{e} de Louvain, Belgium","Université de Louvain, Belgium"
89,philosophy_department_king_s_college,"Philosophy Department, King's College","Philosophy Department, King's College"
90,computer_science_department_state_university_of_new_york_at_stony_brook,"Computer Science Department, State University of New York at Stony Brook","Computer Science Department, State University of New York at Stony Brook"
91,linguistics_department,Linguistics Department,Linguistics Department
92,d_e_partement_de_philosophie_de_l_universit_e_de_provence,D{\'e}partement de Philosophie de l'Universit{\'e} de Provence,Département de Philosophie de l'Université de Provence
93,university_of_lethbridge,University of Lethbridge,University of Lethbridge
94,department_of_philosophy_macquarie_university,"Department of Philosophy, Macquarie University","Department of Philosophy, Macquarie University"
95,department_of_computer_science_rutgers_university,"Department of Computer Science, Rutgers University","Department of Computer Science, Rutgers University"
96,computer_science_department_harvard_university,"Computer Science Department, Harvard University","Computer Science Department, Harvard University"
97,carnegie_mellon_university,Carnegie Mellon University,Carnegie Mellon University
98,harvard_university,Harvard University,Harvard University
99,university_of_colorado,University of Colorado,University of Colorado
100,universit_a_della_svizzera_italiana,Universit{\`a} della Svizzera italiana,Università della Svizzera italiana
101,philosophy_department_university_of_california_davis,"Philosophy Department, University of California, Davis","Philosophy Department, University of California, Davis"
102,freie_universit_a_t_institut_f_u_r_mathematik,"Freie Universit{\""a}t, Institut f{\""u}r Mathematik","Freie Universität, Institut für Mathematik"
103,computer_science_department_brown_university,"Computer Science Department, Brown University","Computer Science Department, Brown University"
104,catholic_university_of_america,Catholic University of America,Catholic University of America
105,universit_e_de_paris_iv,Universit{\'e} de Paris IV,Université de Paris IV
106,electrical_engineering_and_computer_science,Electrical Engineering and Computer Science,Electrical Engineering and Computer Science
107,university_of_california_davis,"University of California, Davis","University of California, Davis"
108,d_e_partement_de_philosophie_universit_e_de_nancy,"D{\'e}partement de Philosophie, Universit{\'e} de Nancy","Département de Philosophie, Université de Nancy"
109,lunds_universitet_filosofiska_institutionen,"Lunds Universitet, Filosofiska Institutionen","Lunds Universitet, Filosofiska Institutionen"
110,philosophy_department_university_of_nottingham,"Philosophy Department, University of Nottingham","Philosophy Department, University of Nottingham"
111,ludwig_maximilians_universit_a_t_m_u_nchen,"Ludwig-Maximilians-Universit{\""a}t M{\""u}nchen",Ludwig-Maximilians-Universität München
112,university_of_cambridge,University of Cambridge,University of Cambridge
113,program_for_computational_linguistics_university_of_g_o_teborg_1996,"Program for Computational Linguistics, University of G{\""o}teborg 1996","Program for Computational Linguistics, University of Göteborg 1996"
114,d_e_partement_de_philosophie_universit_e_fran_c_c_ois_rabelais,"D{\'e}partement de Philosophie, Universit{\'e} Fran{\c{c}}ois-Rabelais","Département de Philosophie, Université François-Rabelais"
115,department_of_philosophy_indiana_university,"Department of Philosophy, Indiana University","Department of Philosophy, Indiana University"
116,philosophy_department_rutgers_the_state_university_of_new_jersey,"Philosophy Department, Rutgers, The State University of New Jersey","Philosophy Department, Rutgers, The State University of New Jersey"
117,department_of_philosophy_university_of_st_andrews,"Department of Philosophy, University of St.~Andrews","Department of Philosophy, University of St. Andrews"
118,philosophy_department_georgia_state_university,"Philosophy Department, Georgia State University","Philosophy Department, Georgia State University"
119,institut_de_philosophie_facult_e_des_lettres_et_sciences_humaines,"Institut de philosophie, Facult{\'e} des Lettres et Sciences Humaines","Institut de philosophie, Faculté des Lettres et Sciences Humaines"
120,philosophy_department_university_of_pittsburgh,"Philosophy Department, University of Pittsburgh","Philosophy Department, University of Pittsburgh"
121,philosophy_department_ohio_state_university,"Philosophy Department, Ohio State University","Philosophy Department, Ohio State University"
122,university_of_sussex,University of Sussex,University of Sussex
123,university_of_california_at_san_diego,University of California at San Diego,University of California at San Diego
124,stanford_university,Stanford University,Stanford University
125,geisteswissenschaftliche_fakult_a_t_der_universit_a_t_leipzig,"Geisteswissenschaftliche Fakult{\""a}t der Universit{\""a}t Leipzig",Geisteswissenschaftliche Fakultät der Universität Leipzig
126,department_of_computer_science_university_of_toronto,"Department of Computer Science, University of Toronto","Department of Computer Science, University of Toronto"
127,department_of_linguistics_massachusetts_institute_of_technology,"Department of Linguistics, Massachusetts Institute of Technology","Department of Linguistics, Massachusetts Institute of Technology"
128,charles_sturt_university_philosophy_department,"Charles Sturt University, Philosophy Department","Charles Sturt University, Philosophy Department"
129,linguistics_department_university_of_california_at_berkeley,"Linguistics Department, University of California at Berkeley","Linguistics Department, University of California at Berkeley"
130,philosophy_department_dalhousie_university,"Philosophy Department, Dalhousie University","Philosophy Department, Dalhousie University"
131,department_of_computer_and_information_science_university_of_delaware,"Department of Computer and Information Science, University of Delaware","Department of Computer and Information Science, University of Delaware"
132,zeno_institute_of_philosophy,Zeno Institute of Philosophy,Zeno Institute of Philosophy
133,philosophy_department_university_of_virginia,"Philosophy Department, University of Virginia","Philosophy Department, University of Virginia"
134,department_of_linguistics_and_philosophy_massachusetts_institute_of_technology,"Department of Linguistics and Philosophy, Massachusetts Institute of Technology","Department of Linguistics and Philosophy, Massachusetts Institute of Technology"
135,texas_tech_university,Texas Tech University,Texas Tech University
136,humanistische_sektion_der_philosophischen_fakult_a_t,"Humanistische Sektion der Philosophischen Fakult{\""a}t",Humanistische Sektion der Philosophischen Fakultät
